iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value,4_maddpg_actor_loss,4_maddpg_critic_loss,4_count_value
0,100,-2.61166,3.65493,0.44952,-2.67359,3.59211,0.44747,-2.62543,3.43618,0.45021,-2.52843,3.57130,0.42001
1,200,-2.49800,1.83254,0.34336,-2.39671,1.73024,0.33899,-2.46737,1.76117,0.34032,-2.29007,1.81508,0.32766
2,300,-2.97551,1.91417,0.33796,-2.90008,1.81311,0.33688,-2.86430,1.68104,0.33378,-2.72488,1.76269,0.32276
3,400,-3.39035,1.66282,0.33390,-3.31066,1.90450,0.33780,-3.21443,1.71545,0.32697,-3.08017,1.69296,0.31642
4,500,-3.89600,1.90558,0.33531,-3.82663,1.86644,0.33988,-3.80531,1.97638,0.32809,-3.57972,1.72585,0.31947
5,600,-4.32216,1.81791,0.33387,-4.24006,1.79351,0.33933,-4.23665,1.58534,0.32607,-4.07648,1.74417,0.32660
6,700,-4.66684,1.99922,0.33543,-4.67340,2.14003,0.33875,-4.56453,1.82309,0.32827,-4.47026,1.73990,0.32925
7,800,-5.07219,1.98530,0.33696,-5.16807,1.90963,0.34268,-4.95775,1.72034,0.33043,-4.80711,1.74769,0.33227
8,900,-5.53080,2.16724,0.34081,-5.58298,1.87779,0.34190,-5.38341,2.03943,0.33125,-5.19356,1.80772,0.33321
9,1000,-5.94195,1.89072,0.33805,-5.90158,1.96384,0.34425,-5.82052,1.95851,0.33194,-5.56869,1.80548,0.33611
10,1100,-6.31510,2.20404,0.34213,-6.38786,1.94623,0.34391,-6.19710,1.96373,0.33216,-6.02432,1.77759,0.33565
11,1200,-6.82312,1.88318,0.34481,-6.77915,2.18528,0.34483,-6.56825,2.15043,0.33596,-6.47475,2.03209,0.34020
12,1300,-7.16690,1.93374,0.34646,-7.06173,2.18841,0.34583,-7.00414,2.05457,0.33926,-6.87396,1.93437,0.34259
13,1400,-7.40900,1.99496,0.34429,-7.30124,2.28107,0.34761,-7.40116,1.86144,0.34181,-7.13437,1.70418,0.34383
14,1500,-7.75706,2.12708,0.34442,-7.54954,2.10513,0.34645,-7.63292,2.17809,0.34016,-7.55169,1.72259,0.34615
15,1600,-7.80024,1.99403,0.33840,-7.87643,1.91560,0.34747,-7.86253,2.44989,0.34090,-7.85274,1.98973,0.34774
16,1700,-8.10574,2.02199,0.33897,-8.14833,1.80903,0.34692,-8.15684,1.95939,0.33593,-8.21861,1.80605,0.35251
17,1800,-8.47921,2.38717,0.33534,-8.45131,1.94516,0.34694,-8.35187,2.03519,0.33426,-8.57247,1.83210,0.34635
18,1900,-8.60486,1.99871,0.33361,-8.81217,1.89730,0.34606,-8.63490,2.14893,0.33650,-8.90136,1.75868,0.35028
19,2000,-8.87751,2.19449,0.33577,-9.09613,1.90677,0.34769,-8.88329,2.04065,0.33795,-9.25447,1.69607,0.34997
20,2100,-9.16419,2.16208,0.33165,-9.40521,2.23208,0.34863,-9.21622,2.11893,0.33720,-9.69776,1.87691,0.35012
21,2200,-9.72365,2.18806,0.33054,-9.83753,1.92760,0.34784,-9.49850,2.44296,0.33723,-10.02510,1.59914,0.34861
22,2300,-9.93507,2.07856,0.33167,-10.20060,2.16633,0.35100,-9.89947,2.20094,0.33856,-10.40675,1.99315,0.35096
23,2400,-10.19390,2.18737,0.33006,-10.50913,2.04777,0.35023,-10.16272,2.22974,0.34142,-10.89633,1.82572,0.35234
24,2500,-10.53057,2.06968,0.33300,-10.79676,1.84627,0.34734,-10.59970,1.95908,0.33684,-11.17303,1.99176,0.35160
25,2600,-11.00168,2.12145,0.32946,-11.12372,2.30087,0.34978,-10.87621,2.28228,0.33704,-11.52345,1.89077,0.35017
26,2700,-11.25478,2.05401,0.33087,-11.59008,2.39106,0.35241,-11.36543,2.10119,0.34088,-11.96599,1.75934,0.35441
27,2800,-11.52676,2.00079,0.32916,-11.87024,2.31250,0.34641,-11.48958,2.28748,0.33872,-12.26376,2.02133,0.35077
28,2900,-11.74534,2.33154,0.32713,-12.10961,1.93357,0.34683,-11.76588,1.94245,0.34209,-12.60021,2.45408,0.35128
29,3000,-12.17119,2.53264,0.32875,-12.53240,2.21007,0.34791,-12.11540,2.18499,0.33778,-12.95269,2.06789,0.35077
30,3100,-12.43752,2.19832,0.33031,-12.71104,2.26277,0.34794,-12.39172,2.39458,0.34037,-13.17138,2.22278,0.35021
31,3200,-12.65132,2.36349,0.32803,-13.02546,2.16696,0.34676,-12.65493,2.21478,0.33937,-13.43307,1.95118,0.34997
32,3300,-12.87503,2.00341,0.32657,-13.35645,2.05513,0.34801,-12.97607,2.71829,0.34174,-13.71935,1.97149,0.35107
33,3400,-13.21676,2.21740,0.32889,-13.60218,2.15686,0.34573,-13.30810,2.00159,0.34112,-14.01393,2.32189,0.34951
34,3500,-13.32689,2.24575,0.32896,-13.78435,2.33069,0.34734,-13.47929,2.07690,0.34305,-14.24974,2.61429,0.34696
35,3600,-13.70154,2.26660,0.32791,-14.15292,2.48964,0.34901,-13.80628,2.52216,0.34232,-14.59573,2.15037,0.34733
36,3700,-13.92942,2.33524,0.33186,-14.34165,1.94049,0.34879,-13.98823,2.03930,0.34272,-14.78541,1.94144,0.34583
37,3800,-14.15279,2.36285,0.33193,-14.59605,2.25678,0.34890,-14.31894,2.40253,0.34135,-14.90914,1.97269,0.34674
38,3900,-14.46120,2.39861,0.33169,-14.87556,2.17472,0.34951,-14.58935,2.18416,0.34296,-15.22240,2.23920,0.34587
39,4000,-14.77733,2.47523,0.33352,-14.97890,2.56285,0.35051,-14.64418,2.38216,0.34169,-15.39173,2.16303,0.34490
40,4100,-15.02489,2.52640,0.33293,-15.35638,3.03345,0.34847,-15.03717,2.07813,0.34618,-15.59535,2.13869,0.34540
