iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_rnd_forward_loss
58,5900,-24.12008,9.03160,0.49594,-24.15576,10.71931,0.49571,-24.85791,10.05205,0.49555
59,6000,-24.26981,9.22363,0.48819,-24.21457,11.53747,0.48833,-24.91676,9.93512,0.48794
60,6100,-24.18940,9.44783,0.48057,-23.86955,12.31682,0.48059,-24.93261,10.01346,0.48030
61,6200,-24.25347,8.82812,0.47314,-24.04588,11.14317,0.47301,-24.88389,10.02306,0.47277
62,6300,-24.16822,8.43645,0.46536,-24.00652,11.46013,0.46524,-24.82278,11.73070,0.46531
63,6400,-24.23925,8.32324,0.45801,-24.09150,11.03701,0.45769,-24.90066,10.54720,0.45764
64,6500,-24.18849,8.13600,0.45056,-23.88530,10.93458,0.45048,-24.88909,10.02631,0.45038
65,6600,-24.27396,7.83949,0.44295,-23.88491,10.66796,0.44326,-24.76144,10.16966,0.44275
66,6700,-24.00452,7.69022,0.43541,-23.83491,10.59369,0.43567,-24.65732,10.14123,0.43525
67,6800,-23.84359,7.95467,0.42808,-23.76169,10.08159,0.42816,-24.68385,10.29070,0.42811
68,6900,-23.94482,7.99243,0.42045,-23.76511,10.45530,0.42053,-24.44267,9.78557,0.42056
69,7000,-23.98124,8.95571,0.41301,-23.43507,9.80769,0.41285,-24.36984,9.27050,0.41271
70,7100,-23.56523,7.98861,0.40543,-23.40888,9.97328,0.40536,-24.40008,9.67537,0.40556
71,7200,-23.42335,7.70971,0.39795,-23.62686,9.99356,0.39792,-24.87542,10.04203,0.39806
72,7300,-23.53286,8.52769,0.39032,-23.22640,9.31784,0.39026,-24.38009,9.61311,0.39051
73,7400,-23.21809,8.16135,0.38275,-23.25018,9.47491,0.38290,-24.38302,9.43748,0.38299
