iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value
58,5900,-12.28029,1.48081,0.17667,-12.47904,1.70249,0.17717,-12.63438,1.47740,0.17670
59,6000,-12.40078,1.41814,0.17699,-12.73544,1.52350,0.17626,-12.69380,1.86855,0.17599
60,6100,-12.55831,1.49216,0.17587,-12.73820,1.60554,0.17426,-12.84471,1.80532,0.17544
61,6200,-12.60376,1.40329,0.17814,-12.87292,1.61795,0.17635,-12.99229,1.71066,0.17648
62,6300,-12.84955,1.80408,0.17481,-13.05112,1.52634,0.17675,-13.03411,1.60842,0.17504
63,6400,-12.86378,1.99012,0.17544,-12.98472,1.47886,0.17450,-13.48972,1.80901,0.17617
64,6500,-13.00860,1.97348,0.17425,-13.20714,1.46359,0.17447,-13.30960,1.61510,0.17551
65,6600,-13.10062,1.60116,0.17698,-13.31185,1.44636,0.17513,-13.45997,1.41411,0.17527
66,6700,-13.18122,1.86958,0.17482,-13.42983,1.52587,0.17351,-13.65021,1.66595,0.17389
67,6800,-13.32200,1.77016,0.17644,-13.51416,1.75948,0.17628,-13.59569,2.33923,0.17454
68,6900,-13.43409,1.67183,0.17457,-13.67749,1.70337,0.17589,-13.63956,1.79033,0.17294
69,7000,-13.50875,1.37186,0.17578,-13.70382,1.70078,0.17452,-13.90754,1.71284,0.17296
70,7100,-13.59021,1.64520,0.17658,-13.76838,1.58422,0.17517,-13.86225,1.76352,0.17450
71,7200,-13.72345,1.63397,0.17451,-13.91610,1.68750,0.17377,-13.99331,1.57471,0.17280
72,7300,-13.69511,1.63501,0.17278,-14.06015,1.77922,0.17386,-14.12933,1.43475,0.17452
73,7400,-13.88109,1.51661,0.17624,-14.13708,1.60932,0.17332,-14.18100,1.51753,0.17501
74,7500,-13.90057,1.47877,0.17363,-14.05177,1.76664,0.17418,-14.30096,1.81454,0.17604
75,7600,-13.97146,1.70362,0.17459,-14.19772,1.59702,0.17530,-14.50152,1.90670,0.17272
76,7700,-14.24246,1.78147,0.17611,-14.41477,1.58454,0.17567,-14.43932,1.94306,0.17456
77,7800,-14.08575,1.68647,0.17529,-14.43655,1.61213,0.17387,-14.52788,1.47733,0.17529
78,7900,-14.30658,1.90452,0.17691,-14.60221,1.51116,0.17490,-14.72383,1.70484,0.17636
79,8000,-14.37481,1.66599,0.17656,-14.57858,1.48833,0.17766,-14.78517,1.94292,0.17456
80,8100,-14.55652,1.45919,0.17776,-14.73313,1.49373,0.17726,-14.86603,2.10194,0.17684
81,8200,-14.65805,1.63187,0.17693,-14.88190,1.43224,0.17670,-14.93253,1.97541,0.17851
82,8300,-14.75166,1.69639,0.17775,-14.95755,1.53032,0.17701,-15.07756,2.33712,0.17832
83,8400,-14.95216,1.62314,0.17929,-15.19006,1.62730,0.17889,-15.11013,1.81995,0.17897
84,8500,-15.01171,1.66605,0.18079,-15.17977,1.54191,0.17934,-15.18180,1.71991,0.17927
85,8600,-15.13074,1.75228,0.17970,-15.39335,1.91957,0.18036,-15.23562,2.12657,0.17975
86,8700,-15.11102,1.45751,0.17938,-15.10089,1.89596,0.17887,-15.49635,1.79233,0.18027
87,8800,-15.38656,1.72031,0.18091,-15.69976,2.43625,0.18044,-15.44807,2.08563,0.18165
88,8900,-15.44489,1.63566,0.18225,-15.47760,2.06940,0.18056,-15.73049,1.79950,0.18197
89,9000,-15.46883,1.65686,0.18164,-15.58597,1.67315,0.18089,-15.72337,1.77077,0.18157
90,9100,-15.58144,1.69311,0.18316,-15.63998,1.47771,0.18229,-15.67145,1.81999,0.18061
91,9200,-15.56746,1.56905,0.18059,-15.69020,1.49602,0.18146,-15.74902,1.88268,0.18099
92,9300,-15.66170,1.84774,0.18291,-15.76380,1.48234,0.18233,-15.96222,1.66431,0.18178
93,9400,-15.86854,1.74703,0.18289,-15.77891,1.60266,0.18176,-16.04528,2.43307,0.18146
94,9500,-15.96838,1.57007,0.18228,-15.97478,1.66727,0.18294,-16.07890,1.57853,0.18162
95,9600,-15.99490,1.61387,0.18060,-16.20208,1.83554,0.18278,-16.17414,1.86746,0.18002
96,9700,-16.21196,1.71064,0.18269,-15.99957,1.92105,0.18264,-16.21798,1.90335,0.18201
97,9800,-16.09413,1.93680,0.18312,-16.11357,1.89962,0.18012,-16.27610,1.69226,0.18115
98,9900,-16.19863,1.45859,0.18008,-16.28604,1.80975,0.18098,-16.34385,1.68303,0.18164
99,10000,-16.34080,1.50846,0.18246,-16.34571,1.74873,0.18210,-16.49030,1.49396,0.18235
100,10100,-16.38398,1.54421,0.18345,-16.50017,1.64389,0.18349,-16.47081,1.68941,0.18253
101,10200,-16.48592,1.51740,0.18335,-16.40071,1.68642,0.18145,-16.57620,1.54028,0.18310
102,10300,-16.66648,1.55129,0.18372,-16.63615,1.97976,0.18351,-16.60626,1.65120,0.18336
103,10400,-16.70447,1.52563,0.18332,-16.63205,1.60679,0.18247,-16.73653,1.70480,0.18486
104,10500,-16.67611,1.53259,0.18333,-16.81263,1.81531,0.18133,-16.89103,1.58155,0.18219
105,10600,-16.74395,1.45708,0.18230,-16.77165,1.88574,0.18353,-16.92688,1.62951,0.18240
106,10700,-16.86100,1.43518,0.18292,-16.84721,1.85475,0.18145,-16.95385,1.73665,0.18202
107,10800,-16.90851,1.46854,0.18149,-16.83102,1.78798,0.18363,-16.97539,1.69386,0.18246
108,10900,-16.95813,1.40732,0.18160,-16.85765,1.87142,0.18068,-16.99792,1.59319,0.18122
109,11000,-16.95425,1.62955,0.18074,-16.99388,1.77535,0.18191,-17.10957,1.65441,0.18185
110,11100,-17.14108,1.98133,0.18226,-17.09493,1.67465,0.17882,-17.22562,1.57853,0.18101
111,11200,-17.03766,2.16764,0.18266,-17.03142,1.76202,0.18205,-17.23865,1.48720,0.18058
112,11300,-17.21031,1.69215,0.18084,-17.06267,1.73755,0.17992,-17.31875,1.71914,0.18065
113,11400,-17.16712,1.97312,0.17977,-17.12547,1.79034,0.18020,-17.39288,1.63510,0.17967
114,11500,-17.26001,1.66999,0.17905,-17.19744,1.56964,0.18116,-17.34352,1.98870,0.17931
115,11600,-17.36136,1.69089,0.18232,-17.21932,1.77640,0.18081,-17.46163,1.61276,0.18108
116,11700,-17.44232,1.47848,0.17966,-17.31480,1.73660,0.18023,-17.69227,1.71966,0.17977
