iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss,3_iql_loss,3_icm_forward_loss,3_icm_inverse_loss
62,6300,0.98596,0.12024,2.62323,0.94314,0.11980,2.62343,0.92212,0.11968,2.62317
63,6400,0.95407,0.11661,2.62076,0.94689,0.11645,2.62081,0.92150,0.11682,2.62037
64,6500,0.94505,0.11385,2.61783,0.91386,0.11344,2.61668,0.92707,0.11359,2.61746
65,6600,0.91054,0.11051,2.61486,0.96975,0.11081,2.61528,0.91522,0.11062,2.61411
66,6700,0.90688,0.10782,2.61066,0.92927,0.10815,2.61166,0.90615,0.10775,2.61142
67,6800,0.89870,0.10565,2.60842,0.98840,0.10529,2.60812,0.97768,0.10555,2.60835
68,6900,0.92907,0.10287,2.60443,0.92077,0.10276,2.60463,0.95715,0.10269,2.60437
69,7000,0.92492,0.10053,2.60120,0.90188,0.10043,2.60143,0.93723,0.10037,2.60124
70,7100,0.95224,0.09842,2.59749,0.93092,0.09856,2.59913,0.93014,0.09838,2.59694
71,7200,0.90635,0.09613,2.59595,0.91256,0.09631,2.59558,0.92752,0.09588,2.59549
72,7300,0.89291,0.09459,2.59222,0.91146,0.09435,2.59249,0.99573,0.09448,2.59243
73,7400,0.96538,0.09300,2.58777,0.94150,0.09264,2.58900,0.92430,0.09258,2.58716
74,7500,0.93272,0.09094,2.58569,0.96841,0.09136,2.58349,0.89534,0.09117,2.58535
75,7600,0.94699,0.08956,2.58102,0.93351,0.08959,2.58076,0.96862,0.08929,2.58090
76,7700,0.93814,0.08831,2.57743,0.93167,0.08841,2.57756,0.88634,0.08787,2.57855
77,7800,0.95665,0.08643,2.57535,0.93712,0.08697,2.57405,0.90836,0.08660,2.57396
78,7900,0.91239,0.08568,2.57001,0.97968,0.08516,2.57102,0.89245,0.08540,2.57131
79,8000,0.90127,0.08420,2.56526,0.88737,0.08407,2.56676,0.95963,0.08380,2.56727
80,8100,0.90454,0.08274,2.56260,0.90531,0.08269,2.56458,0.94296,0.08269,2.56292
81,8200,0.94878,0.08150,2.55956,0.96031,0.08162,2.55891,0.90930,0.08188,2.56060
82,8300,0.93685,0.08058,2.55786,0.97160,0.08057,2.55659,0.90660,0.08103,2.55616
