iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value
58,5900,-10.93919,0.92246,0.15243,-11.25092,0.87724,0.15103,-11.33292,0.99157,0.15107
59,6000,-10.90807,1.04406,0.15334,-11.39239,0.88431,0.15189,-11.35920,0.99217,0.15193
60,6100,-11.17246,1.00650,0.15206,-11.49423,0.97566,0.15269,-11.46962,0.97056,0.15226
61,6200,-11.24408,0.98036,0.15054,-11.48122,0.92382,0.15241,-11.42715,0.99015,0.15071
62,6300,-11.28900,0.91516,0.15065,-11.60463,1.02196,0.15175,-11.53377,0.99443,0.14952
63,6400,-11.42335,0.93852,0.15064,-11.58613,0.91110,0.14964,-11.62954,1.01495,0.15004
64,6500,-11.50331,0.94947,0.15046,-11.68251,0.92155,0.15168,-11.62702,0.97698,0.14995
65,6600,-11.58939,0.96569,0.15193,-11.83014,0.92223,0.15167,-11.79075,0.96440,0.15165
66,6700,-11.62108,1.18187,0.15075,-11.85572,0.96937,0.14977,-11.78686,0.89104,0.14999
67,6800,-11.70954,1.06789,0.15128,-11.93762,0.97349,0.15040,-11.85709,0.96835,0.15017
68,6900,-11.74054,0.98136,0.15164,-11.86350,1.04036,0.15059,-11.92084,0.92498,0.14978
69,7000,-11.83356,1.01106,0.15022,-11.90995,0.98630,0.15013,-12.06664,0.96772,0.15172
70,7100,-11.85350,1.23853,0.15110,-11.92037,1.03947,0.15179,-11.95658,0.93176,0.14932
71,7200,-11.86542,0.97207,0.15115,-12.08639,0.99377,0.14965,-12.01543,0.91581,0.15077
72,7300,-12.16890,1.13450,0.14886,-12.15466,0.96732,0.14836,-12.00484,0.98872,0.15009
73,7400,-12.26023,1.22923,0.15231,-12.23419,0.98578,0.14950,-12.12125,0.99075,0.14885
74,7500,-12.28428,1.00408,0.15100,-12.15617,0.98563,0.14891,-12.16968,1.00640,0.15060
75,7600,-12.32412,1.11374,0.14983,-12.32675,0.99440,0.14951,-12.23286,1.04160,0.15055
76,7700,-12.28119,1.10961,0.15024,-12.31020,1.02239,0.14892,-12.31203,0.96739,0.15023
77,7800,-12.44721,1.27340,0.14933,-12.22312,1.00834,0.14834,-12.24322,0.96248,0.14945
78,7900,-12.34627,1.58160,0.14863,-12.30302,1.04056,0.14814,-12.29170,0.95863,0.15040
79,8000,-12.45554,1.49940,0.15111,-12.35988,1.05200,0.14984,-12.35190,0.95822,0.14853
80,8100,-12.47746,1.21997,0.14947,-12.39002,1.02197,0.14798,-12.41391,1.00334,0.15009
81,8200,-12.56424,1.19809,0.14851,-12.33535,1.04593,0.14858,-12.38532,0.97041,0.15113
82,8300,-12.73442,0.99064,0.14770,-12.42589,1.09430,0.14977,-12.43868,0.99233,0.14798
83,8400,-12.73219,0.93295,0.14869,-12.53844,1.08139,0.15046,-12.42726,0.99082,0.14934
84,8500,-12.76613,1.08626,0.15034,-12.52987,1.02192,0.14879,-12.47192,1.08563,0.14920
85,8600,-12.81785,1.09090,0.14888,-12.61753,1.03747,0.15029,-12.42914,0.97853,0.15020
86,8700,-13.01782,1.16983,0.15020,-12.50341,1.00666,0.14890,-12.54335,0.99055,0.15021
87,8800,-13.02098,1.30600,0.14983,-12.64280,1.09944,0.14997,-12.57757,1.04087,0.14910
88,8900,-12.96796,1.51520,0.14825,-12.64597,1.06056,0.14882,-12.55771,1.05997,0.15019
89,9000,-12.92963,1.18653,0.14822,-12.56412,1.02355,0.14790,-12.54243,1.05321,0.14862
90,9100,-13.09293,1.23447,0.14890,-12.55709,1.09062,0.15015,-12.56823,1.03605,0.14894
91,9200,-13.09291,1.14578,0.14945,-12.61904,1.00369,0.14846,-12.64341,1.07845,0.15103
92,9300,-13.21912,1.18059,0.14959,-12.61645,1.12244,0.14798,-12.60302,1.04054,0.14899
93,9400,-13.17453,1.16873,0.14973,-12.57307,1.07232,0.14953,-12.54228,1.01045,0.14752
94,9500,-13.15906,1.20029,0.15106,-12.60028,1.08927,0.14886,-12.66641,1.07087,0.14859
95,9600,-13.28653,1.13048,0.15013,-12.63553,1.09416,0.14893,-12.60365,1.08611,0.14830
96,9700,-13.32131,1.24478,0.15005,-12.62992,1.06274,0.14885,-12.70032,1.07541,0.14882
97,9800,-13.22028,1.30626,0.14939,-12.51199,1.04139,0.14980,-12.56347,1.10774,0.14943
98,9900,-13.39941,1.32259,0.14940,-12.58500,1.05309,0.14891,-12.64649,1.09130,0.14906
99,10000,-13.42523,1.23766,0.15041,-12.59471,1.09272,0.15068,-12.54986,1.03263,0.14802
100,10100,-13.43658,1.30930,0.15035,-12.62663,1.14629,0.14858,-12.62528,1.05397,0.14986
101,10200,-13.44227,1.52968,0.14972,-12.57364,1.08771,0.15000,-12.45506,1.08879,0.14815
102,10300,-13.55721,1.26961,0.14926,-12.59974,1.21194,0.14799,-12.60603,1.10142,0.14930
103,10400,-13.58750,1.16591,0.14845,-12.67992,1.21481,0.14995,-12.64950,1.10192,0.14953
104,10500,-13.53963,1.18974,0.14951,-12.63769,1.16804,0.14845,-12.67751,1.11553,0.14958
105,10600,-13.55764,1.30276,0.15028,-12.61210,1.17031,0.14911,-12.68286,1.13070,0.14871
106,10700,-13.54441,1.53085,0.14925,-12.74155,1.17611,0.14964,-12.52198,1.12975,0.14752
107,10800,-13.61781,1.18348,0.14933,-12.57936,1.18327,0.14938,-12.68061,1.13471,0.14906
108,10900,-13.54833,1.22350,0.14743,-12.67400,1.17740,0.14937,-12.63775,1.12690,0.14956
109,11000,-13.57504,1.21688,0.14965,-12.76697,1.18969,0.14919,-12.63492,1.09784,0.14806
110,11100,-13.64326,1.21350,0.14800,-12.74275,1.18017,0.14773,-12.65260,1.18285,0.14901
111,11200,-13.67657,1.78596,0.14637,-12.82404,1.21774,0.14956,-12.72177,1.09224,0.14816
112,11300,-13.65763,1.65196,0.14839,-12.79547,1.17733,0.14752,-12.72673,1.18364,0.14975
113,11400,-13.60996,1.53979,0.14790,-12.74263,1.18840,0.14650,-12.74492,1.10467,0.14826
114,11500,-13.56505,1.65391,0.14882,-12.73752,1.18770,0.14868,-12.66044,1.15395,0.14711
115,11600,-13.59067,1.67579,0.14765,-12.68367,1.16059,0.14502,-12.73009,1.16361,0.14836
116,11700,-13.60926,1.56075,0.14712,-12.79934,1.24155,0.14837,-12.79229,1.10198,0.14790
117,11800,-13.58906,1.54824,0.14683,-12.81044,1.24736,0.14730,-12.73351,1.15314,0.14684
118,11900,-13.68693,1.49136,0.14650,-12.74817,1.24991,0.14662,-12.70661,1.17236,0.14684
119,12000,-13.62665,1.52800,0.14540,-12.78161,1.18819,0.14789,-12.68150,1.11398,0.14665
120,12100,-13.61062,1.50902,0.14577,-12.76036,1.18731,0.14626,-12.65957,1.11577,0.14564
121,12200,-13.63021,1.50924,0.14633,-12.86675,1.17826,0.14749,-12.71910,1.13659,0.14634
122,12300,-13.48375,1.45510,0.14553,-12.79911,1.21489,0.14610,-12.69277,1.10972,0.14686
123,12400,-13.71085,1.24729,0.14638,-12.66474,1.22327,0.14607,-12.67815,1.12419,0.14462
124,12500,-13.80660,1.31098,0.14522,-12.79526,1.17047,0.14518,-12.63179,1.11835,0.14600
125,12600,-13.71259,1.24269,0.14327,-12.72439,1.12847,0.14468,-12.64182,1.12882,0.14455
126,12700,-13.78389,1.35209,0.14569,-12.61561,1.17883,0.14515,-12.56363,1.15911,0.14396
127,12800,-13.71766,1.15171,0.14544,-12.64022,1.14017,0.14422,-12.51282,1.19752,0.14278
128,12900,-13.79762,1.25736,0.14420,-12.63513,1.19698,0.14418,-12.44969,1.18881,0.14377
129,13000,-13.69689,1.22094,0.14370,-12.65114,1.21376,0.14335,-12.55030,1.17270,0.14377
130,13100,-13.73754,1.28344,0.14193,-12.58386,1.17329,0.14365,-12.47771,1.21536,0.14445
131,13200,-13.86340,1.15834,0.14393,-12.54164,1.25992,0.14358,-12.48923,1.19727,0.14322
132,13300,-13.84106,1.16694,0.14289,-12.55885,1.19586,0.14298,-12.47875,1.13797,0.14345
133,13400,-13.79711,1.15035,0.14482,-12.52937,1.12908,0.14289,-12.37539,1.17990,0.14204
134,13500,-13.67414,1.10941,0.14155,-12.51621,1.16582,0.14441,-12.45579,1.16515,0.14274
135,13600,-13.70275,1.42307,0.14220,-12.40388,1.13114,0.14245,-12.38584,1.16734,0.14153
136,13700,-13.75102,1.16181,0.14379,-12.41359,1.14280,0.14317,-12.40880,1.09906,0.14273
137,13800,-13.84024,1.19794,0.14424,-12.38050,1.09797,0.14197,-12.30647,1.12314,0.14299
138,13900,-13.71037,1.30290,0.14318,-12.36665,1.16479,0.14187,-12.23105,1.22631,0.14314
139,14000,-13.88613,1.24884,0.14087,-12.32905,1.10861,0.14250,-12.30876,1.14314,0.14264
140,14100,-13.80006,1.20620,0.14130,-12.35722,1.11871,0.14153,-12.20988,1.12006,0.14038
141,14200,-13.87932,1.10980,0.14062,-12.18116,1.10031,0.14029,-12.21756,1.24655,0.14322
142,14300,-13.83964,1.17895,0.14149,-12.15377,1.25240,0.14148,-12.09835,1.12502,0.13844
143,14400,-13.76406,1.21722,0.14044,-12.08891,1.10387,0.14062,-12.09563,1.10101,0.14007
144,14500,-13.84634,1.11431,0.13997,-12.15464,1.20684,0.14037,-12.15646,1.12280,0.14096
145,14600,-13.65639,1.13187,0.14076,-12.02623,1.14038,0.14028,-12.04565,1.13130,0.14007
146,14700,-13.79388,1.09823,0.13971,-11.93688,1.12927,0.14025,-12.02768,1.14899,0.13894
147,14800,-13.78520,1.04299,0.14048,-11.94106,1.15685,0.14054,-12.01760,1.10341,0.14021
148,14900,-13.80034,1.05617,0.13857,-11.97472,1.13275,0.13885,-11.86184,1.06894,0.13869
149,15000,-13.77228,1.17453,0.14017,-11.98357,1.12677,0.13992,-11.92937,1.11546,0.13969
150,15100,-13.78985,1.39499,0.13791,-11.90962,1.11774,0.13994,-11.87538,1.12442,0.13984
151,15200,-13.83290,1.10132,0.13824,-11.87265,1.08342,0.13680,-11.75429,1.20717,0.13764
152,15300,-13.71619,1.12098,0.13894,-11.91290,1.13457,0.13806,-11.89093,1.12258,0.13889
153,15400,-13.76316,1.04994,0.13716,-11.78067,1.13897,0.13777,-11.66905,1.12838,0.13817
154,15500,-13.84782,1.11424,0.13727,-11.76191,1.10865,0.13747,-11.76399,1.08358,0.13789
155,15600,-13.69612,1.04707,0.13672,-11.55961,1.14373,0.13750,-11.67008,1.10300,0.13729
156,15700,-13.68727,1.06046,0.13620,-11.63821,1.16767,0.13888,-11.61949,1.07825,0.13647
157,15800,-13.58922,1.23157,0.13716,-11.63137,1.13108,0.13790,-11.62699,1.13645,0.13778
158,15900,-13.65161,1.26643,0.13680,-11.48015,1.14797,0.13631,-11.54037,1.12117,0.13619
159,16000,-13.69071,1.30433,0.13675,-11.55212,1.08156,0.13588,-11.58231,1.08433,0.13642
160,16100,-13.68031,1.14807,0.13383,-11.57349,1.09601,0.13732,-11.57403,1.09189,0.13652
161,16200,-13.57604,1.05622,0.13470,-11.46179,1.07054,0.13611,-11.47097,1.10469,0.13404
162,16300,-13.58678,1.17058,0.13549,-11.33713,1.14812,0.13789,-11.52903,1.13173,0.13524
163,16400,-13.64059,1.09188,0.13582,-11.39279,1.07408,0.13484,-11.47763,1.11738,0.13509
164,16500,-13.60101,1.04937,0.13449,-11.33122,1.05213,0.13329,-11.36546,1.06358,0.13430
165,16600,-13.71614,1.00341,0.13561,-11.24047,1.07094,0.13393,-11.30710,1.08794,0.13378
166,16700,-13.52508,0.98414,0.13412,-11.25834,1.06298,0.13457,-11.25857,1.07093,0.13358
167,16800,-13.63092,0.98612,0.13531,-11.19232,1.10626,0.13409,-11.24565,1.09983,0.13415
168,16900,-13.42315,0.96460,0.13303,-11.19591,1.09585,0.13278,-11.23214,1.08647,0.13316
169,17000,-13.52046,0.97484,0.13371,-11.12507,1.07906,0.13319,-11.17548,1.07663,0.13450
170,17100,-13.45224,0.97988,0.13550,-11.08858,1.13728,0.13303,-11.12826,1.05772,0.13395
171,17200,-13.44561,0.99553,0.13206,-10.99644,1.12061,0.13300,-11.06979,1.07971,0.13363
172,17300,-13.41611,1.04320,0.13201,-11.03074,1.08672,0.13220,-11.12491,1.07068,0.13212
173,17400,-13.34629,1.05442,0.13243,-10.97004,1.02459,0.13146,-11.04939,1.10045,0.13176
174,17500,-13.43739,1.05000,0.13091,-10.89963,1.04636,0.13219,-10.96556,1.02586,0.13059
175,17600,-13.39160,1.05820,0.13243,-10.89538,1.06578,0.13292,-11.00689,1.06414,0.13105
176,17700,-13.34821,1.01919,0.13242,-10.77102,1.05661,0.13069,-10.94626,1.10158,0.13131
177,17800,-13.40652,1.01635,0.13223,-10.85220,1.06781,0.13115,-10.86757,1.05763,0.13080
178,17900,-13.38662,1.15070,0.12980,-10.74619,1.08457,0.13160,-10.85880,1.06740,0.13073
179,18000,-13.27983,1.04204,0.13004,-10.76681,1.08772,0.13050,-10.84758,1.05266,0.12987
