iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss,3_iql_loss,3_icm_forward_loss,3_icm_inverse_loss
62,6300,0.61384,0.05219,2.52688,0.61122,0.05222,2.52722,0.61625,0.05234,2.52328
63,6400,0.61784,0.05190,2.52198,0.59995,0.05182,2.52307,0.61872,0.05187,2.51860
64,6500,0.61720,0.05159,2.51233,0.60609,0.05178,2.51290,0.62038,0.05173,2.51695
65,6600,0.62392,0.05133,2.50868,0.61887,0.05141,2.50978,0.62786,0.05142,2.50570
66,6700,0.62606,0.05109,2.50249,0.61171,0.05143,2.50457,0.63767,0.05126,2.50384
67,6800,0.63308,0.05097,2.49397,0.61180,0.05103,2.49693,0.62308,0.05094,2.50036
68,6900,0.62609,0.05085,2.49063,0.62112,0.05078,2.48959,0.63799,0.05059,2.49291
69,7000,0.62499,0.05041,2.48194,0.64043,0.05059,2.48088,0.62759,0.05077,2.48468
70,7100,0.63495,0.05058,2.47689,0.64444,0.05027,2.47477,0.64659,0.05030,2.47857
71,7200,0.62507,0.04990,2.47117,0.62412,0.05001,2.46969,0.66979,0.04994,2.46935
72,7300,0.63988,0.04983,2.46758,0.61691,0.05007,2.46004,0.65309,0.05022,2.46283
73,7400,0.63296,0.04909,2.45389,0.63663,0.04953,2.45726,0.65829,0.04977,2.45263
74,7500,0.63550,0.04947,2.45324,0.69325,0.04934,2.45083,0.65005,0.04946,2.45006
75,7600,0.63933,0.04904,2.44139,0.65375,0.04895,2.44692,0.65954,0.04916,2.44110
76,7700,0.62597,0.04861,2.44078,0.63806,0.04876,2.43778,0.65622,0.04905,2.43453
77,7800,0.64987,0.04858,2.42916,0.65431,0.04836,2.42488,0.64067,0.04861,2.42863
78,7900,0.63444,0.04786,2.42083,0.64126,0.04774,2.42468,0.65837,0.04837,2.42336
79,8000,0.64276,0.04796,2.41634,0.64001,0.04783,2.41136,0.66028,0.04785,2.41783
80,8100,0.63839,0.04743,2.40891,0.64502,0.04773,2.40650,0.65659,0.04761,2.40753
81,8200,0.64133,0.04728,2.40330,0.65063,0.04727,2.40102,0.64688,0.04748,2.39968
82,8300,0.64561,0.04690,2.39614,0.66931,0.04682,2.39672,0.65283,0.04686,2.39615
83,8400,0.64083,0.04617,2.38804,0.66648,0.04643,2.39384,0.66812,0.04663,2.39200
84,8500,0.63920,0.04611,2.38053,0.64020,0.04547,2.38110,0.66292,0.04591,2.38456
85,8600,0.63604,0.04564,2.38258,0.66535,0.04582,2.37696,0.66209,0.04586,2.37896
86,8700,0.63011,0.04511,2.37847,0.65944,0.04503,2.37793,0.68063,0.04495,2.37108
87,8800,0.63472,0.04453,2.37396,0.65316,0.04451,2.37040,0.68924,0.04469,2.36418
88,8900,0.62612,0.04401,2.35781,0.63711,0.04396,2.36491,0.68772,0.04417,2.36465
89,9000,0.63663,0.04381,2.35652,0.67989,0.04355,2.35114,0.67225,0.04384,2.36402
90,9100,0.64396,0.04291,2.34750,0.68982,0.04328,2.35108,0.66335,0.04313,2.35377
91,9200,0.65137,0.04254,2.34689,0.68040,0.04280,2.35240,0.68104,0.04296,2.35287
92,9300,0.64380,0.04235,2.34436,0.66236,0.04205,2.34265,0.67726,0.04212,2.34368
93,9400,0.65215,0.04176,2.34144,0.66230,0.04185,2.33563,0.67942,0.04187,2.34271
94,9500,0.64646,0.04124,2.33776,0.67273,0.04133,2.34294,0.68911,0.04106,2.33072
95,9600,0.65509,0.04083,2.33891,0.67668,0.04073,2.33769,0.69041,0.04053,2.33013
96,9700,0.66506,0.04008,2.33062,0.68156,0.04028,2.32670,0.68513,0.04035,2.32948
97,9800,0.66839,0.03970,2.32469,0.65961,0.03979,2.32650,0.67652,0.03973,2.32254
