iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value
84,8500,-11.41424,3.30120,0.15323,-11.74499,3.06342,0.15546
85,8600,-11.67572,3.40617,0.15583,-11.82381,3.24392,0.15465
86,8700,-11.52970,3.07615,0.15589,-12.03527,3.32633,0.15435
87,8800,-11.57874,3.38754,0.15373,-12.09692,3.07502,0.15363
88,8900,-11.77523,3.33437,0.15489,-12.09615,3.17278,0.15577
89,9000,-11.76783,3.19277,0.15480,-12.19319,3.35797,0.15449
90,9100,-11.69667,3.16913,0.15591,-12.28915,3.30186,0.15616
91,9200,-12.05635,3.29748,0.15483,-12.31359,3.40242,0.15459
92,9300,-12.22302,3.23052,0.15724,-12.51422,3.40272,0.15677
93,9400,-12.32171,3.41852,0.15706,-12.55236,3.24370,0.15524
94,9500,-12.34397,3.68733,0.15697,-12.82531,3.32256,0.15624
95,9600,-12.42388,3.27612,0.15420,-12.97065,3.33604,0.15505
96,9700,-12.44549,3.59983,0.15662,-13.14383,3.15624,0.15558
97,9800,-12.81280,3.19171,0.15349,-13.28097,3.28661,0.15552
98,9900,-12.85839,3.08919,0.15522,-13.44996,3.38286,0.15504
99,10000,-12.98031,3.26178,0.15679,-13.46395,3.35539,0.15267
100,10100,-13.03076,3.32861,0.15486,-13.45283,3.35444,0.15441
101,10200,-13.04057,3.28493,0.15335,-13.58929,3.43123,0.15316
102,10300,-13.11950,3.43762,0.15329,-13.78950,3.47555,0.15353
103,10400,-13.30929,3.35898,0.15336,-13.79590,3.25096,0.15275
104,10500,-13.43264,3.36173,0.15459,-13.91265,3.24118,0.15301
105,10600,-13.52597,3.32270,0.15302,-14.00660,3.27781,0.15211
106,10700,-13.35044,3.49440,0.15072,-14.15145,3.22512,0.15312
107,10800,-13.47497,3.31853,0.15047,-14.20931,3.24788,0.15197
108,10900,-13.48366,3.40705,0.15230,-14.29043,3.14157,0.15176
109,11000,-13.45451,3.33286,0.14905,-14.46133,3.05354,0.15171
110,11100,-13.47573,3.37625,0.14848,-14.43462,3.25296,0.15204
111,11200,-13.68908,3.57773,0.15156,-14.41927,3.23251,0.14842
112,11300,-13.48267,3.55668,0.15003,-14.55029,3.44853,0.14994
113,11400,-13.59433,3.63852,0.14846,-14.46863,3.30750,0.14959
114,11500,-13.58897,3.42321,0.14806,-14.64685,3.37103,0.14972
115,11600,-13.71704,3.45682,0.15052,-14.61320,3.41952,0.14867
116,11700,-13.73001,3.54350,0.14845,-14.58358,3.15415,0.14806
117,11800,-13.75906,3.42057,0.14743,-14.69783,3.11582,0.14861
118,11900,-13.79269,3.56728,0.14910,-14.93773,3.17103,0.14801
119,12000,-13.64433,3.60080,0.14700,-14.85423,3.16376,0.14809
120,12100,-13.98250,3.54814,0.14891,-14.69527,3.32181,0.14578
121,12200,-13.76691,3.47993,0.14663,-14.79153,3.14052,0.14866
122,12300,-13.63304,3.39049,0.14623,-14.87436,3.34561,0.14617
123,12400,-13.78871,3.42620,0.14706,-14.88485,3.33206,0.14648
124,12500,-13.83070,3.47726,0.14545,-14.75927,3.16715,0.14437
125,12600,-13.95110,3.47653,0.14527,-14.75671,3.23342,0.14512
126,12700,-13.84007,3.49693,0.14578,-14.83701,3.41248,0.14435
127,12800,-13.86609,3.38812,0.14621,-14.70404,3.20303,0.14501
128,12900,-13.82255,3.70577,0.14401,-14.78096,3.29910,0.14349
129,13000,-13.78226,3.56728,0.14355,-14.71932,3.39547,0.14586
130,13100,-13.93697,3.28633,0.14356,-14.86519,3.23988,0.14511
131,13200,-13.83512,3.58594,0.14348,-14.73902,3.35678,0.14388
132,13300,-13.83339,3.29916,0.14336,-14.59084,3.43915,0.14227
133,13400,-13.73509,3.49471,0.14220,-14.73199,3.45984,0.14442
134,13500,-13.87111,3.58817,0.14288,-14.65889,3.28638,0.14323
135,13600,-13.88931,3.63743,0.14205,-14.59509,3.30101,0.14415
136,13700,-13.72830,3.55252,0.14169,-14.55764,3.07181,0.14391
137,13800,-13.78753,3.45641,0.14087,-14.65360,3.50353,0.14439
138,13900,-13.76493,3.35580,0.14125,-14.55629,3.47406,0.14217
139,14000,-13.61157,3.22621,0.13882,-14.61719,3.37556,0.14372
140,14100,-13.69013,3.60107,0.14182,-14.41758,3.43380,0.14156
141,14200,-13.83493,3.53615,0.14345,-14.61519,3.53135,0.14360
142,14300,-13.64638,3.61360,0.14220,-14.48349,3.37337,0.14118
143,14400,-13.74428,3.78208,0.14201,-14.36875,3.46756,0.14193
144,14500,-13.72078,3.75666,0.14242,-14.40608,3.57395,0.13913
145,14600,-13.78577,3.57344,0.14319,-14.32828,3.45606,0.13957
146,14700,-13.68307,3.75111,0.14171,-14.31510,3.57889,0.14224
147,14800,-13.64338,3.50725,0.14042,-14.25188,3.54389,0.14106
148,14900,-13.64605,3.80708,0.14122,-14.31412,3.36215,0.14213
149,15000,-13.64916,3.56576,0.14000,-14.42554,3.54362,0.14235
150,15100,-13.57960,3.73788,0.14157,-14.16638,3.55028,0.13881
151,15200,-13.72432,3.54258,0.14217,-14.28271,3.46584,0.14265
152,15300,-13.53892,3.80022,0.14215,-14.24887,3.45769,0.14054
153,15400,-13.50159,3.93523,0.14141,-14.16143,3.56126,0.14049
154,15500,-13.52911,3.79058,0.14100,-14.18084,3.70255,0.14146
155,15600,-13.52690,3.75989,0.14154,-14.02176,3.80631,0.14195
156,15700,-13.55667,3.91274,0.14091,-14.06223,3.70705,0.14091
157,15800,-13.48130,3.71051,0.14115,-14.07188,3.68506,0.14036
158,15900,-13.39620,3.65710,0.14026,-13.97345,3.73209,0.14071
159,16000,-13.31735,3.65680,0.13853,-14.03564,3.91414,0.14023
160,16100,-13.45612,4.04299,0.13989,-14.01631,3.78278,0.13909
161,16200,-13.34359,3.95153,0.14051,-14.05351,3.68558,0.13850
162,16300,-13.38534,3.81337,0.13888,-13.90605,3.58757,0.13859
163,16400,-13.37486,3.81250,0.14087,-13.87757,3.87597,0.13883
164,16500,-13.33098,3.79170,0.14091,-13.98779,3.50272,0.13846
165,16600,-13.34463,3.50122,0.14013,-13.92339,3.66545,0.14049
166,16700,-13.17069,3.89795,0.13809,-13.87537,3.77403,0.13949
167,16800,-13.21325,3.49758,0.13930,-13.95567,3.78433,0.13751
168,16900,-13.20416,3.79428,0.14010,-13.92270,3.77923,0.13756
169,17000,-13.01155,3.94800,0.13922,-13.79984,4.00573,0.13839
170,17100,-12.96261,3.86160,0.13769,-13.85588,3.69699,0.13690
171,17200,-13.07181,4.26168,0.13719,-13.89718,3.77510,0.13681
172,17300,-13.17785,4.03474,0.13636,-13.77686,3.83629,0.13725
173,17400,-12.87852,4.10220,0.13588,-13.75084,3.90421,0.13641
174,17500,-12.93345,3.91960,0.13670,-13.79726,3.70724,0.13660
175,17600,-12.90971,3.98210,0.13509,-13.75574,3.71108,0.13500
176,17700,-12.78149,4.01949,0.13371,-13.68260,3.59975,0.13722
177,17800,-12.97814,3.78196,0.13820,-13.68101,3.95036,0.13721
178,17900,-12.81490,3.86493,0.13459,-13.68172,3.94809,0.13532
179,18000,-12.76809,3.99853,0.13602,-13.53901,3.85318,0.13508
180,18100,-12.64763,4.00757,0.13268,-13.59538,3.96019,0.13613
181,18200,-12.64681,3.88654,0.13286,-13.47137,3.71771,0.13245
182,18300,-12.62715,3.85644,0.13321,-13.54389,3.78662,0.13362
183,18400,-12.60000,3.74309,0.13353,-13.47713,3.84585,0.13396
184,18500,-12.49447,3.68289,0.13172,-13.52614,3.73745,0.13272
185,18600,-12.63259,3.88248,0.13362,-13.53137,4.12989,0.13174
186,18700,-12.47738,3.80989,0.13266,-13.39419,3.59423,0.13224
187,18800,-12.42854,4.01247,0.13351,-13.53810,3.68861,0.13344
188,18900,-12.43906,3.90740,0.13328,-13.57478,3.69833,0.13304
189,19000,-12.52671,3.83533,0.13179,-13.48164,3.73784,0.13195
190,19100,-12.41714,3.81851,0.13206,-13.39720,3.69942,0.13133
191,19200,-12.40828,3.92484,0.13014,-13.33371,3.65645,0.13253
192,19300,-12.37354,3.84508,0.13125,-13.48207,3.76465,0.13008
193,19400,-12.31354,3.77524,0.13232,-13.30635,3.63397,0.13205
194,19500,-12.32910,3.88333,0.13114,-13.45868,3.64168,0.13001
195,19600,-12.13742,3.81172,0.13039,-13.33418,3.93782,0.13133
196,19700,-12.19126,3.98858,0.12871,-13.26176,3.86091,0.13096
197,19800,-12.28712,4.02254,0.13042,-13.13011,3.75749,0.13029
198,19900,-12.06330,3.94039,0.13027,-13.24086,3.50238,0.13043
199,20000,-12.09542,3.84635,0.12999,-13.29620,3.77559,0.13162
200,20100,-12.03814,3.98794,0.12899,-13.18065,3.68949,0.12978
201,20200,-12.10008,3.96060,0.13030,-13.04106,3.61247,0.12788
202,20300,-11.92831,3.81381,0.12745,-13.08548,3.60080,0.12817
203,20400,-11.93459,4.07757,0.12768,-13.08340,3.88206,0.12929
204,20500,-11.97584,3.75562,0.12841,-13.07889,3.69095,0.12871
205,20600,-11.94302,4.13676,0.12749,-12.92418,3.58369,0.12720
206,20700,-11.87414,3.97633,0.12838,-12.89560,3.80320,0.12826
207,20800,-11.84379,3.91585,0.12720,-12.96400,3.93791,0.12888
208,20900,-11.84305,3.91323,0.12942,-12.80800,3.61982,0.12844
209,21000,-11.73170,3.84100,0.12865,-12.93433,3.78301,0.12846
210,21100,-11.69869,3.88282,0.13008,-12.66848,3.85799,0.12801
211,21200,-11.72316,3.68658,0.12742,-12.65854,3.84546,0.12737
212,21300,-11.60226,3.93728,0.12666,-12.69871,3.79140,0.12815
213,21400,-11.72949,4.04391,0.12759,-12.69968,3.70948,0.12717
214,21500,-11.55930,3.93857,0.12611,-12.64056,4.01445,0.12782
215,21600,-11.68004,4.12128,0.12716,-12.62052,3.76997,0.12701
216,21700,-11.54912,4.03270,0.12820,-12.71255,3.78786,0.12897
217,21800,-11.58374,3.75701,0.12670,-12.57569,3.58320,0.12714
218,21900,-11.51468,4.48186,0.12747,-12.60636,3.85701,0.12638
219,22000,-11.41230,4.16572,0.12715,-12.50396,4.11462,0.12688
220,22100,-11.37076,4.06991,0.12576,-12.52022,3.89958,0.12814
221,22200,-11.35056,4.20151,0.12599,-12.59221,3.98495,0.12911
222,22300,-11.41511,4.05210,0.12564,-12.56435,3.77811,0.12916
223,22400,-11.51423,3.90279,0.12971,-12.52397,3.89401,0.12814
224,22500,-11.49737,3.98088,0.12761,-12.50966,3.84241,0.12663
225,22600,-11.39465,3.88698,0.12815,-12.45504,3.84061,0.12801
226,22700,-11.41049,4.02216,0.12853,-12.50392,4.03734,0.12996
227,22800,-11.45573,3.80050,0.12870,-12.54636,3.82506,0.12854
228,22900,-11.44454,3.96369,0.12795,-12.54723,3.99701,0.12887
229,23000,-11.50762,4.08919,0.12730,-12.60510,3.98490,0.12848
230,23100,-11.58714,3.97747,0.12790,-12.62955,3.82882,0.12777
231,23200,-11.64072,3.89438,0.12811,-12.60366,3.74058,0.12748
232,23300,-11.51188,4.02179,0.12897,-12.64152,3.75750,0.12948
233,23400,-11.68661,3.99268,0.12686,-12.66278,4.18255,0.12885
234,23500,-11.60962,4.15224,0.12854,-12.72828,3.98551,0.12838
235,23600,-11.62931,3.74685,0.12984,-12.57695,4.08957,0.12732
236,23700,-11.62427,4.13052,0.12773,-12.78165,4.06528,0.12882
237,23800,-11.66661,4.04961,0.13029,-12.77420,4.07992,0.12922
238,23900,-11.69136,4.06205,0.12893,-12.75096,3.95004,0.12853
239,24000,-11.67271,4.06528,0.12970,-12.75073,4.10591,0.12897
240,24100,-11.75918,4.05902,0.12952,-12.78262,4.17046,0.12999
241,24200,-11.68645,3.86911,0.12841,-12.76027,3.94658,0.12659
242,24300,-11.89775,4.24660,0.13032,-12.78789,4.22678,0.12856
243,24400,-11.88142,4.11755,0.12805,-12.78896,4.11988,0.12844
244,24500,-11.83230,3.81546,0.12814,-12.83720,4.19504,0.12893
245,24600,-11.93628,4.05187,0.12805,-12.82800,3.98027,0.12780
246,24700,-11.89036,4.38752,0.12875,-12.98286,4.15236,0.12812
247,24800,-11.95865,4.16313,0.12930,-12.84197,4.13032,0.12812
248,24900,-11.86260,4.31586,0.12739,-12.76952,3.99404,0.12869
