iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss
116,11700,-3.35989,0.18889,-3.43489,0.24541
117,11800,-3.39916,0.15784,-3.47082,0.21928
118,11900,-3.40002,0.18932,-3.45773,0.30635
119,12000,-3.35862,0.14999,-3.48374,0.19085
120,12100,-3.45636,0.15513,-3.44910,0.24874
121,12200,-3.42737,0.15511,-3.48048,0.22441
122,12300,-3.43710,0.17436,-3.53448,0.17366
123,12400,-3.42437,0.14734,-3.51217,0.13583
124,12500,-3.38422,0.17860,-3.52715,0.19417
125,12600,-3.46449,0.24035,-3.51745,0.18011
126,12700,-3.40272,0.21321,-3.52314,0.15870
127,12800,-3.40628,0.23997,-3.51664,0.20383
128,12900,-3.41260,0.33169,-3.51878,0.16648
129,13000,-3.42162,0.17274,-3.48127,0.21141
130,13100,-3.39920,0.40463,-3.52422,0.17738
131,13200,-3.45910,0.17935,-3.55095,0.26865
132,13300,-3.46265,0.16599,-3.54190,0.15585
133,13400,-3.38599,0.24238,-3.51313,0.14866
134,13500,-3.43852,0.22544,-3.58975,0.11047
135,13600,-3.43556,0.27087,-3.54315,0.16817
136,13700,-3.44707,0.31257,-3.57510,0.14237
137,13800,-3.49228,0.13623,-3.58082,0.25203
138,13900,-3.42124,0.20488,-3.59958,0.15063
139,14000,-3.49544,0.15959,-3.56236,0.12470
140,14100,-3.45595,0.16007,-3.56635,0.15024
141,14200,-3.49150,0.16635,-3.54852,0.22599
142,14300,-3.45627,0.15983,-3.60859,0.18632
143,14400,-3.45122,0.21985,-3.60813,0.15526
144,14500,-3.51488,0.19236,-3.63095,0.17997
145,14600,-3.47384,0.15371,-3.60544,0.12815
146,14700,-3.46571,0.20858,-3.61447,0.14689
147,14800,-3.49029,0.16064,-3.57543,0.16893
148,14900,-3.42669,0.18876,-3.67125,0.14993
149,15000,-3.44568,0.21561,-3.69425,0.18155
150,15100,-3.47653,0.19568,-3.61870,0.29857
151,15200,-3.44147,0.16518,-3.65805,0.16034
152,15300,-3.47279,0.13591,-3.65682,0.11749
