iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss
44,4500,-6.03608,0.80628,0.05888,2.60745,-6.25958,0.57917,0.05889,2.60708,-6.29436,0.68213,0.05850,2.60629
45,4600,-6.07270,0.65777,0.05829,2.60318,-6.26297,0.61239,0.05802,2.60327,-6.24549,0.62882,0.05812,2.60261
46,4700,-6.08128,0.59144,0.05732,2.59715,-6.30235,0.58798,0.05745,2.59769,-6.21158,0.59729,0.05747,2.59657
47,4800,-5.95445,0.77817,0.05669,2.59346,-6.21732,0.58723,0.05682,2.59223,-6.18296,1.05203,0.05687,2.59214
48,4900,-5.95906,0.90980,0.05594,2.58574,-6.23833,0.61120,0.05601,2.58626,-6.21464,0.73789,0.05636,2.58616
49,5000,-6.01257,0.85383,0.05565,2.57964,-6.21713,0.60502,0.05629,2.57999,-6.19754,0.65213,0.05623,2.57986
50,5100,-5.92796,0.80054,0.05531,2.57508,-6.25378,0.59583,0.05527,2.57501,-6.22398,0.60312,0.05562,2.57331
51,5200,-5.84944,0.85614,0.05503,2.56767,-6.24192,0.60291,0.05510,2.56816,-6.17399,0.60174,0.05508,2.56996
52,5300,-5.90076,0.84435,0.05456,2.56138,-6.21005,0.61203,0.05534,2.56089,-6.08398,0.60931,0.05473,2.55996
53,5400,-5.85812,0.85628,0.05471,2.55568,-6.20086,0.61556,0.05449,2.55362,-6.13168,0.64498,0.05417,2.55446
54,5500,-5.96469,0.82256,0.05479,2.54566,-6.24587,0.61204,0.05460,2.54856,-6.16371,0.63372,0.05464,2.54766
55,5600,-5.92671,0.83035,0.05399,2.53992,-6.25185,0.61772,0.05438,2.54009,-6.18528,0.62789,0.05443,2.54057
56,5700,-5.94598,0.87637,0.05466,2.53248,-6.21953,0.65598,0.05423,2.53207,-6.21349,0.63143,0.05421,2.53304
57,5800,-5.91555,0.90092,0.05459,2.52547,-6.23323,0.61013,0.05438,2.52495,-6.22114,0.63426,0.05418,2.52597
58,5900,-5.85420,0.88188,0.05455,2.51798,-6.22194,0.60567,0.05474,2.51713,-6.17762,0.61078,0.05459,2.51701
59,6000,-5.87700,0.84835,0.05482,2.51208,-6.27579,0.63923,0.05491,2.51098,-6.24520,0.62521,0.05451,2.50936
60,6100,-5.89716,0.91434,0.05452,2.50150,-6.21051,0.65127,0.05502,2.50269,-6.23492,0.62878,0.05445,2.49986
61,6200,-5.86411,0.87287,0.05455,2.49317,-6.30017,0.62440,0.05503,2.49037,-6.22756,0.63321,0.05488,2.49313
62,6300,-5.93207,0.89807,0.05497,2.48793,-6.29133,0.66094,0.05521,2.48461,-6.22782,0.64758,0.05487,2.48632
63,6400,-5.89904,0.87369,0.05509,2.47648,-6.29406,0.63597,0.05529,2.47666,-6.17187,0.63417,0.05482,2.47698
64,6500,-5.91048,0.89426,0.05496,2.46875,-6.26812,0.64371,0.05522,2.46642,-6.24445,0.65817,0.05536,2.46839
65,6600,-5.98445,0.90878,0.05544,2.45794,-6.29192,0.66079,0.05527,2.45629,-6.18119,0.65663,0.05540,2.45626
66,6700,-5.83056,0.92068,0.05569,2.44831,-6.33281,0.66730,0.05563,2.44884,-6.28222,0.65413,0.05542,2.44498
67,6800,-5.95864,0.79033,0.05589,2.43805,-6.37181,0.68130,0.05625,2.43743,-6.23257,0.64421,0.05528,2.43817
68,6900,-5.94444,0.70446,0.05526,2.42978,-6.33183,0.68039,0.05549,2.42450,-6.25910,0.64411,0.05532,2.42577
69,7000,-5.99467,0.67960,0.05568,2.42131,-6.34765,0.64585,0.05649,2.42249,-6.25556,0.68003,0.05609,2.41699
70,7100,-5.99327,0.74167,0.05597,2.40873,-6.29407,0.66102,0.05594,2.40810,-6.25828,0.64943,0.05631,2.40553
71,7200,-5.99533,0.74546,0.05577,2.39984,-6.43635,0.64781,0.05596,2.40316,-6.31027,0.68741,0.05621,2.39804
72,7300,-5.95591,0.67686,0.05553,2.38676,-6.35985,0.67767,0.05599,2.38660,-6.29327,0.70569,0.05566,2.38847
73,7400,-6.03609,0.63438,0.05565,2.37708,-6.33501,0.69378,0.05568,2.37640,-6.36572,0.66388,0.05641,2.37484
74,7500,-6.05541,0.62733,0.05667,2.36668,-6.47525,0.68648,0.05621,2.36920,-6.36121,0.68294,0.05656,2.36914
75,7600,-6.06490,0.64447,0.05593,2.35822,-6.41653,0.68108,0.05650,2.34958,-6.36760,0.67067,0.05671,2.35615
76,7700,-6.06709,0.62087,0.05653,2.34467,-6.50824,0.69351,0.05688,2.35040,-6.33228,0.67420,0.05595,2.34205
77,7800,-6.07618,0.61888,0.05657,2.33776,-6.47244,0.67357,0.05654,2.33507,-6.32951,0.67032,0.05673,2.33440
78,7900,-6.12166,0.67175,0.05612,2.32666,-6.48144,0.73564,0.05619,2.32252,-6.41944,0.68652,0.05633,2.32651
79,8000,-6.16735,0.71087,0.05582,2.31382,-6.50758,0.70327,0.05564,2.31045,-6.46426,0.68028,0.05591,2.31369
80,8100,-6.14292,0.72115,0.05651,2.30090,-6.54951,0.69411,0.05581,2.30420,-6.42836,0.69114,0.05551,2.30337
81,8200,-6.15474,0.67571,0.05586,2.29194,-6.60039,0.69478,0.05613,2.29120,-6.42954,0.67419,0.05582,2.29326
82,8300,-6.18963,0.69177,0.05601,2.28114,-6.58668,0.66069,0.05561,2.28454,-6.49228,0.70804,0.05580,2.27883
83,8400,-6.20796,0.67854,0.05534,2.27115,-6.54270,0.66299,0.05537,2.27165,-6.49892,0.72418,0.05535,2.27446
84,8500,-6.20671,0.67442,0.05481,2.26773,-6.58001,0.69501,0.05519,2.26087,-6.53919,0.68920,0.05492,2.25810
85,8600,-6.20361,0.65323,0.05496,2.24867,-6.62460,0.67195,0.05481,2.25503,-6.52080,0.78208,0.05483,2.25463
86,8700,-6.24405,0.78979,0.05481,2.24358,-6.65105,0.71020,0.05495,2.24733,-6.51384,0.71701,0.05446,2.23956
87,8800,-6.27945,0.72382,0.05396,2.23492,-6.63397,0.72387,0.05429,2.23320,-6.54275,0.68503,0.05346,2.23521
