iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,3_maddpg_actor_loss,3_maddpg_critic_loss
0,100,-0.16006,0.56892,-0.18065,0.56611,-0.18855,0.61599
1,200,-0.17472,0.36912,-0.21544,0.31999,-0.20431,0.34531
2,300,-0.24968,0.32385,-0.28511,0.32249,-0.25544,0.32085
3,400,-0.30827,0.27971,-0.32789,0.26134,-0.32063,0.26850
4,500,-0.34234,0.28025,-0.37003,0.27448,-0.36078,0.24255
5,600,-0.37612,0.27132,-0.37315,0.26217,-0.35804,0.24773
6,700,-0.40403,0.27327,-0.41363,0.27825,-0.40701,0.29552
7,800,-0.45465,0.28512,-0.42983,0.29462,-0.44331,0.29883
8,900,-0.48717,0.31538,-0.48031,0.29158,-0.45903,0.31741
9,1000,-0.54299,0.32454,-0.51605,0.31409,-0.52568,0.32008
10,1100,-0.59085,0.33493,-0.55285,0.34492,-0.51975,0.34552
11,1200,-0.61742,0.36258,-0.58652,0.37177,-0.54714,0.36496
12,1300,-0.66834,0.41761,-0.63323,0.40383,-0.58888,0.40513
13,1400,-0.70665,0.45055,-0.64821,0.41555,-0.65090,0.42977
14,1500,-0.74944,0.46331,-0.70935,0.45702,-0.67864,0.46016
15,1600,-0.77878,0.48213,-0.74782,0.48447,-0.74103,0.48015
16,1700,-0.86313,0.50078,-0.80062,0.52217,-0.77889,0.52357
17,1800,-0.87627,0.55076,-0.84472,0.52490,-0.80253,0.53026
18,1900,-0.95076,0.55253,-0.90652,0.57300,-0.84319,0.58478
19,2000,-0.97542,0.61121,-0.96420,0.60244,-0.90252,0.60609
20,2100,-1.04294,0.61779,-1.00880,0.62320,-0.93929,0.62527
21,2200,-1.07404,0.64461,-1.03939,0.66885,-0.99201,0.63948
22,2300,-1.14323,0.69401,-1.06586,0.69664,-0.98060,0.68454
23,2400,-1.14647,0.72287,-1.09193,0.71266,-1.06481,0.71094
24,2500,-1.20148,0.74516,-1.14458,0.74416,-1.05389,0.75006
