iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,3_maddpg_actor_loss,3_maddpg_critic_loss
82,8300,-0.92398,1.77679,-0.63547,2.30638,-0.61221,2.47622
83,8400,-1.01686,1.82068,-0.68047,2.54127,-0.49106,2.33711
84,8500,-0.96878,1.79302,-0.75559,2.50651,-0.49591,2.41244
85,8600,-1.03076,1.76321,-0.64505,2.38178,-0.57760,2.46177
86,8700,-0.95793,1.77717,-0.73233,2.44954,-0.45271,2.38288
87,8800,-1.02890,1.73001,-0.71013,2.59759,-0.59716,2.34615
88,8900,-1.02262,1.74385,-0.73140,2.39881,-0.55985,2.56185
89,9000,-0.98802,1.79619,-0.84721,2.42714,-0.65544,2.50846
90,9100,-1.00702,1.80581,-0.74582,2.49364,-0.62797,2.56779
91,9200,-0.95850,1.90319,-0.78420,2.45537,-0.55220,2.43694
92,9300,-0.96344,1.78267,-0.72548,2.44301,-0.52318,2.42151
93,9400,-1.04122,1.90138,-0.73698,2.44905,-0.60861,2.41255
94,9500,-1.08940,1.86004,-0.74670,2.66279,-0.71227,2.53910
95,9600,-1.13698,1.83628,-0.78261,2.64961,-0.54366,2.55327
96,9700,-1.10944,1.78881,-0.83271,2.43783,-0.59684,2.52197
97,9800,-1.03117,1.92478,-0.79051,2.64195,-0.62641,2.47560
98,9900,-1.15173,1.84454,-0.73924,2.60529,-0.67732,2.46465
99,10000,-1.21864,1.72472,-0.78347,2.57420,-0.61272,2.51621
100,10100,-1.12225,1.90405,-0.75697,2.44362,-0.73484,2.57825
101,10200,-1.25143,1.76922,-0.80010,2.55963,-0.61215,2.47569
102,10300,-1.23881,1.77462,-0.81156,2.60349,-0.67145,2.50444
103,10400,-1.28588,1.75904,-0.93078,2.50562,-0.82696,2.68989
104,10500,-1.34489,1.77801,-0.77682,2.54532,-0.67206,2.65473
105,10600,-1.30497,1.76508,-0.82146,2.42021,-0.69728,2.55416
