iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value
84,8500,-2.15461,0.18783,0.00118,-17.78860,1.52634,0.24281
85,8600,-2.16257,0.17239,0.00117,-17.80278,1.41872,0.24086
86,8700,-2.20469,0.12648,0.00117,-17.75545,1.23976,0.24125
87,8800,-2.20203,0.16482,0.00116,-17.76864,1.22133,0.24097
88,8900,-2.21026,0.19992,0.00115,-17.75793,1.18423,0.23815
89,9000,-2.25938,0.18715,0.00115,-17.86821,1.25099,0.23914
90,9100,-2.31866,0.16118,0.00114,-17.77797,1.26716,0.23868
91,9200,-2.30970,0.17157,0.00113,-17.85330,1.23814,0.23933
92,9300,-2.29504,0.20614,0.00113,-17.98192,1.24612,0.23728
93,9400,-2.31732,0.17476,0.00112,-17.96216,1.27644,0.23699
94,9500,-2.39315,0.15273,0.00112,-18.03328,1.23856,0.23902
95,9600,-2.30090,0.17941,0.00111,-18.00080,1.22207,0.23756
96,9700,-2.40813,0.18235,0.00110,-17.97802,1.22531,0.23681
97,9800,-2.40498,0.20012,0.00110,-18.02334,1.22916,0.23617
98,9900,-2.45640,0.21330,0.00109,-17.98469,1.22303,0.23174
99,10000,-2.50498,0.17788,0.00109,-18.05509,1.23136,0.23459
100,10100,-2.41585,0.20407,0.00108,-18.15632,1.25976,0.23429
101,10200,-2.47393,0.17807,0.00108,-18.18604,1.28492,0.23614
102,10300,-2.44340,0.20218,0.00107,-18.07408,1.22998,0.23227
103,10400,-2.49584,0.23412,0.00107,-18.16694,1.25329,0.23663
104,10500,-2.48394,0.19441,0.00106,-18.29526,1.20561,0.23547
105,10600,-2.54356,0.19292,0.00106,-18.22430,1.39946,0.23404
106,10700,-2.51171,0.22036,0.00105,-18.29210,1.33138,0.23458
107,10800,-2.57118,0.23796,0.00105,-18.29583,1.29375,0.23133
108,10900,-2.56136,0.20439,0.00104,-18.36178,1.26681,0.22983
109,11000,-2.62804,0.19600,0.00104,-18.36587,1.28966,0.23299
110,11100,-2.60212,0.15874,0.00103,-18.32627,1.24839,0.23167
111,11200,-2.57418,0.17688,0.00103,-18.35719,1.29992,0.23252
112,11300,-2.61823,0.20846,0.00102,-18.42664,1.31244,0.23204
113,11400,-2.61822,0.20481,0.00102,-18.34086,1.27803,0.22852
114,11500,-2.64048,0.21767,0.00101,-18.48322,1.25990,0.23282
115,11600,-2.62601,0.20124,0.00101,-18.48994,1.29297,0.22962
116,11700,-2.65855,0.19505,0.00100,-18.53907,1.45420,0.23065
117,11800,-2.65858,0.20933,0.00100,-18.49477,1.25032,0.23048
118,11900,-2.69401,0.26696,0.00100,-18.55587,1.38108,0.23090
119,12000,-2.66822,0.30983,0.00099,-18.56180,1.39445,0.22984
120,12100,-2.68477,0.22269,0.00099,-18.53825,1.43466,0.22850
121,12200,-2.76298,0.24350,0.00098,-18.56974,1.25603,0.22762
122,12300,-2.73901,0.24658,0.00098,-18.48988,1.28981,0.22733
123,12400,-2.76843,0.26206,0.00098,-18.64402,1.34502,0.22850
124,12500,-2.71095,0.19763,0.00097,-18.64400,1.26879,0.22746
125,12600,-2.78808,0.23763,0.00097,-18.54151,1.27604,0.22573
126,12700,-2.76301,0.30354,0.00096,-18.65064,1.22855,0.22618
127,12800,-2.76065,0.22518,0.00096,-18.61270,1.26405,0.22273
128,12900,-2.76581,0.27125,0.00096,-18.64096,1.33681,0.22472
129,13000,-2.81152,0.42537,0.00095,-18.65546,1.23675,0.22583
130,13100,-2.79438,0.25681,0.00095,-18.67220,1.17222,0.22280
131,13200,-2.80366,0.22504,0.00095,-18.67333,1.30728,0.22468
132,13300,-2.86089,0.23255,0.00094,-18.66514,1.29116,0.22553
133,13400,-2.87064,0.27440,0.00094,-18.59101,1.22732,0.22106
134,13500,-2.93244,0.25148,0.00093,-18.74682,1.21246,0.22339
135,13600,-2.91393,0.21663,0.00093,-18.72325,1.24984,0.22375
136,13700,-2.96886,0.23132,0.00093,-18.75636,1.21834,0.22357
137,13800,-2.94889,0.21116,0.00092,-18.78888,1.22010,0.22315
138,13900,-2.94164,0.21691,0.00092,-18.73031,1.21209,0.22155
139,14000,-2.93803,0.19360,0.00092,-18.74687,1.38180,0.22264
140,14100,-2.97756,0.21395,0.00091,-18.72573,1.36467,0.22209
141,14200,-3.00070,0.26760,0.00091,-18.80162,1.21319,0.22138
142,14300,-3.01401,0.22239,0.00091,-18.76708,1.16524,0.22021
143,14400,-2.97993,0.25320,0.00090,-18.81328,1.37432,0.22161
144,14500,-3.02948,0.18686,0.00090,-18.68948,1.21707,0.21842
145,14600,-3.08156,0.19031,0.00090,-18.75695,1.34709,0.22129
146,14700,-3.00735,0.19138,0.00090,-18.74628,1.38663,0.22227
147,14800,-3.03695,0.23768,0.00089,-18.73118,1.31596,0.21804
