iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,4_maddpg_actor_loss,4_maddpg_critic_loss
0,100,-0.17510,0.92822,-0.16629,1.01061,-0.13209,0.85009,-0.03656,0.91236
1,200,-0.21804,0.83484,-0.17864,0.77498,-0.17858,0.73278,-0.02762,0.79756
2,300,-0.20661,0.68310,-0.20027,0.70117,-0.18722,0.74573,-0.07823,0.71056
3,400,-0.10331,0.84964,-0.11043,0.71480,-0.08467,0.67413,-0.08287,0.72859
4,500,-0.11044,0.82659,-0.09470,0.60415,-0.04068,0.83944,-0.08299,0.73176
5,600,-0.15707,0.76387,-0.13007,1.10165,-0.07350,0.68927,-0.09948,0.82086
6,700,-0.17001,0.69374,-0.13474,0.54972,-0.09781,0.70710,-0.10619,0.72500
7,800,-0.19819,0.66813,-0.08913,0.90027,-0.05191,1.15685,-0.10369,0.73441
8,900,-0.23595,0.82240,-0.10520,0.89467,-0.06444,0.84214,-0.13097,0.80440
9,1000,-0.21939,1.09765,-0.12778,0.75015,-0.06206,0.73108,-0.08542,0.78080
10,1100,-0.30255,0.85961,-0.11201,0.90033,-0.03316,1.01224,-0.10681,0.75460
11,1200,-0.33609,1.05099,-0.13338,0.99772,-0.05979,0.79449,-0.11015,0.78266
12,1300,-0.31312,1.35725,-0.11390,0.78599,-0.03319,0.90164,-0.14918,0.76227
13,1400,-0.37486,1.16111,-0.09067,0.79874,-0.05193,0.98909,-0.15256,0.86869
14,1500,-0.36060,1.00506,-0.14029,0.93236,-0.07115,0.99459,-0.12997,0.86603
15,1600,-0.36272,0.94009,-0.09585,0.88901,-0.07014,0.92155,-0.15690,0.76139
16,1700,-0.33945,1.04015,-0.08971,0.75516,-0.07788,1.17247,-0.16040,0.91726
17,1800,-0.36966,0.69403,-0.10361,0.86478,-0.08570,1.12158,-0.17818,0.78338
18,1900,-0.37272,1.41579,-0.12039,1.08943,-0.08175,0.86250,-0.20831,0.80314
19,2000,-0.38361,0.83295,-0.13059,0.88423,-0.08117,1.11799,-0.20047,0.73686
20,2100,-0.37133,0.82488,-0.10993,1.05991,-0.06262,1.13544,-0.19331,0.87413
21,2200,-0.36886,1.08532,-0.11833,0.90166,-0.06136,0.91026,-0.18686,0.84031
22,2300,-0.39348,0.99473,-0.12103,1.34530,-0.07488,0.84054,-0.21172,0.89889
23,2400,-0.40297,1.08885,-0.12492,0.85665,-0.07638,0.89388,-0.19715,0.81037
24,2500,-0.38488,0.88262,-0.14394,1.13726,-0.08217,1.00171,-0.20631,0.88328
25,2600,-0.38660,0.90486,-0.12959,0.74312,-0.08849,1.34884,-0.22375,0.82694
26,2700,-0.38524,0.90033,-0.15195,0.98462,-0.09153,1.18456,-0.21577,0.94976
27,2800,-0.40191,1.00774,-0.16701,0.99217,-0.10178,1.06209,-0.20225,0.84691
28,2900,-0.39075,0.67337,-0.16346,0.81177,-0.10288,0.98965,-0.19451,1.00343
29,3000,-0.38414,1.00300,-0.19613,1.03018,-0.10585,0.88804,-0.21427,0.87406
30,3100,-0.38148,0.95758,-0.18835,0.99235,-0.11506,1.21338,-0.22526,0.88418
31,3200,-0.39142,0.95816,-0.17959,1.03744,-0.11588,0.96758,-0.24813,0.87274
32,3300,-0.37448,1.14898,-0.18503,0.84776,-0.10513,0.88080,-0.23835,0.85309
33,3400,-0.38910,1.33880,-0.18739,1.03490,-0.13048,1.43698,-0.24865,0.79388
34,3500,-0.38014,0.88742,-0.19678,0.82266,-0.13759,1.10200,-0.25214,0.82557
35,3600,-0.37342,1.13372,-0.21745,0.80146,-0.15715,1.47292,-0.24088,0.86268
36,3700,-0.36391,1.26772,-0.20889,0.99036,-0.15683,0.88170,-0.25792,0.76361
37,3800,-0.36682,0.76784,-0.24063,0.88379,-0.14815,0.85386,-0.26085,0.86832
38,3900,-0.38375,1.02255,-0.24167,0.95746,-0.15860,0.93289,-0.25604,0.85473
39,4000,-0.38430,1.31652,-0.26038,1.03678,-0.17995,0.73925,-0.27904,0.80943
40,4100,-0.36938,0.81970,-0.27348,0.85700,-0.19604,1.16965,-0.29979,0.75099
41,4200,-0.38706,1.04761,-0.25911,1.30896,-0.19839,0.82096,-0.29548,0.84704
42,4300,-0.40052,0.99325,-0.30125,0.91711,-0.22283,1.06142,-0.32542,0.85658
43,4400,-0.42819,1.04102,-0.31002,1.26330,-0.24166,0.77406,-0.33931,0.80022
44,4500,-0.44622,0.91074,-0.33654,1.02744,-0.25602,1.19734,-0.34873,0.74399
45,4600,-0.45324,0.98241,-0.33498,0.83906,-0.26643,0.71150,-0.35433,0.77196
46,4700,-0.46360,0.94793,-0.37127,0.83414,-0.28675,0.87016,-0.35796,0.83885
47,4800,-0.48323,1.20889,-0.39411,1.45325,-0.32409,1.34810,-0.37005,0.76246
48,4900,-0.47324,0.75866,-0.40792,0.84685,-0.33754,1.03590,-0.37214,0.76079
49,5000,-0.50672,1.20897,-0.43637,1.03762,-0.36345,1.22042,-0.38329,0.76180
50,5100,-0.52038,0.86519,-0.45409,1.05704,-0.41015,1.24216,-0.39141,0.75006
51,5200,-0.53331,1.12503,-0.49081,0.87681,-0.41932,1.14790,-0.37020,0.81208
52,5300,-0.55969,1.07930,-0.49811,1.40741,-0.44698,0.97625,-0.37283,0.82884
53,5400,-0.53952,1.43453,-0.53361,0.98720,-0.46585,0.90343,-0.38099,0.76076
54,5500,-0.54824,0.85556,-0.54051,1.10449,-0.51045,1.05621,-0.39888,0.78109
55,5600,-0.54918,1.28757,-0.55059,0.90536,-0.51618,1.14091,-0.39162,0.80947
56,5700,-0.57150,0.85978,-0.56519,0.80980,-0.52791,1.25503,-0.38753,0.80136
57,5800,-0.58542,0.93056,-0.59104,1.07530,-0.53831,0.77948,-0.38888,0.73961
58,5900,-0.58491,1.18016,-0.61663,0.88875,-0.55273,1.22736,-0.37777,0.78287
59,6000,-0.57295,0.95630,-0.62439,1.03268,-0.58590,0.93230,-0.39370,0.79664
60,6100,-0.58556,1.07343,-0.64871,1.03561,-0.59025,1.03787,-0.41752,0.78782
61,6200,-0.57860,0.81929,-0.65440,1.29345,-0.58636,0.88968,-0.41016,0.83197
62,6300,-0.56549,0.83557,-0.67288,1.29485,-0.59456,0.77384,-0.44397,0.71520
63,6400,-0.56951,1.01438,-0.65600,0.97934,-0.59515,0.71645,-0.42940,0.78713
64,6500,-0.57915,0.96651,-0.67708,0.89966,-0.62345,0.86602,-0.42616,0.74580
65,6600,-0.60101,0.93282,-0.70966,1.09820,-0.64076,0.94593,-0.42967,0.87130
66,6700,-0.59714,1.27588,-0.71910,0.85143,-0.64210,0.68297,-0.41817,0.91176
67,6800,-0.60766,0.86171,-0.77572,1.05849,-0.66612,1.00553,-0.44975,0.87224
68,6900,-0.59486,0.82953,-0.73640,0.84625,-0.68355,1.03510,-0.42945,0.83165
69,7000,-0.59531,0.82297,-0.75183,1.12233,-0.69509,0.88992,-0.45054,0.75377
70,7100,-0.59366,1.17564,-0.77213,0.83449,-0.71599,1.30210,-0.47103,0.82426
71,7200,-0.60073,1.06371,-0.77463,1.19841,-0.73301,0.93971,-0.47297,0.74986
72,7300,-0.56786,0.56202,-0.75771,1.05280,-0.72138,0.79914,-0.45168,0.83014
73,7400,-0.58065,0.96593,-0.77588,1.10451,-0.71831,1.09973,-0.45561,0.79441
74,7500,-0.58701,0.99753,-0.77527,0.91620,-0.75802,1.28261,-0.45214,0.78695
75,7600,-0.62284,1.08848,-0.78481,0.98627,-0.76020,0.96075,-0.45558,0.85717
76,7700,-0.61529,1.15837,-0.75302,0.83357,-0.74070,0.99371,-0.45784,0.91204
77,7800,-0.57144,0.90032,-0.73487,1.01971,-0.73911,0.89638,-0.45652,0.78973
78,7900,-0.58881,1.23826,-0.73206,0.78523,-0.73404,0.98350,-0.47448,0.86029
79,8000,-0.57858,0.92936,-0.75962,1.18947,-0.71681,0.78308,-0.47644,0.79652
80,8100,-0.56214,0.97775,-0.73451,0.98459,-0.70872,0.63977,-0.48649,0.79478
81,8200,-0.53917,0.81209,-0.71490,1.21802,-0.70894,1.07647,-0.48966,0.85130
82,8300,-0.56422,1.01300,-0.70130,1.10170,-0.69298,0.81916,-0.49874,0.88762
83,8400,-0.56321,1.02501,-0.74163,1.12195,-0.70478,1.16482,-0.49428,0.86197
84,8500,-0.53101,0.79869,-0.68480,0.89043,-0.70740,0.89862,-0.50080,0.82771
85,8600,-0.52847,0.91665,-0.69522,0.99751,-0.67946,1.09498,-0.49692,0.81596
86,8700,-0.52034,0.96225,-0.67811,0.91111,-0.70568,0.84136,-0.49443,0.78676
87,8800,-0.52659,1.03630,-0.68432,0.99988,-0.67434,1.10194,-0.49379,0.79543
88,8900,-0.52382,0.91905,-0.67763,0.89752,-0.70646,0.95609,-0.50210,0.82229
89,9000,-0.52371,1.10181,-0.67862,1.15618,-0.69052,1.20949,-0.50150,0.82560
90,9100,-0.51844,0.97880,-0.65413,0.92066,-0.68136,1.00217,-0.52734,0.83566
91,9200,-0.50522,1.08055,-0.66186,0.90628,-0.68818,0.86919,-0.49761,0.96596
92,9300,-0.55177,1.01174,-0.65426,1.25781,-0.69544,1.10294,-0.52011,0.77483
93,9400,-0.52433,1.05959,-0.64070,0.68322,-0.68519,0.82255,-0.52606,0.78349
94,9500,-0.52777,0.95238,-0.66013,1.04663,-0.68804,1.07554,-0.51782,0.81503
95,9600,-0.50514,0.91086,-0.65098,0.73812,-0.68827,1.00033,-0.52435,0.93953
96,9700,-0.50217,0.82298,-0.62568,1.01506,-0.68863,1.15095,-0.52894,0.80525
97,9800,-0.52013,1.37877,-0.64018,1.26361,-0.67877,1.19082,-0.52209,0.68652
98,9900,-0.52214,1.03101,-0.62614,1.23407,-0.66478,1.11406,-0.52554,0.88365
99,10000,-0.50960,0.81087,-0.59860,0.91889,-0.67838,0.95187,-0.50048,0.82754
100,10100,-0.50449,0.99696,-0.60863,0.94240,-0.66582,0.80773,-0.53186,0.71913
101,10200,-0.53257,1.16261,-0.60676,1.01659,-0.67516,1.23832,-0.51635,0.86943
102,10300,-0.50657,1.26612,-0.59032,1.15104,-0.67909,1.22964,-0.53513,0.85964
103,10400,-0.49019,0.89043,-0.58625,0.86286,-0.66300,0.88948,-0.52908,0.83330
104,10500,-0.46424,1.22683,-0.58940,0.91074,-0.65812,0.94844,-0.54539,0.81350
105,10600,-0.46406,0.78034,-0.57097,1.10435,-0.65030,0.77103,-0.55208,0.85038
106,10700,-0.44923,0.97813,-0.54734,0.75691,-0.64539,0.94994,-0.56501,0.81688
107,10800,-0.45017,0.88224,-0.55919,1.14729,-0.65147,1.06750,-0.57908,0.81983
108,10900,-0.43606,0.94399,-0.54118,1.00906,-0.63541,0.91726,-0.56770,0.84189
109,11000,-0.44839,1.10216,-0.55322,0.69738,-0.61576,0.79903,-0.55392,0.90778
110,11100,-0.44281,1.39819,-0.56334,1.09346,-0.62314,1.20116,-0.58432,0.89031
111,11200,-0.44882,0.80603,-0.54175,1.08767,-0.62060,1.16637,-0.56063,0.89619
112,11300,-0.44626,0.87932,-0.54236,0.97725,-0.61379,1.07058,-0.56727,0.82407
113,11400,-0.40975,0.75274,-0.52339,0.81768,-0.61903,0.76413,-0.58872,0.81456
114,11500,-0.41635,1.04176,-0.52349,1.16600,-0.60804,1.19066,-0.56907,0.81735
115,11600,-0.41662,0.94354,-0.52497,1.04840,-0.60293,0.72078,-0.59727,0.81388
116,11700,-0.40879,0.96122,-0.50750,1.29815,-0.58551,0.91309,-0.58689,0.85051
117,11800,-0.43089,1.18449,-0.50334,1.02823,-0.60044,0.98638,-0.59327,0.77807
118,11900,-0.41068,1.03687,-0.49891,1.27430,-0.57205,0.85314,-0.61595,0.74415
119,12000,-0.45359,1.32124,-0.47320,1.04517,-0.56223,1.01947,-0.58236,0.69667
120,12100,-0.43360,1.10801,-0.49060,1.04277,-0.55069,0.74435,-0.61705,0.81916
121,12200,-0.40470,1.08173,-0.49907,1.10571,-0.55567,0.95485,-0.60044,0.80098
122,12300,-0.41829,0.78788,-0.49291,0.86828,-0.53745,0.90705,-0.60582,0.84411
123,12400,-0.42277,1.00934,-0.50583,1.10263,-0.54579,1.25431,-0.59007,0.84630
124,12500,-0.41396,0.93269,-0.47539,1.08600,-0.54803,1.02417,-0.60227,0.85920
125,12600,-0.38813,0.85081,-0.46652,1.02584,-0.53835,1.29639,-0.61228,0.81561
126,12700,-0.42102,1.20179,-0.47938,1.05041,-0.52667,1.03083,-0.61722,0.84346
127,12800,-0.41107,0.88338,-0.46508,0.78934,-0.52557,1.47332,-0.59516,0.82494
128,12900,-0.40240,0.92453,-0.46143,0.92524,-0.51176,0.88311,-0.60373,0.82406
129,13000,-0.42804,1.05352,-0.45165,0.77217,-0.50483,0.77880,-0.60523,0.81134
130,13100,-0.41638,1.30648,-0.44718,0.81908,-0.51044,1.25681,-0.60525,0.87490
131,13200,-0.38185,0.81162,-0.46617,0.98360,-0.50180,1.27239,-0.63564,0.81053
132,13300,-0.39890,1.00943,-0.46033,1.11331,-0.50153,1.12772,-0.61747,0.85061
133,13400,-0.39126,1.18010,-0.44125,1.08947,-0.48363,1.53218,-0.62312,0.83297
134,13500,-0.39822,1.16466,-0.44074,1.14236,-0.49644,1.44488,-0.62360,0.78817
135,13600,-0.37217,0.78678,-0.43867,1.09071,-0.49593,1.24945,-0.60518,0.87898
136,13700,-0.40509,1.22489,-0.43850,1.03267,-0.47438,1.03154,-0.62190,0.89484
137,13800,-0.38828,0.72846,-0.44552,1.17980,-0.47875,1.58538,-0.63022,0.76694
138,13900,-0.37679,0.94298,-0.43267,1.07813,-0.48483,1.03638,-0.63890,0.87117
139,14000,-0.38033,0.81124,-0.41892,0.81043,-0.46984,0.99525,-0.62249,0.80299
140,14100,-0.36451,0.83104,-0.42490,1.03233,-0.47473,1.08978,-0.63807,0.90015
141,14200,-0.36981,1.13747,-0.43242,1.29872,-0.46723,1.10287,-0.63399,0.82342
142,14300,-0.34934,0.98593,-0.40996,0.78095,-0.45188,1.21751,-0.64678,0.90878
143,14400,-0.34578,0.90973,-0.41000,1.08501,-0.44706,1.30392,-0.62131,0.89420
144,14500,-0.37360,1.05393,-0.40570,1.06701,-0.41992,0.96021,-0.64253,0.80026
145,14600,-0.33967,0.99141,-0.40738,1.14765,-0.42165,0.94138,-0.63274,0.78307
146,14700,-0.35165,1.25624,-0.41097,0.92661,-0.44243,0.73962,-0.62279,0.82175
147,14800,-0.34324,1.48935,-0.41318,0.90348,-0.44361,1.16039,-0.62981,0.86118
148,14900,-0.33670,1.01364,-0.41966,1.13433,-0.47426,1.11192,-0.62645,0.82095
149,15000,-0.34782,1.10169,-0.39438,0.74751,-0.44661,0.91523,-0.62736,0.98632
150,15100,-0.33386,0.85003,-0.41190,0.96304,-0.44402,0.82479,-0.64174,0.88213
151,15200,-0.33635,1.40709,-0.39410,1.10149,-0.44280,1.02906,-0.64516,0.81648
152,15300,-0.33771,0.86640,-0.40192,1.03616,-0.46436,0.85577,-0.61731,0.79911
153,15400,-0.33472,0.68671,-0.41915,1.39019,-0.43655,0.98286,-0.63087,0.85851
154,15500,-0.33384,1.18436,-0.41019,1.12617,-0.43498,0.97679,-0.63539,0.95090
155,15600,-0.31303,0.91843,-0.40433,0.82361,-0.44501,0.89561,-0.66405,0.80191
156,15700,-0.32150,1.08548,-0.40032,1.24334,-0.42936,0.80727,-0.68091,0.78699
157,15800,-0.34346,0.97584,-0.40577,1.20321,-0.43574,1.13994,-0.66569,0.86503
158,15900,-0.32861,1.21754,-0.40763,1.11513,-0.42772,0.93061,-0.66261,0.88475
159,16000,-0.32400,1.43336,-0.38979,0.96353,-0.41300,0.67064,-0.65353,0.82700
160,16100,-0.31239,1.10696,-0.38009,0.85057,-0.42692,1.10791,-0.67213,0.86205
161,16200,-0.30793,0.85393,-0.40319,1.12420,-0.43856,0.92299,-0.63309,0.84977
162,16300,-0.32866,1.25729,-0.39589,0.88739,-0.44383,1.00695,-0.62493,0.79786
163,16400,-0.30668,0.83770,-0.39134,1.21325,-0.44192,0.85288,-0.65293,0.86719
164,16500,-0.33055,1.00178,-0.38255,0.89686,-0.43587,0.65243,-0.64562,0.77549
165,16600,-0.30358,1.01750,-0.38855,1.20597,-0.42984,0.87962,-0.63066,0.92619
166,16700,-0.30925,1.15985,-0.40653,1.21036,-0.43667,1.21631,-0.62102,0.94439
167,16800,-0.30424,1.16260,-0.40257,0.92027,-0.42575,0.97839,-0.63316,0.83831
168,16900,-0.30516,1.02250,-0.37185,1.11730,-0.40943,0.78115,-0.65134,0.83852
169,17000,-0.30117,1.05419,-0.38607,0.93321,-0.41671,1.25998,-0.62236,0.85700
170,17100,-0.30108,0.91104,-0.38349,0.82839,-0.41154,0.95799,-0.62748,0.87077
171,17200,-0.29697,0.87219,-0.40237,1.21747,-0.40856,0.94717,-0.63608,0.83474
172,17300,-0.27488,0.86043,-0.37945,0.98563,-0.40657,1.20436,-0.65328,0.90376
173,17400,-0.28917,1.05982,-0.37012,0.90807,-0.42182,1.17121,-0.63241,0.89108
174,17500,-0.32302,1.11582,-0.37290,0.80681,-0.39751,1.03880,-0.63548,0.83474
175,17600,-0.29696,0.88223,-0.36130,0.74736,-0.39325,0.89797,-0.67980,0.86737
176,17700,-0.30126,0.89122,-0.37386,0.83329,-0.38278,1.04925,-0.61277,0.90657
177,17800,-0.29723,0.93767,-0.36294,0.91387,-0.37619,0.86377,-0.67343,0.86649
178,17900,-0.29216,0.96561,-0.38958,1.18242,-0.39282,1.11943,-0.64159,0.85198
179,18000,-0.31423,1.29770,-0.37540,0.95145,-0.39334,1.11140,-0.64336,0.88562
180,18100,-0.28069,1.29144,-0.37205,1.10204,-0.38168,0.99490,-0.63452,0.89430
181,18200,-0.29770,1.29556,-0.35725,0.74441,-0.37448,0.77118,-0.65226,0.85812
182,18300,-0.26094,0.98720,-0.38108,1.03922,-0.37098,0.98847,-0.63827,0.97514
