iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value
58,5900,-9.34859,2.80114,0.19699,-10.75663,3.42450,0.19543,-10.82391,4.07621,0.19595
59,6000,-9.46350,2.99056,0.19549,-10.98026,3.45936,0.19636,-11.05886,3.33705,0.19777
60,6100,-9.58431,3.03599,0.19694,-11.06768,3.32596,0.19840,-11.13161,3.40916,0.19760
61,6200,-9.60064,3.00421,0.19549,-11.12802,3.52461,0.19436,-11.26594,3.56028,0.19673
62,6300,-9.73458,3.16587,0.19713,-11.18856,3.55260,0.19575,-11.20650,3.36936,0.19456
63,6400,-9.84695,2.99690,0.19679,-11.35780,3.44627,0.19772,-11.39421,3.50660,0.19652
64,6500,-9.92132,3.13721,0.19476,-11.44246,3.60060,0.19683,-11.55108,3.52222,0.19573
65,6600,-10.02340,3.02353,0.19608,-11.34144,3.67642,0.19536,-11.58475,3.45749,0.19514
66,6700,-10.14074,2.86862,0.19580,-11.49951,3.49763,0.19515,-11.73641,3.38125,0.19652
67,6800,-10.17250,2.86979,0.19623,-11.66073,3.81779,0.19769,-11.78116,3.48648,0.19563
68,6900,-10.37514,2.98916,0.19472,-11.82665,3.61245,0.19651,-11.85356,3.56480,0.19683
69,7000,-10.56836,2.94607,0.19702,-11.72682,3.61936,0.19646,-11.86692,3.67732,0.19676
70,7100,-10.45070,2.97551,0.19338,-11.79526,3.59080,0.19519,-12.05487,3.52178,0.19606
71,7200,-10.67767,2.71528,0.19551,-11.84285,3.80745,0.19627,-12.12833,3.44170,0.19535
72,7300,-10.71718,2.89514,0.19345,-12.06713,3.63298,0.19626,-12.19648,3.74665,0.19531
73,7400,-10.80655,2.90523,0.19529,-12.09394,3.60316,0.19737,-12.22776,3.32075,0.19526
74,7500,-10.83710,2.98666,0.19422,-12.15465,3.68805,0.19620,-12.38940,3.60202,0.19557
75,7600,-10.90682,2.89258,0.19472,-12.21786,3.77830,0.19472,-12.40056,3.50948,0.19518
76,7700,-11.05519,2.95901,0.19549,-12.27222,3.83121,0.19487,-12.52566,3.81457,0.19418
77,7800,-11.17848,3.06564,0.19506,-12.28927,3.83925,0.19425,-12.57095,3.74716,0.19526
78,7900,-11.15778,2.80047,0.19469,-12.47232,3.94068,0.19592,-12.64828,3.79007,0.19295
79,8000,-11.33084,2.80402,0.19488,-12.54464,3.89428,0.19648,-12.51043,3.94242,0.19398
80,8100,-11.33735,2.91746,0.19444,-12.52240,4.17110,0.19384,-12.59047,3.80353,0.19446
81,8200,-11.36972,2.96605,0.19385,-12.66510,4.11963,0.19678,-12.76039,4.01927,0.19444
82,8300,-11.49313,2.77815,0.19487,-12.64472,4.19479,0.19413,-12.82414,4.00093,0.19520
83,8400,-11.55578,2.88953,0.19478,-12.75727,4.24942,0.19515,-12.89250,3.95475,0.19400
84,8500,-11.56658,2.90099,0.19304,-12.86944,3.78029,0.19505,-13.00848,3.89531,0.19359
85,8600,-11.67418,2.93907,0.19362,-12.80669,4.13957,0.19444,-12.94266,3.97748,0.19473
86,8700,-11.68719,2.95159,0.19362,-13.00442,3.88147,0.19500,-13.00803,3.76054,0.19470
87,8800,-11.79715,2.90919,0.19407,-13.16514,3.94221,0.19423,-13.16505,3.80841,0.19436
88,8900,-11.88666,2.91728,0.19373,-13.07065,4.20359,0.19193,-13.18326,4.11020,0.19211
89,9000,-11.89950,3.00359,0.19442,-13.17784,4.08088,0.19474,-13.13224,4.07616,0.19145
90,9100,-11.98397,3.15817,0.19377,-13.13546,4.01771,0.19457,-13.14711,3.93155,0.19345
91,9200,-12.02489,2.91650,0.19340,-13.10896,4.34281,0.19179,-13.45945,3.85346,0.19270
92,9300,-12.07382,2.91985,0.19398,-13.17705,4.16094,0.19209,-13.39842,4.13299,0.19363
93,9400,-12.14937,3.07501,0.19087,-13.23204,4.42745,0.19323,-13.33804,4.27010,0.19265
94,9500,-12.26244,3.06062,0.19258,-13.21678,4.20355,0.19121,-13.34842,4.06891,0.19264
95,9600,-12.38793,3.00630,0.19471,-13.23970,4.21060,0.19258,-13.42069,4.17403,0.19263
96,9700,-12.32245,3.03887,0.19156,-13.33567,4.22683,0.19128,-13.46132,4.04243,0.19539
97,9800,-12.41982,2.91667,0.19314,-13.35010,4.03463,0.19293,-13.53983,4.18282,0.19195
98,9900,-12.51338,2.98921,0.19150,-13.37101,4.18503,0.19070,-13.56950,4.28684,0.19267
99,10000,-12.59275,3.05318,0.19087,-13.48685,4.73032,0.19091,-13.43797,4.38583,0.19214
100,10100,-12.52870,3.13275,0.19158,-13.44809,4.46168,0.19124,-13.60205,4.20333,0.19088
101,10200,-12.53870,3.01577,0.19009,-13.45833,4.39010,0.19010,-13.46450,4.26556,0.19194
102,10300,-12.62468,3.08759,0.18877,-13.47911,4.60398,0.18953,-13.62373,4.40202,0.18979
103,10400,-12.65201,3.02753,0.18953,-13.48566,4.42815,0.18947,-13.64638,4.29859,0.18986
104,10500,-12.84291,3.18354,0.19074,-13.55842,4.25185,0.19067,-13.58153,4.12872,0.19187
105,10600,-12.70948,3.12607,0.18909,-13.55231,4.35411,0.19009,-13.72545,4.23614,0.19190
106,10700,-12.80643,3.07608,0.19092,-13.56739,4.42816,0.19048,-13.73589,4.37827,0.19248
107,10800,-12.80778,3.27434,0.18929,-13.57235,4.20441,0.19111,-13.64205,4.35851,0.18925
108,10900,-12.95193,3.20024,0.19073,-13.52860,4.51250,0.18919,-13.72002,4.31084,0.19173
109,11000,-12.98448,3.54138,0.19224,-13.59278,4.45526,0.18932,-13.67256,4.17493,0.18893
110,11100,-12.94752,3.22890,0.19077,-13.46717,4.45755,0.19066,-13.69351,4.36118,0.18982
111,11200,-13.07785,3.18587,0.19071,-13.56988,4.20163,0.18973,-13.58169,4.58027,0.18903
112,11300,-13.00345,3.29012,0.18715,-13.75103,4.37172,0.19036,-13.67516,4.36333,0.19237
113,11400,-12.96424,3.43853,0.18701,-13.52251,4.55672,0.18751,-13.67491,4.31481,0.18828
114,11500,-13.19245,3.29022,0.18829,-13.70384,4.56672,0.18845,-13.73931,4.45244,0.18643
115,11600,-13.22779,3.34687,0.18892,-13.75949,4.53583,0.18741,-13.70560,4.22384,0.18695
116,11700,-13.29974,3.39479,0.18925,-13.64607,4.45473,0.18815,-13.66328,4.26101,0.18623
117,11800,-13.26957,3.48142,0.18962,-13.78397,4.43309,0.18996,-13.77853,4.45038,0.18908
118,11900,-13.48349,3.56327,0.18835,-13.65671,4.17082,0.18790,-13.62401,4.40603,0.18881
119,12000,-13.46728,3.40543,0.19001,-13.79737,4.43511,0.18872,-13.75211,4.32096,0.18921
120,12100,-13.47426,3.37265,0.18775,-13.57881,4.64025,0.18806,-13.65431,4.46447,0.18818
121,12200,-13.53659,3.35747,0.18796,-13.78925,4.44994,0.18749,-13.73753,4.33378,0.18968
122,12300,-13.61766,3.43057,0.18863,-13.81793,4.70724,0.18916,-13.68902,4.35502,0.19042
123,12400,-13.56247,3.50159,0.18959,-13.80524,4.37808,0.18968,-13.78922,4.67575,0.18947
124,12500,-13.71321,3.57622,0.18880,-13.79665,4.62581,0.18944,-13.69355,4.49519,0.18774
125,12600,-13.52191,3.60299,0.18816,-13.87665,4.63252,0.18868,-13.71659,4.17858,0.18705
126,12700,-13.58947,3.68814,0.18718,-13.75336,4.39733,0.18922,-13.67564,4.14094,0.18620
127,12800,-13.72509,3.58834,0.18746,-13.72489,4.24114,0.18772,-13.80374,4.29602,0.18665
128,12900,-13.81931,3.53813,0.18797,-13.64859,4.62882,0.18782,-13.76029,4.38056,0.18735
129,13000,-13.73451,3.57363,0.18971,-13.67497,4.40950,0.18547,-13.85968,4.21176,0.18733
130,13100,-13.74757,3.47408,0.18698,-13.75488,4.39201,0.18705,-13.78035,4.48175,0.18782
131,13200,-13.82045,3.58456,0.18718,-13.76527,4.49248,0.18709,-13.79326,4.28383,0.18515
132,13300,-13.85359,3.56919,0.18737,-13.70868,4.44943,0.18614,-13.79581,4.21566,0.18747
133,13400,-14.03290,3.68405,0.18705,-13.77097,4.48522,0.18676,-13.89233,4.23259,0.18799
134,13500,-13.75168,3.77250,0.18712,-13.59181,4.87544,0.18573,-13.77471,4.38237,0.18639
135,13600,-14.04902,3.58368,0.18562,-13.73907,4.61484,0.18649,-13.88551,4.35267,0.18708
136,13700,-13.77950,3.81957,0.18501,-13.78551,4.38060,0.18502,-13.88296,4.42442,0.18671
137,13800,-13.94718,3.67766,0.18711,-13.69374,4.64794,0.18652,-13.84918,4.22492,0.18636
138,13900,-14.13254,3.80322,0.18729,-13.82065,4.42473,0.18707,-13.83628,4.15437,0.18614
139,14000,-13.96817,3.81853,0.18500,-13.83163,4.48516,0.18440,-13.78865,4.60673,0.18530
140,14100,-14.19077,3.74928,0.18778,-13.90667,4.43329,0.18687,-13.93866,4.23213,0.18807
141,14200,-13.94217,3.99729,0.18773,-13.77067,4.30589,0.18638,-13.91727,4.26097,0.18767
142,14300,-14.24497,3.77396,0.18436,-13.71799,4.39234,0.18636,-13.89806,4.53253,0.18480
143,14400,-14.12978,3.84998,0.18565,-13.69345,4.20939,0.18432,-13.84061,4.50557,0.18721
144,14500,-14.28129,3.78409,0.18561,-13.82329,4.47428,0.18404,-13.94242,4.32872,0.18554
145,14600,-14.19289,3.97254,0.18551,-13.75165,4.47458,0.18545,-13.79697,4.19527,0.18672
146,14700,-14.24664,3.75666,0.18360,-13.79569,4.48315,0.18455,-13.94160,4.55126,0.18486
147,14800,-14.26155,4.08695,0.18705,-13.80279,4.07122,0.18472,-13.87062,4.26127,0.18596
148,14900,-14.29379,3.98415,0.18446,-13.78529,4.38298,0.18577,-13.82358,4.16042,0.18409
149,15000,-14.36141,4.23132,0.18513,-13.86623,4.19781,0.18597,-13.78627,4.12369,0.18360
150,15100,-14.31384,4.09137,0.18491,-13.87017,4.00770,0.18521,-13.68989,4.10789,0.18369
151,15200,-14.48653,3.90927,0.18389,-13.83388,4.26215,0.18535,-13.89622,4.18986,0.18308
152,15300,-14.37385,3.80887,0.18508,-13.74667,4.21322,0.18311,-13.71362,4.22837,0.18375
153,15400,-14.31545,4.00643,0.18399,-13.81305,4.30910,0.18351,-13.73092,4.15233,0.18403
154,15500,-14.45661,4.02201,0.18412,-13.78398,4.11622,0.18438,-13.71514,4.22923,0.18301
155,15600,-14.50148,4.07461,0.18471,-13.80233,4.58296,0.18393,-13.87799,4.17827,0.18319
156,15700,-14.40484,4.14913,0.18212,-13.79774,4.16816,0.18429,-13.66269,4.20909,0.18527
157,15800,-14.39889,4.20778,0.18239,-13.83053,4.33320,0.18181,-13.68719,4.16834,0.18135
158,15900,-14.47816,4.29761,0.18107,-13.71146,4.61796,0.18404,-13.72136,4.34602,0.18311
159,16000,-14.43444,4.06527,0.18266,-13.75611,4.33182,0.18251,-13.85086,4.04317,0.18418
160,16100,-14.46437,4.07249,0.18421,-13.82909,4.29772,0.18350,-13.66106,4.34195,0.18358
161,16200,-14.39244,4.31337,0.18346,-13.61667,4.63953,0.18258,-13.78701,4.37040,0.18401
162,16300,-14.41134,4.05154,0.18251,-13.76456,4.46701,0.18310,-13.75072,4.24292,0.18373
163,16400,-14.41914,4.25120,0.18613,-13.74066,4.22348,0.18418,-13.73764,4.34031,0.18323
164,16500,-14.50817,4.04547,0.18416,-13.72996,4.12838,0.18329,-13.66651,4.20519,0.18322
165,16600,-14.47257,4.32862,0.18176,-13.69255,4.24506,0.18403,-13.66659,4.26242,0.18239
166,16700,-14.50966,4.24117,0.18335,-13.66694,4.25414,0.18377,-13.73199,4.04577,0.18252
167,16800,-14.50593,4.23887,0.18208,-13.73515,3.96910,0.18267,-13.81297,4.02839,0.18502
168,16900,-14.49519,4.27893,0.18454,-13.73182,4.20199,0.18336,-13.67213,4.43911,0.18398
169,17000,-14.47351,4.18177,0.18279,-13.68993,4.15412,0.18169,-13.80049,4.15567,0.18142
170,17100,-14.58767,4.50719,0.18481,-13.79317,4.35217,0.18495,-13.74462,4.18785,0.18283
171,17200,-14.38049,4.44136,0.18227,-13.74558,4.10250,0.18383,-13.58381,4.27176,0.18243
172,17300,-14.54304,4.60475,0.18252,-13.63833,4.17438,0.18283,-13.73494,4.11459,0.18308
173,17400,-14.44962,4.26180,0.18157,-13.74424,4.17665,0.18129,-13.74211,4.26130,0.18340
174,17500,-14.51966,4.17475,0.18388,-13.74701,4.26017,0.18192,-13.59631,4.18509,0.18189
