iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value,3_iql_loss,3_count_value
90,9100,1.41930,0.12832,1.32303,0.12886,1.29226,0.12727
91,9200,1.41591,0.12902,1.30225,0.12697,1.48467,0.12717
92,9300,1.46722,0.12697,1.42532,0.12811,1.34783,0.12889
93,9400,1.46380,0.12769,1.41001,0.12756,1.37017,0.12807
94,9500,1.33455,0.12683,1.45823,0.12761,1.36482,0.12717
95,9600,1.36288,0.12507,1.44119,0.12618,1.27281,0.12648
96,9700,1.36565,0.12678,1.44223,0.12621,1.45386,0.12506
97,9800,1.44287,0.12584,1.39177,0.12696,1.44340,0.12566
98,9900,1.44985,0.12660,1.42950,0.12673,1.28396,0.12592
99,10000,1.39968,0.12659,1.31698,0.12711,1.35918,0.12749
100,10100,1.35880,0.12622,1.32918,0.12630,1.36461,0.12756
101,10200,1.37401,0.12542,1.34583,0.12571,1.34498,0.12499
102,10300,1.56936,0.12568,1.37218,0.12532,1.41540,0.12614
103,10400,1.29627,0.12551,1.30724,0.12630,1.34936,0.12657
104,10500,1.44789,0.12560,1.34046,0.12446,1.36241,0.12675
105,10600,1.41412,0.12677,1.32644,0.12569,1.32438,0.12545
106,10700,1.34533,0.12568,1.34108,0.12658,1.38056,0.12608
107,10800,1.43228,0.12597,1.41887,0.12590,1.35034,0.12456
108,10900,1.57994,0.12630,1.34259,0.12552,1.42169,0.12376
109,11000,1.37326,0.12511,1.42137,0.12652,1.35923,0.12631
110,11100,1.35115,0.12546,1.37264,0.12450,1.42458,0.12616
111,11200,1.40717,0.12590,1.32594,0.12645,1.43424,0.12491
112,11300,1.36471,0.12551,1.40430,0.12576,1.45816,0.12301
113,11400,1.39080,0.12596,1.38771,0.12527,1.42127,0.12619
114,11500,1.37196,0.12491,1.36483,0.12648,1.36817,0.12478
115,11600,1.49339,0.12433,1.40410,0.12469,1.42538,0.12421
116,11700,1.31909,0.12610,1.36801,0.12564,1.41512,0.12518
117,11800,1.50676,0.12543,1.38733,0.12479,1.46664,0.12630
118,11900,1.33103,0.12594,1.33459,0.12632,1.33084,0.12514
119,12000,1.38639,0.12532,1.40795,0.12457,1.45363,0.12501
120,12100,1.49555,0.12645,1.41602,0.12609,1.44202,0.12705
121,12200,1.44374,0.12509,1.37262,0.12529,1.29798,0.12523
122,12300,1.45463,0.12440,1.34389,0.12557,1.30927,0.12562
123,12400,1.31047,0.12516,1.43547,0.12546,1.39288,0.12514
124,12500,1.41938,0.12566,1.33122,0.12477,1.38223,0.12414
125,12600,1.41073,0.12581,1.46572,0.12563,1.45516,0.12426
126,12700,1.40630,0.12541,1.38143,0.12481,1.35302,0.12557
127,12800,1.32990,0.12411,1.37108,0.12672,1.27851,0.12427
128,12900,1.40532,0.12527,1.37001,0.12574,1.39590,0.12491
129,13000,1.51909,0.12634,1.36246,0.12620,1.43025,0.12528
130,13100,1.56155,0.12644,1.36951,0.12611,1.34677,0.12498
131,13200,1.40364,0.12590,1.36338,0.12550,1.44464,0.12612
132,13300,1.41786,0.12458,1.43088,0.12444,1.38681,0.12726
133,13400,1.36863,0.12473,1.41266,0.12642,1.36163,0.12508
134,13500,1.44588,0.12590,1.36988,0.12472,1.34620,0.12583
135,13600,1.48698,0.12370,1.27898,0.12538,1.42261,0.12633
136,13700,1.39069,0.12473,1.41035,0.12428,1.41467,0.12578
137,13800,1.45026,0.12640,1.41145,0.12587,1.42759,0.12479
138,13900,1.39844,0.12414,1.43306,0.12552,1.48924,0.12548
139,14000,1.47610,0.12403,1.40667,0.12483,1.35939,0.12660
140,14100,1.42512,0.12585,1.47923,0.12702,1.35986,0.12521
141,14200,1.52919,0.12578,1.49595,0.12550,1.37581,0.12500
142,14300,1.37732,0.12469,1.52982,0.12519,1.50438,0.12560
143,14400,1.40011,0.12409,1.29958,0.12529,1.43032,0.12553
144,14500,1.46858,0.12498,1.32354,0.12491,1.55628,0.12498
145,14600,1.45049,0.12412,1.45803,0.12397,1.50060,0.12547
146,14700,1.37077,0.12496,1.40043,0.12376,1.38224,0.12530
147,14800,1.50382,0.12587,1.41852,0.12345,1.47748,0.12564
148,14900,1.36934,0.12339,1.41098,0.12682,1.40691,0.12481
149,15000,1.53263,0.12433,1.37819,0.12575,1.47354,0.12639
150,15100,1.42455,0.12646,1.36530,0.12521,1.48443,0.12535
151,15200,1.57382,0.12503,1.48679,0.12454,1.47305,0.12462
152,15300,1.51556,0.12512,1.38783,0.12436,1.36593,0.12622
153,15400,1.37724,0.12494,1.44713,0.12430,1.51334,0.12477
154,15500,1.40445,0.12534,1.44712,0.12481,1.48924,0.12690
155,15600,1.50842,0.12448,1.36544,0.12499,1.33451,0.12496
156,15700,1.52482,0.12426,1.55692,0.12610,1.41341,0.12374
157,15800,1.51799,0.12470,1.54732,0.12451,1.48632,0.12416
158,15900,1.43391,0.12474,1.41224,0.12541,1.38462,0.12502
159,16000,1.38455,0.12556,1.32287,0.12525,1.49595,0.12535
160,16100,1.38684,0.12564,1.43136,0.12530,1.45866,0.12454
161,16200,1.49302,0.12544,1.46838,0.12619,1.41796,0.12538
162,16300,1.50517,0.12418,1.52160,0.12658,1.44208,0.12626
163,16400,1.58535,0.12671,1.46433,0.12446,1.54466,0.12578
164,16500,1.59845,0.12601,1.42983,0.12401,1.38515,0.12439
165,16600,1.44826,0.12775,1.51125,0.12561,1.43498,0.12625
166,16700,1.51521,0.12587,1.41990,0.12622,1.53196,0.12649
167,16800,1.40729,0.12815,1.39288,0.12520,1.45704,0.12464
168,16900,1.41089,0.12759,1.52726,0.12596,1.47773,0.12711
169,17000,1.53954,0.12612,1.47325,0.12594,1.43171,0.12765
170,17100,1.50507,0.12633,1.43864,0.12466,1.36211,0.12548
171,17200,1.59923,0.12618,1.55811,0.12712,1.50589,0.12592
172,17300,1.49320,0.12645,1.34978,0.12564,1.48167,0.12687
173,17400,1.47267,0.12702,1.56177,0.12607,1.47419,0.12520
174,17500,1.49059,0.12578,1.46748,0.12592,1.49291,0.12567
175,17600,1.53645,0.12596,1.43955,0.12609,1.41631,0.12749
176,17700,1.60809,0.12517,1.43102,0.12603,1.41454,0.12679
177,17800,1.54561,0.12643,1.45043,0.12518,1.42442,0.12710
178,17900,1.71842,0.12726,1.50310,0.12598,1.46015,0.12629
179,18000,1.44196,0.12649,1.50287,0.12707,1.49395,0.12670
180,18100,1.58611,0.12641,1.51814,0.12682,1.48624,0.12604
181,18200,1.58927,0.12663,1.46158,0.12806,1.49313,0.12771
182,18300,1.38736,0.12637,1.43621,0.12812,1.48978,0.12535
183,18400,1.43568,0.12565,1.47814,0.12677,1.54802,0.12670
184,18500,1.56958,0.12633,1.50988,0.12725,1.47958,0.12812
185,18600,1.58665,0.12719,1.49724,0.12796,1.60054,0.12765
186,18700,1.57512,0.12655,1.53765,0.12525,1.44105,0.12627
187,18800,1.61150,0.12637,1.47436,0.12705,1.50317,0.12818
188,18900,1.58168,0.12867,1.42206,0.12619,1.49808,0.12624
189,19000,1.60565,0.12681,1.35270,0.12677,1.46167,0.12776
190,19100,1.56960,0.12793,1.46751,0.12623,1.46769,0.12683
191,19200,1.52430,0.12674,1.47132,0.12768,1.46235,0.12808
192,19300,1.41305,0.12680,1.45385,0.12666,1.46143,0.12650
193,19400,1.51682,0.12915,1.46517,0.12622,1.50192,0.12483
194,19500,1.43468,0.12714,1.55192,0.12608,1.51581,0.12941
195,19600,1.51669,0.12757,1.43894,0.12559,1.45378,0.12568
196,19700,1.47477,0.12763,1.46828,0.12759,1.44281,0.12620
197,19800,1.51686,0.12615,1.42370,0.12423,1.39102,0.12618
198,19900,1.46046,0.12757,1.41881,0.12641,1.44141,0.12628
199,20000,1.55398,0.12546,1.58462,0.12835,1.50265,0.12655
200,20100,1.44437,0.12556,1.46811,0.12612,1.48370,0.12592
201,20200,1.45022,0.12565,1.43855,0.12438,1.53521,0.12698
202,20300,1.48036,0.12598,1.54248,0.12741,1.45066,0.12656
203,20400,1.59427,0.12615,1.42677,0.12705,1.42516,0.12611
204,20500,1.61474,0.12811,1.40870,0.12607,1.41924,0.12567
205,20600,1.45252,0.12528,1.39412,0.12505,1.44929,0.12562
206,20700,1.60804,0.12569,1.48449,0.12635,1.49912,0.12504
207,20800,1.52643,0.12528,1.46317,0.12592,1.42618,0.12527
208,20900,1.50583,0.12609,1.48955,0.12547,1.50438,0.12575
209,21000,1.57799,0.12646,1.46109,0.12618,1.58864,0.12604
210,21100,1.54593,0.12594,1.54616,0.12358,1.55572,0.12635
211,21200,1.51918,0.12491,1.47298,0.12630,1.51328,0.12454
212,21300,1.55903,0.12465,1.59735,0.12554,1.45781,0.12598
213,21400,1.38234,0.12482,1.47781,0.12483,1.44872,0.12479
214,21500,1.54958,0.12527,1.44808,0.12520,1.45357,0.12465
215,21600,1.59294,0.12546,1.42001,0.12397,1.49250,0.12327
216,21700,1.58182,0.12673,1.46893,0.12537,1.54288,0.12486
217,21800,1.46989,0.12490,1.43122,0.12538,1.59133,0.12519
218,21900,1.57850,0.12655,1.52955,0.12458,1.50689,0.12556
219,22000,1.52856,0.12525,1.47420,0.12482,1.47212,0.12585
220,22100,1.44028,0.12357,1.50374,0.12635,1.52582,0.12479
221,22200,1.56154,0.12441,1.53664,0.12391,1.51877,0.12520
222,22300,1.54516,0.12413,1.52381,0.12514,1.51332,0.12551
223,22400,1.48654,0.12327,1.48681,0.12383,1.58119,0.12624
224,22500,1.56224,0.12604,1.45429,0.12519,1.55566,0.12473
225,22600,1.53773,0.12554,1.46129,0.12497,1.51129,0.12443
226,22700,1.55676,0.12312,1.53055,0.12506,1.52946,0.12580
227,22800,1.43717,0.12313,1.45848,0.12504,1.47518,0.12498
228,22900,1.49765,0.12362,1.47358,0.12391,1.54473,0.12314
229,23000,1.52789,0.12353,1.43248,0.12455,1.67563,0.12429
230,23100,1.43963,0.12424,1.53516,0.12313,1.55127,0.12453
231,23200,1.51891,0.12382,1.42574,0.12317,1.47063,0.12291
232,23300,1.64182,0.12328,1.37336,0.12418,1.54833,0.12321
233,23400,1.63514,0.12235,1.58056,0.12413,1.52121,0.12406
234,23500,1.43107,0.12406,1.41169,0.12499,1.42730,0.12433
235,23600,1.44610,0.12221,1.60704,0.12275,1.45483,0.12408
236,23700,1.60338,0.12446,1.56268,0.12273,1.47222,0.12318
237,23800,1.51682,0.12438,1.49462,0.12364,1.55176,0.12281
238,23900,1.54510,0.12392,1.47717,0.12285,1.50382,0.12272
239,24000,1.60232,0.12467,1.49206,0.12363,1.53854,0.12238
240,24100,1.51449,0.12329,1.55522,0.12357,1.58496,0.12300
241,24200,1.49616,0.12333,1.45022,0.12195,1.52501,0.12335
242,24300,1.55339,0.12397,1.42015,0.12195,1.56012,0.12367
243,24400,1.58288,0.12303,1.49663,0.12203,1.54503,0.12271
244,24500,1.50736,0.12208,1.41856,0.12280,1.52675,0.12277
245,24600,1.54770,0.12203,1.43872,0.12184,1.54625,0.12246
246,24700,1.53791,0.12260,1.42217,0.12318,1.53705,0.12297
247,24800,1.47143,0.12255,1.56439,0.12317,1.55639,0.12214
248,24900,1.45390,0.12221,1.46149,0.12332,1.59561,0.12202
