iteration,episode,1_iql_loss,2_iql_loss,3_iql_loss
158,15900,0.61802,0.83280,0.79041
159,16000,0.59328,0.81495,0.81020
160,16100,0.59964,0.82550,0.77533
161,16200,0.61466,0.84752,0.77586
162,16300,0.62840,0.83795,0.75285
163,16400,0.62142,0.82125,0.76677
164,16500,0.61747,0.79596,0.76894
165,16600,0.60903,0.78750,0.77292
166,16700,0.61378,0.81648,0.77011
167,16800,0.64392,0.80094,0.77458
168,16900,0.59948,0.77918,0.78430
169,17000,0.58457,0.82325,0.75866
170,17100,0.62114,0.81981,0.77390
171,17200,0.62478,0.78358,0.79052
172,17300,0.63439,0.81903,0.77128
173,17400,0.60349,0.81694,0.74059
174,17500,0.61582,0.78544,0.73631
175,17600,0.61977,0.80890,0.76567
176,17700,0.60984,0.79721,0.78118
177,17800,0.63026,0.79464,0.77612
178,17900,0.62930,0.78669,0.76264
179,18000,0.62076,0.82302,0.75274
180,18100,0.61500,0.80143,0.74793
181,18200,0.62951,0.78245,0.74093
182,18300,0.63215,0.81546,0.75449
183,18400,0.61294,0.79940,0.76171
184,18500,0.61204,0.77638,0.76455
185,18600,0.61415,0.80888,0.77671
186,18700,0.63976,0.79680,0.77519
187,18800,0.64726,0.80292,0.73531
188,18900,0.61959,0.80962,0.77352
189,19000,0.62359,0.78558,0.75012
190,19100,0.62504,0.81026,0.75049
191,19200,0.62785,0.81639,0.75431
192,19300,0.62548,0.77057,0.74291
193,19400,0.60683,0.78357,0.74107
194,19500,0.63292,0.79610,0.78140
195,19600,0.68252,0.80805,0.74929
196,19700,0.66569,0.81985,0.79250
197,19800,0.63453,0.78573,0.77071
198,19900,0.62320,0.79800,0.75443
199,20000,0.63165,0.78711,0.75885
200,20100,0.63530,0.81313,0.73898
201,20200,0.61643,0.79527,0.71606
202,20300,0.63888,0.79739,0.73076
203,20400,0.64173,0.81239,0.75545
204,20500,0.65887,0.81209,0.77240
205,20600,0.62908,0.79341,0.75153
206,20700,0.64899,0.77364,0.69843
207,20800,0.64615,0.80153,0.73467
208,20900,0.63329,0.78093,0.76144
209,21000,0.64353,0.77057,0.74655
210,21100,0.66979,0.77249,0.76919
211,21200,0.67168,0.80535,0.73549
212,21300,0.64732,0.82135,0.75283
213,21400,0.63659,0.77616,0.74786
214,21500,0.61975,0.76776,0.72760
215,21600,0.63973,0.80751,0.72186
216,21700,0.65643,0.79901,0.74904
217,21800,0.65186,0.75554,0.77844
218,21900,0.64909,0.78534,0.73867
219,22000,0.63963,0.80811,0.75304
220,22100,0.65185,0.76740,0.76700
221,22200,0.64384,0.82238,0.74824
222,22300,0.66521,0.81472,0.75996
223,22400,0.64478,0.78956,0.74019
224,22500,0.62595,0.83328,0.74371
225,22600,0.64274,0.82110,0.75071
226,22700,0.65059,0.80078,0.76262
227,22800,0.63464,0.79201,0.74785
228,22900,0.66995,0.79138,0.74532
229,23000,0.68049,0.82177,0.75197
230,23100,0.65658,0.80492,0.73065
231,23200,0.63594,0.82664,0.72921
232,23300,0.69119,0.78182,0.73600
233,23400,0.66747,0.80133,0.71397
234,23500,0.68641,0.78639,0.74143
235,23600,0.63141,0.77489,0.72764
236,23700,0.63460,0.81198,0.74781
237,23800,0.67792,0.78816,0.74281
238,23900,0.68600,0.78800,0.72762
239,24000,0.63929,0.81682,0.73565
240,24100,0.63430,0.80708,0.72824
241,24200,0.65521,0.78813,0.72925
242,24300,0.70027,0.80811,0.74149
243,24400,0.64570,0.82126,0.72543
244,24500,0.69009,0.79968,0.75190
245,24600,0.68036,0.82191,0.73920
246,24700,0.68653,0.81596,0.71630
247,24800,0.67924,0.80294,0.76263
248,24900,0.67016,0.81791,0.72934
