iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value,4_maddpg_actor_loss,4_maddpg_critic_loss,4_count_value
44,4500,-11.40107,1.91801,0.22769,-11.39374,2.11541,0.22807,-11.31947,2.00494,0.22740,-10.26253,1.66749,0.22736
45,4600,-11.59838,2.45745,0.22829,-11.49310,2.17100,0.22733,-11.48259,2.11086,0.22803,-10.40926,1.87520,0.22877
46,4700,-11.73512,2.02931,0.22916,-11.72276,2.12331,0.22570,-11.54877,2.20019,0.22744,-10.47753,1.74795,0.22756
47,4800,-11.89358,1.99401,0.22976,-11.79714,2.01329,0.23030,-11.73819,2.21739,0.22699,-10.51011,1.91901,0.22803
48,4900,-12.03578,2.07988,0.23016,-12.00827,2.27319,0.22889,-11.94783,2.24304,0.22949,-10.64391,1.65882,0.22702
49,5000,-12.16504,2.16448,0.22696,-12.02946,2.46546,0.22898,-12.00373,2.26473,0.22722,-10.82175,1.76718,0.22818
50,5100,-12.37144,2.19418,0.22845,-12.15573,2.18141,0.22795,-12.11582,2.36719,0.22872,-10.85953,1.67867,0.22745
51,5200,-12.51257,2.24796,0.22891,-12.29283,2.30512,0.23058,-12.37097,2.16609,0.22894,-10.95204,1.76108,0.22834
52,5300,-12.69013,2.57330,0.22901,-12.41643,2.04810,0.22962,-12.38033,2.22578,0.22931,-11.01243,1.78912,0.22892
53,5400,-12.68560,2.24453,0.22965,-12.58770,2.04101,0.22811,-12.47295,2.32101,0.22789,-11.17506,1.62701,0.22913
54,5500,-12.89031,2.07864,0.22843,-12.69910,2.11435,0.22814,-12.57844,2.31016,0.22983,-11.34910,1.51809,0.22740
55,5600,-12.97318,2.53475,0.22703,-12.79494,2.16498,0.22686,-12.79072,2.13191,0.22694,-11.30977,1.62700,0.22665
56,5700,-13.18074,2.43371,0.22866,-13.02572,2.31386,0.22834,-12.82610,2.17195,0.22819,-11.42074,1.63910,0.22931
57,5800,-13.27570,2.53856,0.22803,-13.04192,2.23576,0.22757,-13.04641,2.26817,0.22829,-11.63070,1.73992,0.22859
58,5900,-13.41997,2.39177,0.22861,-13.27111,2.65248,0.22866,-13.12829,2.21642,0.22695,-11.50248,1.71057,0.23003
59,6000,-13.47943,2.27603,0.22942,-13.31034,2.43987,0.22793,-13.24720,2.12053,0.22800,-11.76792,1.68300,0.22897
60,6100,-13.59003,2.54378,0.23015,-13.43070,2.22990,0.22679,-13.30279,2.49849,0.22882,-11.82598,1.70676,0.22628
61,6200,-13.66300,2.40029,0.22600,-13.48168,2.29684,0.22800,-13.41573,2.35953,0.22887,-11.94563,1.70636,0.22751
62,6300,-13.86144,2.56635,0.22776,-13.61094,2.25567,0.22886,-13.57966,2.22199,0.22863,-12.01880,1.56510,0.22814
63,6400,-14.05555,2.37958,0.22920,-13.74983,2.18918,0.22761,-13.60036,2.23587,0.22934,-12.10167,1.56727,0.22688
64,6500,-14.03026,2.53137,0.22819,-13.85266,2.14317,0.22818,-13.70331,2.23850,0.22817,-12.19173,1.43651,0.22749
65,6600,-14.28083,2.56448,0.22850,-13.85434,2.74348,0.22860,-13.83435,2.54099,0.22795,-12.34793,1.47554,0.22898
66,6700,-14.25550,2.52525,0.22931,-14.16298,2.30487,0.22672,-13.81721,2.49589,0.22758,-12.38635,1.52871,0.22794
67,6800,-14.38665,3.65560,0.22885,-14.11932,2.25846,0.22833,-14.12180,2.96861,0.22893,-12.38639,1.56579,0.22616
68,6900,-14.67244,3.72181,0.22986,-14.11855,2.39926,0.22857,-14.02405,3.16541,0.22709,-12.65008,1.68399,0.22670
69,7000,-14.55063,2.67518,0.22802,-14.38349,2.48976,0.22732,-14.05382,2.42897,0.22763,-12.60514,1.68138,0.22709
70,7100,-14.54491,2.85444,0.22948,-14.34594,2.35211,0.22830,-14.24344,2.38063,0.22542,-12.61258,1.51812,0.22579
