iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_rnd_forward_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_rnd_forward_loss
44,4500,-35.15817,2.36388,0.78912,-34.93334,1.93937,0.78701,-34.72301,1.74536,0.78933,-34.67303,2.98256,0.79007
45,4600,-35.09922,2.81611,0.77120,-34.42596,1.50072,0.76598,-34.72726,3.36724,0.77406,-34.78770,2.44281,0.77262
46,4700,-34.89596,1.84378,0.75656,-34.44985,1.52120,0.75306,-34.94549,2.83437,0.75569,-34.33688,1.55100,0.75884
47,4800,-34.73077,4.78646,0.73852,-34.39399,1.25095,0.73945,-34.73465,1.83762,0.73773,-34.77322,2.42586,0.73919
48,4900,-35.09463,2.32614,0.71991,-34.57602,1.84865,0.71826,-34.64142,1.22900,0.71746,-34.23354,3.33999,0.71921
49,5000,-35.02188,1.30312,0.70368,-34.60255,2.16474,0.70459,-34.63581,2.38185,0.70014,-34.21414,2.64209,0.70313
50,5100,-35.05932,1.30774,0.68297,-34.20627,2.07565,0.68742,-34.59365,2.52770,0.68961,-34.11191,3.83403,0.68422
51,5200,-34.63501,1.22689,0.67025,-33.98534,4.49536,0.66846,-34.52371,1.60844,0.67067,-34.24023,2.52974,0.66736
52,5300,-34.28084,1.52249,0.65599,-33.93600,2.82140,0.65275,-34.50940,1.90414,0.65460,-33.95828,4.75333,0.65130
53,5400,-34.66658,4.95957,0.63814,-33.99684,1.78275,0.63713,-34.03934,3.07654,0.63877,-33.75284,3.46724,0.63352
54,5500,-34.47778,2.92770,0.62217,-34.00542,2.63962,0.61806,-34.12834,5.24396,0.61881,-33.78236,3.98273,0.62337
55,5600,-34.25572,2.91984,0.60775,-33.19073,1.95687,0.60934,-33.93004,2.46638,0.60744,-33.61970,6.02868,0.60634
56,5700,-33.75731,3.02512,0.59472,-33.08378,1.63418,0.59069,-33.69862,3.98867,0.59341,-33.60781,2.76568,0.59229
57,5800,-33.71254,1.87600,0.57476,-33.05902,1.98940,0.57951,-33.65369,2.22678,0.58013,-33.39316,2.25207,0.57758
58,5900,-33.55385,1.40533,0.56505,-32.82165,3.10873,0.56205,-33.48562,2.97059,0.56670,-33.16701,2.58512,0.56432
59,6000,-33.17871,1.37630,0.55138,-33.06492,3.60345,0.55337,-33.15246,2.57903,0.55243,-32.61370,2.42885,0.55243
60,6100,-32.82324,1.30139,0.53683,-32.40664,2.84373,0.53869,-32.61215,2.58667,0.54088,-32.24889,3.26581,0.53919
61,6200,-32.62587,1.31242,0.52412,-32.14963,2.16858,0.52608,-32.74642,3.79229,0.52413,-32.01964,2.53864,0.52583
62,6300,-32.40768,1.07474,0.51170,-31.80242,1.63627,0.51462,-32.68143,1.75336,0.51597,-32.17470,3.31197,0.51273
63,6400,-32.01516,1.14781,0.50081,-31.77298,2.94494,0.49794,-32.28473,1.69376,0.50020,-31.52506,2.88380,0.49979
64,6500,-31.71853,1.09610,0.48773,-31.54298,2.25390,0.48898,-31.74623,1.86207,0.48845,-32.37756,6.47105,0.48906
65,6600,-31.46812,1.18849,0.48087,-31.45640,3.07825,0.47842,-31.71261,2.62974,0.47637,-31.22636,5.25660,0.48045
66,6700,-31.14562,1.22819,0.47080,-30.72180,2.72634,0.47021,-31.44020,1.83915,0.47130,-31.34367,1.86494,0.46989
67,6800,-30.88341,1.34074,0.45908,-30.58373,2.04090,0.45998,-31.22816,1.81670,0.46099,-30.84293,2.20416,0.46002
68,6900,-30.54851,0.90403,0.45096,-30.26754,3.73665,0.45197,-31.00680,3.56820,0.45356,-30.73147,2.81463,0.45255
69,7000,-30.22255,1.22957,0.44128,-29.96007,5.56965,0.44347,-30.82976,1.59966,0.44275,-30.33903,4.06430,0.44307
70,7100,-29.93394,1.18405,0.43597,-29.74646,1.54513,0.43267,-30.28703,1.44291,0.43435,-29.93591,1.59228,0.43540
71,7200,-29.68180,1.32845,0.42508,-29.48125,1.42586,0.42508,-30.24781,1.44634,0.42446,-29.54967,1.48157,0.42215
72,7300,-29.38219,1.37733,0.41482,-29.10474,1.16303,0.41862,-29.72615,1.57256,0.41769,-29.09427,1.53852,0.41580
73,7400,-29.03617,1.12713,0.40850,-28.91897,1.10557,0.41126,-29.26000,1.78742,0.40752,-28.82043,1.59388,0.40867
74,7500,-28.73005,1.23163,0.40041,-28.66684,1.09824,0.40211,-28.95746,1.43457,0.40099,-28.72450,1.65663,0.40310
75,7600,-28.46712,1.16122,0.39326,-28.32135,1.17821,0.39480,-28.44448,1.41919,0.39640,-28.54654,2.24232,0.39421
76,7700,-28.19734,0.95914,0.38706,-27.94813,1.16962,0.38539,-28.44471,1.73797,0.38804,-28.42203,1.72123,0.38567
77,7800,-27.87980,1.01309,0.37853,-27.60919,1.03047,0.38140,-28.07850,1.70987,0.37902,-28.07775,2.46011,0.37941
78,7900,-27.58838,1.37839,0.37418,-27.31572,1.20683,0.37181,-27.80067,1.35348,0.37288,-27.72713,1.69518,0.37338
79,8000,-27.36930,1.15440,0.36562,-26.99969,1.21106,0.36716,-27.48479,1.23691,0.36323,-27.38689,1.54769,0.36738
80,8100,-27.05477,1.27287,0.36018,-26.68856,1.10909,0.35985,-27.29645,1.44266,0.36125,-26.99902,1.52658,0.35818
81,8200,-26.77614,1.33788,0.35512,-26.46833,1.59903,0.35480,-26.74325,1.23660,0.35697,-26.64294,2.23845,0.35478
82,8300,-26.50556,1.24123,0.35116,-26.33321,1.45839,0.34876,-26.65883,1.07458,0.34685,-26.49058,1.19575,0.34819
83,8400,-26.26573,0.96208,0.34430,-26.19427,2.64760,0.34161,-26.20988,2.44297,0.34208,-26.09039,1.48340,0.34143
84,8500,-25.95785,1.02848,0.33632,-25.56390,2.02454,0.33626,-26.13118,1.70656,0.33605,-25.99663,2.08056,0.33537
85,8600,-25.65364,1.12066,0.33047,-25.38402,1.58917,0.33214,-25.89197,1.49587,0.33271,-25.49794,2.04865,0.33079
86,8700,-25.39945,1.07572,0.32660,-25.03131,1.73965,0.32675,-25.52523,1.97329,0.32661,-25.46479,1.85182,0.32668
87,8800,-25.15253,1.04661,0.32125,-24.90399,1.60484,0.32011,-25.49441,1.74329,0.32314,-25.11841,1.44356,0.32373
88,8900,-24.87397,1.05063,0.31732,-24.73905,2.32273,0.31682,-24.94606,1.47261,0.31784,-24.86973,1.19756,0.31756
89,9000,-24.60211,1.10398,0.31341,-24.38945,1.20456,0.31275,-24.87165,1.01886,0.31373,-24.44387,1.69895,0.31382
90,9100,-24.33265,1.16761,0.30834,-24.20108,1.25991,0.30829,-24.66925,1.14261,0.30855,-24.37135,2.71445,0.30915
91,9200,-24.09742,1.00333,0.30468,-23.91063,1.58350,0.30620,-24.24045,1.29592,0.30735,-23.95778,2.07076,0.30685
92,9300,-23.88543,1.25587,0.30375,-23.99011,2.74931,0.30119,-24.12716,1.05730,0.30387,-23.67962,1.77930,0.30178
93,9400,-23.67821,1.22338,0.29942,-23.32667,2.50235,0.29832,-23.87915,1.07366,0.29969,-23.24526,1.80798,0.29746
94,9500,-23.44169,1.14455,0.29655,-23.11358,1.48926,0.29668,-23.58241,0.91816,0.29393,-23.20965,1.40375,0.29632
95,9600,-23.22066,1.26766,0.29112,-22.97563,2.50475,0.29434,-23.33285,1.19012,0.29281,-23.03456,1.91521,0.29128
96,9700,-23.04407,1.13381,0.28938,-22.52277,1.35374,0.29123,-23.10598,0.96948,0.28987,-22.60203,1.63252,0.28977
97,9800,-22.82415,1.00765,0.28547,-22.34586,1.64249,0.28478,-22.88248,1.06825,0.28655,-22.45272,2.48739,0.28624
98,9900,-22.59473,1.21022,0.28266,-22.31810,1.43986,0.28438,-22.61953,1.08643,0.28488,-22.67578,2.83856,0.28259
99,10000,-22.39538,0.94242,0.28022,-22.06913,1.28526,0.28258,-22.40823,0.94803,0.27907,-21.60147,2.62077,0.27939
100,10100,-22.17274,1.12720,0.27564,-21.69013,1.32997,0.27872,-22.22666,0.97020,0.27794,-21.77229,2.08905,0.27818
101,10200,-21.97061,0.99250,0.27269,-21.33698,1.21926,0.27337,-22.02303,1.03620,0.27459,-21.48949,1.62466,0.27412
102,10300,-21.80491,1.29244,0.27226,-21.02007,1.17673,0.27123,-21.80124,1.17354,0.27043,-21.09882,1.53633,0.26989
103,10400,-21.63486,1.31749,0.26900,-20.79859,1.25490,0.26725,-21.60074,1.13530,0.26853,-21.14355,1.89377,0.27027
104,10500,-21.45316,1.04364,0.26547,-20.68617,1.02346,0.26381,-21.44181,0.97348,0.26578,-20.89054,1.10823,0.26593
105,10600,-21.26837,0.99664,0.26502,-20.43282,1.49910,0.26107,-21.23962,1.09078,0.26420,-20.67175,1.38286,0.26343
106,10700,-21.06748,0.89592,0.26038,-20.33770,1.10176,0.26162,-21.02307,1.04741,0.25958,-20.38577,1.33318,0.26052
107,10800,-20.84500,1.00642,0.25753,-19.97912,1.27467,0.25596,-20.84196,0.99116,0.25780,-20.20434,1.48587,0.25831
108,10900,-20.66726,1.07097,0.25402,-20.09143,1.36159,0.25286,-20.65669,1.35659,0.25516,-20.25555,2.10911,0.25477
109,11000,-20.42945,1.06647,0.25103,-19.68749,1.28709,0.24991,-20.45834,0.75589,0.25210,-19.63483,1.36976,0.25174
110,11100,-20.25931,0.96709,0.24938,-19.44505,1.08177,0.24962,-20.27170,1.11143,0.24954,-19.72471,1.38544,0.24980
111,11200,-20.07618,1.00090,0.24776,-19.26771,1.14317,0.24527,-20.07977,1.09578,0.24437,-19.25633,1.30184,0.24584
112,11300,-19.77393,1.85572,0.24501,-19.06802,1.10747,0.24402,-19.94773,1.10269,0.24355,-19.22983,1.49576,0.24287
113,11400,-19.39958,1.55502,0.24202,-19.00098,1.21615,0.23982,-19.58507,1.63295,0.24203,-19.05618,1.79678,0.24179
114,11500,-19.08570,1.13312,0.23731,-18.84680,1.31276,0.23805,-19.37878,1.23803,0.23844,-18.83866,1.06834,0.23755
115,11600,-19.01533,2.31810,0.23655,-18.48051,1.48276,0.23572,-19.12838,0.99308,0.23588,-18.57002,1.15894,0.23423
116,11700,-18.79988,1.80597,0.23337,-18.44603,1.54621,0.23477,-19.08736,1.42527,0.23383,-18.50130,1.17728,0.23183
117,11800,-18.51852,1.16285,0.22987,-18.19975,1.16724,0.23044,-18.82773,1.08589,0.22980,-18.29718,1.44250,0.23020
118,11900,-18.35804,1.58576,0.22788,-18.06841,1.04850,0.22906,-18.53017,1.09178,0.22952,-18.17169,1.29491,0.22786
119,12000,-17.97818,1.66993,0.22596,-17.80996,1.13366,0.22679,-18.24304,0.94769,0.22637,-17.95867,1.09912,0.22481
120,12100,-17.94298,1.49059,0.22361,-17.72227,1.28353,0.22402,-17.99336,1.41666,0.22365,-17.73265,1.18178,0.22289
121,12200,-17.70877,1.34043,0.22011,-17.44555,1.23470,0.21993,-17.74612,1.08353,0.22110,-17.54770,1.33098,0.22127
122,12300,-17.58408,1.57586,0.21890,-17.26126,1.26983,0.21926,-17.51132,1.10876,0.21750,-17.24792,1.33475,0.21772
123,12400,-17.33431,1.49546,0.21616,-17.08918,1.25431,0.21556,-17.31669,1.10918,0.21674,-17.20918,1.05608,0.21568
124,12500,-17.18425,1.07628,0.21372,-16.94173,1.07416,0.21305,-17.25872,0.86816,0.21558,-17.03956,1.14314,0.21426
125,12600,-17.01233,1.34554,0.21214,-16.81508,1.27832,0.21226,-17.11015,1.17305,0.21249,-16.85597,1.36867,0.21118
126,12700,-16.70947,1.49511,0.21118,-16.53557,1.25263,0.21020,-16.96554,1.30793,0.21100,-16.69875,1.33840,0.21035
127,12800,-16.55401,1.22578,0.20767,-16.36266,1.08386,0.20755,-16.76624,0.97511,0.20844,-16.64705,1.58392,0.20868
128,12900,-16.34033,1.04588,0.20637,-16.28725,0.94842,0.20355,-16.50441,1.11973,0.20572,-16.31654,1.65639,0.20674
129,13000,-16.22913,1.12782,0.20284,-16.15923,1.25043,0.20358,-16.28350,0.96913,0.20418,-16.32497,1.40449,0.20299
130,13100,-15.98799,1.16505,0.20132,-16.03023,1.11681,0.20101,-16.07784,1.17758,0.20036,-16.11660,1.22712,0.20273
131,13200,-15.74581,0.99337,0.19925,-15.73332,1.22823,0.19848,-15.86092,0.81720,0.19838,-16.19717,1.46067,0.19960
132,13300,-15.64604,1.03078,0.19769,-15.56794,1.15269,0.19736,-15.64747,0.94114,0.19907,-15.89645,1.38295,0.19780
133,13400,-15.53235,1.28383,0.19471,-15.31125,1.23159,0.19524,-15.43301,1.05339,0.19630,-15.61365,1.10313,0.19609
134,13500,-15.41701,1.02865,0.19429,-15.16371,1.34557,0.19521,-15.37704,1.25816,0.19371,-15.54137,1.09669,0.19343
135,13600,-15.22043,0.98365,0.19096,-14.96625,1.25004,0.19247,-15.29743,1.22263,0.19210,-15.33750,1.13624,0.19185
136,13700,-15.13531,1.21901,0.19059,-14.84869,1.34183,0.18947,-15.14715,1.04668,0.18825,-15.32310,1.11132,0.18973
137,13800,-14.89163,1.04286,0.18962,-14.71582,1.03745,0.18832,-14.93073,1.12915,0.18840,-15.12541,0.98713,0.18831
138,13900,-14.82340,0.87792,0.18738,-14.62652,0.91315,0.18759,-14.85856,1.24202,0.18660,-15.01023,0.95536,0.18700
139,14000,-14.68460,1.37929,0.18375,-14.51764,1.14247,0.18453,-14.63273,0.82799,0.18511,-14.93419,1.18034,0.18426
140,14100,-14.51780,0.95896,0.18287,-14.44207,1.13070,0.18274,-14.54881,1.16980,0.18264,-14.56678,1.33732,0.18300
141,14200,-14.37075,1.07436,0.18081,-14.17745,1.39759,0.18179,-14.36853,1.14015,0.18187,-14.65685,1.27368,0.18109
142,14300,-14.24436,0.85469,0.17982,-13.97194,1.28517,0.17879,-14.27529,1.32184,0.17926,-14.44470,0.98498,0.17723
143,14400,-14.11230,1.02868,0.17804,-13.90849,1.04938,0.17826,-14.11227,0.81967,0.17796,-14.24303,1.04207,0.17794
144,14500,-13.97911,0.80499,0.17498,-13.63108,1.38408,0.17582,-13.96715,1.04060,0.17664,-14.17094,1.12515,0.17549
145,14600,-13.86155,0.95326,0.17321,-13.56959,1.16829,0.17401,-13.91623,1.12656,0.17363,-14.09027,0.84578,0.17373
146,14700,-13.71984,0.90395,0.17243,-13.33884,1.25734,0.17240,-13.83869,1.28119,0.17111,-13.79324,1.10984,0.17212
147,14800,-13.58382,0.90113,0.17081,-13.26764,1.02869,0.17090,-13.62309,1.12052,0.16989,-13.77096,1.26219,0.17029
148,14900,-13.45238,0.77693,0.17002,-13.10467,1.01727,0.16815,-13.38468,1.37943,0.16942,-13.65653,1.44002,0.16956
149,15000,-13.30415,1.06006,0.16668,-12.97831,0.94495,0.16784,-13.24706,1.02583,0.16730,-13.28018,1.49481,0.16733
150,15100,-13.16885,0.85189,0.16549,-12.85935,1.06269,0.16588,-13.09847,1.02767,0.16562,-13.40184,0.88349,0.16558
151,15200,-13.06949,1.17662,0.16389,-12.76348,1.10171,0.16342,-12.98768,1.36278,0.16379,-13.23093,1.13839,0.16377
152,15300,-12.94482,0.90514,0.16400,-12.62793,0.95685,0.16281,-12.92649,1.19417,0.16244,-13.09119,1.04616,0.16302
153,15400,-12.82011,1.20464,0.16096,-12.66970,1.13873,0.16131,-12.79894,0.97964,0.16057,-12.96883,1.20003,0.16134
154,15500,-12.68863,0.85490,0.15883,-12.48838,1.07089,0.15969,-12.62972,0.94732,0.15719,-12.88355,0.86426,0.15917
155,15600,-12.59273,1.04543,0.15824,-12.28184,1.05812,0.15793,-12.49484,1.28623,0.15845,-12.72998,1.18231,0.15816
156,15700,-12.47827,1.03629,0.15604,-12.09035,1.22384,0.15586,-12.37217,0.96205,0.15650,-12.98795,1.23202,0.15652
157,15800,-12.36737,1.21940,0.15511,-11.91575,0.99199,0.15492,-12.15264,1.20928,0.15395,-12.81407,1.22405,0.15490
158,15900,-12.25159,0.99003,0.15375,-11.91686,1.21822,0.15417,-12.12684,1.01558,0.15408,-12.81368,1.06908,0.15390
159,16000,-12.14784,0.96552,0.15235,-11.77177,0.92982,0.15065,-12.02951,1.10640,0.15239,-12.78057,0.86024,0.15304
160,16100,-12.02129,1.17418,0.15122,-11.62629,0.92677,0.15093,-11.85228,1.26380,0.15172,-12.61533,0.98806,0.15116
161,16200,-11.87670,1.03988,0.14934,-11.48899,0.94211,0.14982,-11.82814,1.20794,0.14995,-12.48187,1.14103,0.14876
162,16300,-11.76196,1.13182,0.14836,-11.39613,0.92875,0.14883,-11.64258,0.97748,0.14870,-12.32256,1.44232,0.14943
163,16400,-11.66093,1.15272,0.14655,-11.29307,0.87631,0.14661,-11.45270,1.16227,0.14758,-12.23007,0.96883,0.14755
164,16500,-11.55075,0.76392,0.14614,-11.18093,0.96277,0.14613,-11.32287,1.08248,0.14616,-12.18304,0.94337,0.14545
165,16600,-11.43775,1.03311,0.14448,-11.08054,0.87902,0.14385,-11.20293,0.86060,0.14551,-11.95562,1.01743,0.14370
166,16700,-11.34607,1.01309,0.14403,-10.97713,1.00187,0.14250,-11.10068,0.91722,0.14327,-11.91597,1.08350,0.14331
167,16800,-11.19666,0.90260,0.14242,-10.88811,0.88383,0.14243,-10.98694,1.01646,0.14248,-11.77830,1.08973,0.14146
168,16900,-10.92922,1.19460,0.14055,-10.79824,1.23457,0.14059,-10.88244,1.04139,0.14151,-11.74826,0.94187,0.14053
169,17000,-10.88842,1.34918,0.14030,-10.70558,1.10689,0.14115,-10.80812,1.08122,0.14026,-11.69836,1.08657,0.13866
170,17100,-10.86193,1.05467,0.13860,-10.59352,0.92568,0.13935,-10.66419,0.83657,0.13914,-11.60298,1.01320,0.13838
171,17200,-10.60586,1.06332,0.13697,-10.48572,0.91155,0.13888,-10.60275,1.16958,0.13810,-11.46760,1.30928,0.13759
172,17300,-10.58685,1.27149,0.13669,-10.40722,1.09969,0.13597,-10.41629,1.15636,0.13643,-11.36527,0.89941,0.13689
173,17400,-10.50863,1.08659,0.13465,-10.33486,0.94499,0.13512,-10.31317,0.89818,0.13515,-11.16396,0.97119,0.13512
174,17500,-10.34526,0.79341,0.13429,-10.25646,1.09711,0.13406,-10.24352,1.17900,0.13407,-11.14216,0.85552,0.13403
175,17600,-10.18581,0.89856,0.13312,-10.17684,1.12896,0.13293,-10.15976,0.91183,0.13319,-10.99896,0.98800,0.13328
176,17700,-10.16582,1.09098,0.13140,-10.07484,1.12757,0.13193,-10.05687,0.95313,0.13227,-10.89570,0.98901,0.13163
177,17800,-9.96379,0.94624,0.13144,-10.01984,0.91041,0.13084,-9.96199,0.87313,0.13083,-10.79517,1.02154,0.13087
178,17900,-9.99411,1.07759,0.13021,-9.91193,0.98511,0.12987,-9.87529,1.27666,0.12966,-10.71673,1.08651,0.12974
179,18000,-9.85325,1.17760,0.12884,-9.73490,1.30409,0.12864,-9.78373,1.10564,0.12918,-10.58693,1.18616,0.13006
180,18100,-9.68291,0.99092,0.12848,-9.68554,1.13069,0.12834,-9.70170,1.00682,0.12769,-10.45780,1.05416,0.12820
181,18200,-9.60623,0.87539,0.12721,-9.63553,1.07034,0.12717,-9.61311,1.11028,0.12673,-10.41317,1.19595,0.12715
182,18300,-9.49174,0.82714,0.12574,-9.50006,1.09451,0.12520,-9.51792,1.03719,0.12619,-10.30439,1.06758,0.12611
183,18400,-9.36156,0.82124,0.12561,-9.33109,1.25824,0.12499,-9.41496,1.11018,0.12491,-10.22555,1.01970,0.12587
184,18500,-9.33286,0.91736,0.12488,-9.27010,1.29552,0.12401,-9.32327,1.12056,0.12412,-10.16123,1.03311,0.12371
185,18600,-9.21083,0.94496,0.12332,-9.11837,1.01881,0.12333,-9.25196,0.93475,0.12315,-10.01143,0.97044,0.12343
186,18700,-9.21348,0.95906,0.12258,-9.00510,0.99595,0.12185,-9.14979,0.76306,0.12194,-9.82188,1.10945,0.12290
187,18800,-9.08236,1.35860,0.12111,-9.00698,0.96197,0.12207,-9.16937,1.22791,0.12148,-9.72284,1.32586,0.12188
188,18900,-8.98759,1.06124,0.11986,-8.94254,1.00150,0.12034,-9.07567,1.11631,0.12074,-9.69914,1.21463,0.12059
189,19000,-8.92268,0.95612,0.11905,-8.81887,0.95817,0.11975,-8.98482,1.01927,0.12008,-9.54935,1.21647,0.11962
190,19100,-8.77719,1.26859,0.11754,-8.76255,1.09328,0.11807,-8.86738,1.00727,0.11720,-9.56754,1.08868,0.11838
191,19200,-8.63924,0.94075,0.11792,-8.56734,0.97705,0.11845,-8.82919,0.92667,0.11749,-9.49005,0.99961,0.11772
192,19300,-8.64449,1.21517,0.11646,-8.55012,1.15069,0.11665,-8.74922,0.96391,0.11633,-9.21675,1.15473,0.11714
193,19400,-8.47313,0.80831,0.11565,-8.47657,1.03816,0.11519,-8.72703,1.14195,0.11545,-9.25510,0.91652,0.11530
194,19500,-8.40199,0.89989,0.11443,-8.40960,1.17146,0.11436,-8.61685,1.15028,0.11498,-9.10758,1.02930,0.11451
195,19600,-8.34661,0.86326,0.11450,-8.41284,1.00892,0.11384,-8.56441,1.27356,0.11286,-9.03375,1.12352,0.11355
196,19700,-8.23056,0.96528,0.11226,-8.22192,0.99027,0.11292,-8.42652,1.11475,0.11271,-8.94696,0.91079,0.11284
197,19800,-8.15241,1.04971,0.11282,-8.15982,0.99134,0.11197,-8.31956,0.98030,0.11197,-8.77157,1.04682,0.11179
