iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_icm_forward_loss,4_icm_inverse_loss
33,3400,-17.98103,1.76278,0.58000,1.58087,-17.83690,2.23107,0.57054,1.58967,-18.00076,1.16077,0.56403,1.59244,-14.07327,1.17732,0.46573,1.62430
34,3500,-18.18291,1.34654,0.57654,1.57978,-17.90654,2.07944,0.56545,1.58996,-18.23157,1.57777,0.56351,1.59254,-14.33768,1.28828,0.46463,1.62338
35,3600,-18.45759,1.68709,0.57103,1.58054,-18.26857,1.71957,0.56099,1.58866,-18.33228,1.68295,0.55746,1.59221,-14.33307,1.28359,0.46061,1.62403
36,3700,-18.62393,1.26317,0.56640,1.57988,-18.48706,1.77039,0.55588,1.59025,-18.57536,2.34021,0.55475,1.59119,-14.64051,1.02979,0.45951,1.62369
37,3800,-18.78020,1.09411,0.56343,1.57865,-18.60003,1.60217,0.55175,1.59156,-18.82226,2.17657,0.55036,1.59108,-14.79439,1.41765,0.45590,1.62277
38,3900,-18.89792,0.99629,0.55638,1.57786,-18.72040,1.51400,0.54823,1.59063,-19.00019,1.58243,0.54952,1.59275,-14.87099,1.05764,0.45124,1.62196
39,4000,-19.16859,2.85520,0.55438,1.57794,-18.86984,1.50100,0.54634,1.58997,-19.26183,2.84064,0.54523,1.59141,-15.14266,1.86736,0.45218,1.62187
40,4100,-19.29691,1.56131,0.54963,1.57728,-19.17186,1.62450,0.54027,1.58790,-19.27902,2.06357,0.54096,1.59105,-15.40725,1.86450,0.44860,1.62186
41,4200,-19.62461,1.91813,0.54249,1.57581,-19.24732,1.81821,0.53665,1.58932,-19.53232,1.48337,0.53322,1.59161,-15.35380,1.15785,0.44182,1.62156
42,4300,-19.74093,2.45075,0.53576,1.57575,-19.39865,1.78057,0.52823,1.58898,-19.80963,1.85488,0.52985,1.59299,-15.47250,1.53164,0.43977,1.62039
43,4400,-19.85064,1.56541,0.52907,1.57530,-19.78990,1.97534,0.52319,1.58926,-19.77122,1.56089,0.52390,1.59259,-15.72755,1.42925,0.43109,1.62024
44,4500,-20.02667,1.28387,0.52582,1.57472,-19.75767,1.43306,0.51990,1.58761,-20.08675,1.67292,0.51592,1.59237,-15.74114,1.20666,0.42483,1.61889
45,4600,-20.33503,1.61282,0.51759,1.57279,-19.83608,2.39475,0.51310,1.58706,-19.95563,1.40816,0.51323,1.59256,-15.85812,1.58902,0.42223,1.61880
46,4700,-20.19441,2.25810,0.51392,1.57384,-20.05616,2.64920,0.51088,1.58636,-20.09809,1.70306,0.50630,1.59388,-15.70863,1.31669,0.41956,1.61773
47,4800,-20.28105,2.22244,0.51174,1.57211,-19.93355,1.52427,0.50794,1.58710,-20.21512,1.40206,0.50291,1.59296,-16.16646,1.37065,0.41700,1.61755
48,4900,-20.41626,1.65132,0.50823,1.57071,-20.24997,1.54693,0.50259,1.58655,-20.26345,1.79261,0.49716,1.59223,-16.04985,1.42223,0.41487,1.61711
49,5000,-20.61038,1.39564,0.50426,1.57032,-20.25518,2.03114,0.49889,1.58601,-20.17485,1.59100,0.49670,1.59304,-16.15163,1.06923,0.41600,1.61697
50,5100,-20.75570,1.19432,0.49861,1.56908,-20.45533,1.17111,0.49474,1.58532,-20.14970,1.17086,0.49121,1.59312,-16.08971,1.32897,0.41298,1.61565
51,5200,-20.56899,1.13982,0.49371,1.56778,-20.33230,1.51393,0.49190,1.58543,-20.40454,1.18799,0.48579,1.59280,-16.22808,1.78903,0.40924,1.61571
52,5300,-20.69526,2.47135,0.48689,1.56840,-20.29287,1.51049,0.48509,1.58359,-20.38878,1.78804,0.47871,1.59137,-16.34861,1.96284,0.40665,1.61610
53,5400,-20.67436,2.09491,0.47959,1.56574,-20.64078,1.45268,0.47986,1.58422,-20.31668,1.38630,0.47369,1.59206,-16.46559,1.13193,0.40377,1.61569
54,5500,-20.87125,1.61037,0.47522,1.56570,-20.70598,1.43149,0.47501,1.58229,-20.40925,1.16087,0.46988,1.59284,-16.41247,1.31625,0.40038,1.61457
55,5600,-20.67591,1.57936,0.46911,1.56577,-20.41834,1.67007,0.46875,1.58264,-20.35049,1.68078,0.46366,1.59174,-16.52244,1.65285,0.39647,1.61479
56,5700,-20.75639,1.48909,0.46617,1.56548,-20.63836,1.54194,0.46332,1.58091,-20.37797,2.45196,0.45900,1.59171,-16.49803,1.36323,0.38971,1.61435
57,5800,-20.85723,2.33971,0.45846,1.56344,-20.75076,1.62388,0.45699,1.58134,-20.36457,1.41559,0.45240,1.59283,-16.61162,1.52304,0.38399,1.61379
58,5900,-20.86036,1.21307,0.45331,1.56312,-20.72368,1.44070,0.45226,1.58133,-20.54102,1.59877,0.44882,1.59247,-16.61845,1.23041,0.38113,1.61354
59,6000,-20.84557,1.80499,0.44914,1.56379,-20.79256,1.67950,0.44558,1.58135,-20.57954,1.58058,0.44198,1.59224,-16.80808,2.46037,0.37521,1.61276
60,6100,-20.78913,1.60501,0.44522,1.56275,-20.67280,1.88966,0.44077,1.57859,-20.49391,1.36268,0.43500,1.59202,-16.78039,1.13454,0.37205,1.61203
61,6200,-20.87330,1.59795,0.43951,1.56356,-20.65762,1.48353,0.43627,1.57871,-20.37637,1.54383,0.43038,1.59244,-16.67908,1.02725,0.36668,1.61190
62,6300,-20.90805,1.53252,0.43583,1.56317,-20.69231,1.74279,0.43049,1.57737,-20.27506,1.66894,0.42834,1.59265,-16.80105,1.20174,0.36188,1.61096
63,6400,-20.60486,1.25338,0.43105,1.56248,-20.74357,1.56164,0.42636,1.57691,-20.48909,2.34383,0.42286,1.59239,-16.82330,1.11696,0.35726,1.60993
