iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss
84,8500,-11.93444,0.21697,0.11241,-12.08169,0.28340,0.11213
85,8600,-11.81985,0.20077,0.11073,-12.01093,0.26198,0.11057
86,8700,-11.73434,0.19422,0.10949,-11.91913,0.30363,0.11012
87,8800,-11.62176,0.19839,0.10842,-11.82388,0.22798,0.10824
88,8900,-11.56206,0.18081,0.10600,-11.70241,0.19986,0.10653
89,9000,-11.44750,0.18822,0.10532,-11.69104,0.27811,0.10568
90,9100,-11.39620,0.21107,0.10410,-11.49245,0.30304,0.10318
91,9200,-11.29893,0.21963,0.10332,-11.49395,0.22331,0.10314
92,9300,-11.15774,0.22253,0.10162,-11.40337,0.34450,0.10164
93,9400,-11.07592,0.28781,0.10017,-11.24268,0.28862,0.10083
94,9500,-10.97962,0.27317,0.09947,-11.25546,0.31869,0.09900
95,9600,-10.87561,0.22914,0.09812,-11.10405,0.23626,0.09820
96,9700,-10.76598,0.20880,0.09619,-11.00389,0.23053,0.09615
97,9800,-10.70257,0.31895,0.09586,-10.92352,0.26201,0.09489
98,9900,-10.68046,0.26125,0.09403,-10.82181,0.33392,0.09405
99,10000,-10.53871,0.22917,0.09289,-10.67561,0.22732,0.09332
100,10100,-10.42852,0.24154,0.09238,-10.67400,0.24605,0.09201
101,10200,-10.37153,0.20946,0.09109,-10.59977,0.26038,0.09095
102,10300,-10.27027,0.23129,0.09023,-10.47483,0.21125,0.09020
103,10400,-10.20706,0.23509,0.08864,-10.41735,0.27047,0.08916
104,10500,-10.08077,0.21925,0.08824,-10.28952,0.21468,0.08811
105,10600,-10.05958,0.19641,0.08676,-10.17420,0.20630,0.08735
106,10700,-9.95623,0.20147,0.08600,-10.10809,0.25008,0.08643
107,10800,-9.92567,0.18492,0.08515,-9.99144,0.20613,0.08516
108,10900,-9.81591,0.23889,0.08455,-9.92727,0.20366,0.08404
109,11000,-9.75368,0.31387,0.08355,-9.83799,0.19370,0.08340
110,11100,-9.67429,0.26588,0.08234,-9.77832,0.18022,0.08274
111,11200,-9.60066,0.26986,0.08174,-9.72830,0.17430,0.08186
112,11300,-9.55168,0.26057,0.08027,-9.62813,0.19677,0.08071
113,11400,-9.47770,0.26902,0.08025,-9.53778,0.23102,0.08015
114,11500,-9.42313,0.26952,0.07932,-9.51413,0.21674,0.07928
115,11600,-9.34385,0.27580,0.07826,-9.37804,0.25343,0.07873
116,11700,-9.24986,0.21523,0.07766,-9.37737,0.23630,0.07779
117,11800,-9.20376,0.28791,0.07677,-9.34744,0.25428,0.07658
118,11900,-9.07808,0.29596,0.07623,-9.24670,0.24817,0.07642
119,12000,-9.03905,0.23944,0.07555,-9.17753,0.22565,0.07538
120,12100,-9.02335,0.23632,0.07411,-9.14658,0.24103,0.07458
121,12200,-9.00251,0.26680,0.07359,-9.07760,0.20970,0.07371
122,12300,-8.90721,0.29292,0.07276,-9.08487,0.20552,0.07258
123,12400,-8.83792,0.24935,0.07245,-8.95831,0.21939,0.07235
124,12500,-8.73183,0.25005,0.07154,-8.96376,0.22256,0.07125
125,12600,-8.73332,0.36020,0.07082,-8.91354,0.23299,0.07111
126,12700,-8.66432,0.28459,0.06971,-8.86788,0.28128,0.07000
127,12800,-8.58996,0.19345,0.06921,-8.83101,0.31258,0.06941
128,12900,-8.55897,0.20737,0.06957,-8.76998,0.26606,0.06953
129,13000,-8.50279,0.20909,0.06841,-8.72034,0.25997,0.06815
130,13100,-8.45615,0.23735,0.06776,-8.74363,0.26069,0.06776
131,13200,-8.38298,0.29317,0.06711,-8.66554,0.23523,0.06712
132,13300,-8.37152,0.25440,0.06594,-8.59736,0.22269,0.06625
133,13400,-8.31192,0.29911,0.06628,-8.57851,0.31791,0.06584
134,13500,-8.27813,0.28540,0.06521,-8.52588,0.31593,0.06533
135,13600,-8.24100,0.25321,0.06439,-8.50503,0.28424,0.06467
136,13700,-8.19357,0.25261,0.06418,-8.45987,0.27474,0.06452
137,13800,-8.15709,0.30699,0.06342,-8.38130,0.29810,0.06380
138,13900,-8.10143,0.43457,0.06274,-8.39747,0.27284,0.06321
139,14000,-8.04394,0.36387,0.06260,-8.33379,0.31738,0.06263
140,14100,-7.99600,0.33608,0.06255,-8.29426,0.28947,0.06179
141,14200,-7.93452,0.36186,0.06145,-8.25602,0.24328,0.06085
142,14300,-7.90764,0.25318,0.06093,-8.19795,0.24518,0.06075
143,14400,-7.87296,0.25998,0.06018,-8.14575,0.22752,0.05988
144,14500,-7.85322,0.27076,0.06005,-8.07030,0.23629,0.05958
145,14600,-7.77334,0.28818,0.05873,-8.03458,0.23121,0.05887
146,14700,-7.76867,0.24505,0.05839,-7.94525,0.31966,0.05860
147,14800,-7.63565,0.24462,0.05831,-7.92972,0.24629,0.05809
148,14900,-7.59919,0.35172,0.05772,-7.91380,0.25354,0.05787
149,15000,-7.57577,0.27480,0.05708,-7.87718,0.27667,0.05692
150,15100,-7.52241,0.26101,0.05657,-7.75302,0.30627,0.05691
151,15200,-7.47339,0.27904,0.05608,-7.76770,0.23996,0.05632
152,15300,-7.47491,0.29326,0.05562,-7.72269,0.28073,0.05558
153,15400,-7.39471,0.26120,0.05515,-7.70082,0.26545,0.05501
154,15500,-7.35303,0.28021,0.05419,-7.67239,0.30740,0.05482
155,15600,-7.36515,0.23559,0.05402,-7.53608,0.23714,0.05438
156,15700,-7.26027,0.26835,0.05404,-7.51625,0.25566,0.05422
157,15800,-7.26705,0.26424,0.05293,-7.54738,0.28664,0.05342
158,15900,-7.17441,0.23256,0.05269,-7.52665,0.25881,0.05280
159,16000,-7.11821,0.24473,0.05253,-7.39131,0.27629,0.05292
160,16100,-7.08943,0.27231,0.05221,-7.41876,0.25236,0.05206
161,16200,-7.00458,0.26577,0.05192,-7.37605,0.22516,0.05166
162,16300,-7.00647,0.24695,0.05125,-7.28113,0.26749,0.05113
163,16400,-6.93940,0.27694,0.05083,-7.31742,0.24520,0.05066
164,16500,-6.97662,0.25450,0.05030,-7.27192,0.22334,0.05003
165,16600,-6.89456,0.26141,0.04973,-7.11571,0.26450,0.05014
166,16700,-6.77238,0.28736,0.04964,-7.14052,0.26961,0.04950
167,16800,-6.82106,0.29525,0.04936,-7.13062,0.26756,0.04925
168,16900,-6.79478,0.39336,0.04871,-7.15721,0.25761,0.04857
169,17000,-6.78036,0.32912,0.04780,-7.12769,0.27710,0.04829
170,17100,-6.72611,0.30494,0.04788,-7.08102,0.30548,0.04821
171,17200,-6.63328,0.34926,0.04719,-7.09798,0.27164,0.04715
172,17300,-6.65156,0.31350,0.04711,-7.02717,0.36316,0.04730
173,17400,-6.61317,0.25754,0.04663,-7.00879,0.24882,0.04641
174,17500,-6.57762,0.25828,0.04657,-6.98314,0.26959,0.04602
175,17600,-6.55308,0.35387,0.04608,-6.95312,0.29979,0.04596
176,17700,-6.43446,0.35103,0.04578,-6.89175,0.27911,0.04558
177,17800,-6.44517,0.27713,0.04517,-6.86497,0.25125,0.04512
178,17900,-6.39407,0.29109,0.04459,-6.77566,0.27404,0.04495
179,18000,-6.37616,0.31079,0.04467,-6.72953,0.27413,0.04462
180,18100,-6.31347,0.29902,0.04410,-6.69523,0.23838,0.04409
181,18200,-6.29332,0.25418,0.04381,-6.66438,0.25644,0.04396
182,18300,-6.25226,0.33412,0.04392,-6.67036,0.30410,0.04350
183,18400,-6.20084,0.34431,0.04351,-6.53861,0.22717,0.04325
184,18500,-6.14945,0.29535,0.04324,-6.54978,0.22550,0.04297
185,18600,-6.07732,0.37010,0.04227,-6.50741,0.21987,0.04287
186,18700,-6.05961,0.23492,0.04255,-6.42508,0.21650,0.04256
187,18800,-6.02287,0.25819,0.04238,-6.39516,0.28493,0.04186
188,18900,-5.94749,0.31302,0.04159,-6.40472,0.22398,0.04163
189,19000,-5.96815,0.37656,0.04131,-6.34436,0.21866,0.04142
190,19100,-6.00237,0.25377,0.04104,-6.30640,0.18554,0.04128
191,19200,-5.93289,0.30505,0.04117,-6.27892,0.19032,0.04079
192,19300,-5.91744,0.21676,0.04068,-6.25372,0.24100,0.04059
193,19400,-5.86780,0.19145,0.04034,-6.25357,0.19804,0.04017
194,19500,-5.86153,0.20465,0.03970,-6.22133,0.21357,0.04009
195,19600,-5.87466,0.20019,0.03961,-6.23109,0.21315,0.03953
196,19700,-5.81652,0.21316,0.03976,-6.17196,0.25702,0.03970
197,19800,-5.83228,0.22613,0.03904,-6.18104,0.29586,0.03951
198,19900,-5.71510,0.30470,0.03885,-6.14791,0.25663,0.03908
199,20000,-5.82959,0.27050,0.03878,-6.16892,0.25175,0.03886
200,20100,-5.76093,0.22930,0.03850,-6.10597,0.25265,0.03855
201,20200,-5.71016,0.30759,0.03827,-6.05428,0.24287,0.03828
202,20300,-5.63657,0.28835,0.03805,-6.06678,0.21216,0.03798
203,20400,-5.67351,0.26621,0.03767,-5.99841,0.23934,0.03760
204,20500,-5.62379,0.30201,0.03748,-6.02176,0.26205,0.03769
205,20600,-5.62510,0.27066,0.03734,-5.94716,0.27279,0.03751
206,20700,-5.57484,0.24086,0.03706,-5.96022,0.27616,0.03721
207,20800,-5.59438,0.22565,0.03688,-5.91738,0.27483,0.03680
208,20900,-5.55208,0.32680,0.03676,-5.99746,0.22440,0.03678
209,21000,-5.55360,0.23043,0.03646,-5.91789,0.23566,0.03646
210,21100,-5.53796,0.23209,0.03606,-5.87626,0.21944,0.03620
211,21200,-5.52116,0.20580,0.03589,-5.79238,0.25750,0.03624
212,21300,-5.50264,0.33984,0.03589,-5.85159,0.20764,0.03574
213,21400,-5.53502,0.24598,0.03565,-5.85644,0.21262,0.03592
214,21500,-5.46239,0.24245,0.03531,-5.81182,0.33427,0.03517
215,21600,-5.39907,0.25237,0.03491,-5.85377,0.26161,0.03497
216,21700,-5.42646,0.25586,0.03488,-5.84550,0.26477,0.03489
217,21800,-5.37739,0.24842,0.03470,-5.80704,0.28787,0.03463
218,21900,-5.36819,0.27161,0.03449,-5.85868,0.27084,0.03454
219,22000,-5.41788,0.27323,0.03422,-5.87468,0.26976,0.03437
220,22100,-5.34520,0.30158,0.03410,-5.82939,0.26478,0.03405
221,22200,-5.34729,0.37274,0.03410,-5.79669,0.27459,0.03374
222,22300,-5.28142,0.68742,0.03407,-5.75329,0.23812,0.03351
223,22400,-5.24212,0.42622,0.03339,-5.79098,0.27278,0.03353
224,22500,-5.27630,0.33456,0.03345,-5.74607,0.25862,0.03319
225,22600,-5.25741,0.26934,0.03301,-5.72850,0.23800,0.03313
226,22700,-5.14060,0.30199,0.03286,-5.62391,0.28949,0.03293
227,22800,-5.18636,0.29555,0.03281,-5.68309,0.23258,0.03272
228,22900,-5.11199,0.28810,0.03235,-5.66421,0.23862,0.03283
229,23000,-5.09365,0.25235,0.03239,-5.57306,0.23331,0.03242
230,23100,-5.07943,0.24130,0.03202,-5.57335,0.21506,0.03217
231,23200,-5.02382,0.24055,0.03204,-5.53222,0.25399,0.03202
232,23300,-4.96945,0.29382,0.03188,-5.57903,0.19725,0.03174
233,23400,-4.98395,0.36356,0.03184,-5.50255,0.21793,0.03166
234,23500,-4.93996,0.35109,0.03127,-5.48922,0.19091,0.03150
235,23600,-4.92986,0.28555,0.03119,-5.48672,0.20115,0.03131
236,23700,-4.91676,0.32591,0.03116,-5.52261,0.23002,0.03122
237,23800,-4.88233,0.30799,0.03096,-5.44718,0.24572,0.03104
238,23900,-4.87772,0.36032,0.03091,-5.41198,0.30066,0.03094
239,24000,-4.86029,0.33126,0.03077,-5.40935,0.26839,0.03039
240,24100,-4.89222,0.22114,0.03062,-5.35902,0.27671,0.03036
241,24200,-4.80955,0.22490,0.03069,-5.38334,0.27910,0.03039
242,24300,-4.85225,0.29102,0.03054,-5.37836,0.32291,0.03007
243,24400,-4.82016,0.26308,0.03015,-5.35586,0.30148,0.03003
244,24500,-4.73908,0.22505,0.02982,-5.32059,0.28372,0.02997
245,24600,-4.78958,0.24444,0.02981,-5.31738,0.27120,0.02981
246,24700,-4.76987,0.27916,0.02961,-5.24136,0.27095,0.02971
247,24800,-4.75422,0.24249,0.02921,-5.27142,0.26876,0.02943
248,24900,-4.70693,0.29070,0.02923,-5.29874,0.27902,0.02929
