iteration,episode,1_iql_loss,2_iql_loss,3_iql_loss,4_iql_loss
126,12700,1.22747,1.09974,1.02613,0.95861
127,12800,0.77618,1.16101,1.14662,0.91499
128,12900,1.01673,0.93311,1.15457,1.08592
129,13000,0.90382,0.97105,1.04594,0.99260
130,13100,0.89929,0.91347,1.07512,1.08884
131,13200,0.91998,0.99451,0.87523,0.96107
132,13300,0.82768,0.94116,0.92316,1.12083
133,13400,1.10286,1.08714,1.03153,0.90654
134,13500,1.23271,0.92953,0.88216,0.83967
135,13600,0.85199,1.01791,1.20696,1.03503
136,13700,0.58649,0.86147,1.10238,0.72457
137,13800,1.07270,1.05465,1.02315,0.75611
138,13900,1.19081,1.01745,0.88828,0.85703
139,14000,1.04891,0.86236,0.97514,0.90547
140,14100,1.14101,0.90033,1.03776,0.81620
141,14200,0.85223,1.09435,1.26965,0.88128
142,14300,1.05227,0.90925,0.84774,1.00782
143,14400,0.83857,1.13792,1.06388,0.89114
144,14500,0.84940,0.96652,1.04057,1.01047
145,14600,1.27481,1.02971,1.01411,0.96254
146,14700,0.97278,0.89064,1.11679,1.02935
147,14800,0.95008,0.97308,1.19927,0.88101
148,14900,0.97172,0.93548,1.10209,1.04081
149,15000,1.02573,0.88407,0.85723,0.83042
150,15100,0.88056,0.99730,1.03675,1.26998
151,15200,0.88048,1.04764,1.02134,1.03841
152,15300,0.95477,0.96815,0.98601,0.83393
153,15400,0.82032,0.86306,0.91409,1.10246
154,15500,1.05394,0.85508,1.04359,0.98084
155,15600,1.08659,0.91044,0.94677,1.01225
156,15700,0.96395,0.87993,1.08460,0.85224
157,15800,0.91653,1.01860,1.08411,0.99659
158,15900,1.32352,1.12309,1.23025,0.77509
159,16000,0.97122,0.94860,0.96307,1.04176
160,16100,1.18550,1.00210,1.06211,0.99658
161,16200,0.78822,1.09049,1.17175,0.99082
162,16300,0.97977,1.32476,0.93924,1.02269
163,16400,1.04913,1.03865,0.85795,0.95035
164,16500,0.97765,1.10792,1.13899,0.95624
165,16600,0.88105,0.94433,1.10310,0.91436
166,16700,0.93783,0.77268,0.82372,0.75495
167,16800,1.06328,0.90243,1.04974,0.96181
168,16900,1.10028,1.01736,0.86880,1.05198
169,17000,1.18252,0.86802,1.17392,1.08585
170,17100,0.96860,1.22369,1.14012,0.96268
171,17200,1.05288,0.99940,0.83866,0.89390
172,17300,0.88573,1.24159,0.90210,0.95128
173,17400,0.99411,1.19892,1.06695,1.01038
174,17500,1.01428,1.02829,0.64583,0.88061
175,17600,0.96531,1.11100,1.04988,1.03626
176,17700,1.11262,1.02301,0.88320,0.92573
177,17800,0.79860,1.30632,1.09949,0.97335
178,17900,0.85810,1.02679,0.95166,1.18414
179,18000,0.94905,0.95717,1.01120,1.12759
180,18100,0.70865,1.02936,0.86436,0.97788
181,18200,1.04509,1.09445,0.89332,0.87781
182,18300,0.97327,1.18351,0.75560,0.82724
183,18400,1.14209,0.90489,0.75499,1.07365
184,18500,0.87575,0.97293,0.94194,1.04425
185,18600,1.17345,0.90053,0.99526,1.12403
186,18700,1.12948,1.21653,0.97517,0.87064
187,18800,1.11342,1.06075,1.04210,0.85996
188,18900,0.85566,0.87431,1.09665,0.99306
189,19000,1.14155,1.04091,1.15717,0.94224
190,19100,0.90310,1.11478,0.62980,1.12683
191,19200,0.91393,1.03657,0.83737,1.20566
192,19300,0.91013,1.21805,1.05598,0.93061
193,19400,0.92823,0.78791,0.78547,0.89813
194,19500,0.98181,0.80206,1.08513,0.80275
195,19600,0.64091,1.28224,1.02418,0.99025
196,19700,1.02608,0.94929,1.19656,1.10580
197,19800,0.89840,0.91776,0.88226,1.02397
198,19900,1.14367,0.74096,1.00585,0.80735
199,20000,0.88212,1.01565,1.24205,0.86114
200,20100,1.01285,0.71518,1.29170,1.08353
201,20200,1.45129,0.86130,0.94567,0.84358
202,20300,1.02963,0.90029,0.99107,0.88329
203,20400,0.94148,1.13877,0.98022,0.87413
204,20500,0.95322,1.05576,1.12332,1.11866
205,20600,1.15749,0.99590,0.87049,1.02000
206,20700,0.99448,0.82868,1.02699,0.86518
207,20800,0.86262,1.14082,1.01180,0.89496
208,20900,0.90669,1.31040,1.03921,1.05512
209,21000,0.95699,1.18593,0.99689,0.91247
210,21100,0.83559,0.92585,0.99003,0.95648
211,21200,0.85101,1.04681,1.25344,0.78821
212,21300,0.99276,0.93401,0.90455,0.79995
213,21400,0.99894,0.83708,1.04074,1.10069
214,21500,0.96452,1.01688,1.02228,0.91672
215,21600,1.26223,0.98822,0.70242,0.88635
216,21700,1.07230,0.98402,1.19375,0.95521
217,21800,0.88019,0.94540,1.16233,0.82469
218,21900,1.13016,0.98970,1.03935,0.99764
219,22000,1.25930,1.14812,1.02763,0.96868
220,22100,1.07477,0.93899,0.88760,0.88106
221,22200,1.13095,1.04793,1.20817,0.83924
222,22300,0.83940,1.18804,0.84550,1.08885
223,22400,0.84195,0.79162,1.27128,1.02206
224,22500,1.04896,1.22419,0.98785,1.05875
