iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss,3_iql_loss,3_rnd_forward_loss
89,9000,1.37364,0.22968,1.45843,0.22953,1.39596,0.22970
90,9100,1.31332,0.22451,1.41670,0.22426,1.38860,0.22428
91,9200,1.44031,0.21922,1.41124,0.21920,1.42238,0.21926
92,9300,1.47458,0.21409,1.42336,0.21406,1.42764,0.21405
93,9400,1.39692,0.20897,1.42430,0.20884,1.39612,0.20882
94,9500,1.39284,0.20377,1.43379,0.20383,1.39626,0.20375
95,9600,1.40902,0.19877,1.45736,0.19878,1.37174,0.19883
96,9700,1.35457,0.19401,1.47470,0.19394,1.38873,0.19400
97,9800,1.40569,0.18902,1.45239,0.18880,1.39003,0.18898
98,9900,1.46293,0.18410,1.46174,0.18420,1.40880,0.18414
99,10000,1.38095,0.17954,1.43471,0.17943,1.38453,0.17929
100,10100,1.41742,0.17469,1.42103,0.17445,1.40887,0.17457
101,10200,1.34718,0.17011,1.46615,0.16997,1.40739,0.16993
102,10300,1.46591,0.16528,1.42561,0.16528,1.40364,0.16535
103,10400,1.42084,0.16076,1.44436,0.16067,1.43414,0.16063
104,10500,1.38346,0.15615,1.43530,0.15627,1.42917,0.15603
105,10600,1.41354,0.15184,1.43870,0.15166,1.42386,0.15156
106,10700,1.43348,0.14736,1.45187,0.14752,1.41416,0.14741
107,10800,1.38992,0.14327,1.46942,0.14304,1.44458,0.14294
108,10900,1.40145,0.13905,1.46660,0.13879,1.46340,0.13879
109,11000,1.37049,0.13458,1.38311,0.13446,1.38347,0.13456
110,11100,1.45628,0.13074,1.43583,0.13047,1.40974,0.13048
111,11200,1.36777,0.12645,1.45377,0.12659,1.43245,0.12653
112,11300,1.38560,0.12254,1.45250,0.12241,1.44697,0.12231
113,11400,1.39110,0.11865,1.43478,0.11854,1.40369,0.11852
114,11500,1.40880,0.11460,1.46186,0.11473,1.48603,0.11457
115,11600,1.42802,0.11089,1.45289,0.11088,1.45329,0.11094
116,11700,1.43706,0.10733,1.45251,0.10715,1.42287,0.10713
117,11800,1.42521,0.10360,1.45363,0.10380,1.40738,0.10359
118,11900,1.40120,0.10012,1.51228,0.09992,1.41109,0.09998
119,12000,1.38608,0.09647,1.48651,0.09670,1.42781,0.09648
120,12100,1.44625,0.09316,1.45824,0.09312,1.38032,0.09327
121,12200,1.42051,0.08984,1.44714,0.08971,1.44720,0.08977
122,12300,1.39921,0.08658,1.50002,0.08653,1.40185,0.08661
123,12400,1.51363,0.08344,1.48912,0.08334,1.47092,0.08326
124,12500,1.42188,0.08035,1.48861,0.08038,1.40279,0.08029
125,12600,1.38611,0.07722,1.46453,0.07717,1.45767,0.07715
126,12700,1.37519,0.07426,1.42397,0.07420,1.44208,0.07402
127,12800,1.43228,0.07135,1.42361,0.07137,1.46467,0.07133
128,12900,1.38701,0.06846,1.50588,0.06844,1.45306,0.06846
129,13000,1.42901,0.06581,1.46723,0.06564,1.40601,0.06573
130,13100,1.37963,0.06318,1.44535,0.06291,1.45705,0.06297
131,13200,1.35571,0.06045,1.49846,0.06048,1.43406,0.06030
132,13300,1.36795,0.05796,1.46034,0.05781,1.43390,0.05787
133,13400,1.35860,0.05548,1.39918,0.05538,1.42304,0.05528
134,13500,1.36626,0.05304,1.50806,0.05302,1.37313,0.05295
135,13600,1.38624,0.05077,1.50386,0.05069,1.44052,0.05067
136,13700,1.31153,0.04840,1.50092,0.04829,1.39894,0.04825
137,13800,1.34697,0.04618,1.49470,0.04621,1.40259,0.04611
138,13900,1.36213,0.04408,1.46919,0.04403,1.37521,0.04389
139,14000,1.39819,0.04203,1.46017,0.04191,1.47031,0.04191
140,14100,1.33943,0.04002,1.49500,0.03986,1.43956,0.03995
141,14200,1.46352,0.03805,1.43654,0.03801,1.46637,0.03797
142,14300,1.34605,0.03619,1.47781,0.03611,1.46446,0.03620
143,14400,1.37786,0.03445,1.49448,0.03432,1.45341,0.03436
144,14500,1.40373,0.03278,1.47556,0.03275,1.42466,0.03281
145,14600,1.40144,0.03126,1.47986,0.03125,1.47630,0.03120
146,14700,1.35639,0.02984,1.50400,0.02980,1.41637,0.02975
147,14800,1.35424,0.02845,1.49980,0.02846,1.44018,0.02847
148,14900,1.34179,0.02722,1.50780,0.02720,1.46005,0.02726
149,15000,1.37163,0.02614,1.48198,0.02595,1.43719,0.02596
150,15100,1.38444,0.02478,1.40315,0.02495,1.40984,0.02484
151,15200,1.32001,0.02386,1.47544,0.02387,1.45481,0.02378
152,15300,1.36421,0.02284,1.40859,0.02280,1.42221,0.02288
153,15400,1.39810,0.02186,1.50918,0.02190,1.37159,0.02191
154,15500,1.34292,0.02096,1.47766,0.02100,1.41247,0.02106
155,15600,1.38275,0.02026,1.47231,0.02018,1.42354,0.02021
156,15700,1.36954,0.01944,1.48931,0.01947,1.38351,0.01939
157,15800,1.34945,0.01861,1.46211,0.01865,1.44575,0.01868
158,15900,1.41901,0.01794,1.41521,0.01795,1.46085,0.01792
159,16000,1.36309,0.01730,1.49261,0.01739,1.42279,0.01731
160,16100,1.34025,0.01671,1.45814,0.01669,1.39973,0.01664
161,16200,1.39764,0.01600,1.46861,0.01603,1.45536,0.01613
162,16300,1.39127,0.01560,1.49553,0.01560,1.47334,0.01549
163,16400,1.31784,0.01491,1.44810,0.01504,1.44711,0.01504
164,16500,1.37443,0.01450,1.42854,0.01457,1.40577,0.01453
165,16600,1.31113,0.01401,1.47925,0.01412,1.49723,0.01407
166,16700,1.31761,0.01371,1.46775,0.01359,1.41941,0.01358
167,16800,1.36836,0.01324,1.46476,0.01329,1.41250,0.01315
168,16900,1.41853,0.01283,1.45163,0.01282,1.41824,0.01280
169,17000,1.38404,0.01251,1.48429,0.01241,1.40410,0.01244
170,17100,1.37133,0.01212,1.46725,0.01220,1.47671,0.01218
171,17200,1.33804,0.01182,1.46790,0.01195,1.46403,0.01182
172,17300,1.26533,0.01158,1.45788,0.01146,1.41954,0.01150
173,17400,1.35456,0.01129,1.49135,0.01128,1.40303,0.01133
174,17500,1.31856,0.01106,1.49489,0.01104,1.50201,0.01104
175,17600,1.42633,0.01073,1.44620,0.01082,1.37264,0.01083
176,17700,1.29974,0.01054,1.45422,0.01061,1.44158,0.01056
177,17800,1.35208,0.01037,1.45024,0.01033,1.47780,0.01033
178,17900,1.30304,0.01017,1.48461,0.01022,1.40131,0.01015
179,18000,1.36571,0.01003,1.45101,0.00995,1.48123,0.01000
180,18100,1.35565,0.00980,1.50790,0.00979,1.41772,0.00981
181,18200,1.36474,0.00964,1.48462,0.00959,1.38771,0.00967
182,18300,1.32029,0.00943,1.45252,0.00942,1.39310,0.00942
183,18400,1.32699,0.00930,1.42165,0.00930,1.36470,0.00929
184,18500,1.38223,0.00913,1.45786,0.00917,1.44611,0.00908
185,18600,1.36149,0.00902,1.46461,0.00906,1.44455,0.00908
186,18700,1.36352,0.00886,1.48419,0.00898,1.41882,0.00880
187,18800,1.33546,0.00879,1.46120,0.00877,1.40251,0.00878
188,18900,1.35974,0.00881,1.48772,0.00870,1.35580,0.00875
189,19000,1.36152,0.00853,1.44975,0.00852,1.39794,0.00856
190,19100,1.34140,0.00850,1.43408,0.00849,1.43900,0.00841
191,19200,1.37998,0.00829,1.49642,0.00836,1.37915,0.00824
192,19300,1.34809,0.00831,1.48380,0.00821,1.40309,0.00827
193,19400,1.30306,0.00814,1.47763,0.00821,1.42482,0.00819
194,19500,1.31302,0.00812,1.42674,0.00813,1.46969,0.00810
195,19600,1.31554,0.00800,1.44570,0.00802,1.34248,0.00804
196,19700,1.35113,0.00791,1.45153,0.00793,1.45444,0.00803
197,19800,1.29926,0.00782,1.43616,0.00789,1.44673,0.00786
198,19900,1.34539,0.00780,1.39690,0.00780,1.45336,0.00784
199,20000,1.24152,0.00770,1.45468,0.00779,1.41998,0.00772
200,20100,1.28303,0.00780,1.45385,0.00769,1.42022,0.00762
201,20200,1.34638,0.00768,1.41445,0.00757,1.46678,0.00766
202,20300,1.29738,0.00759,1.38761,0.00751,1.42541,0.00760
203,20400,1.36310,0.00752,1.41326,0.00754,1.41375,0.00747
204,20500,1.27426,0.00744,1.43187,0.00742,1.48365,0.00759
205,20600,1.27145,0.00741,1.45441,0.00743,1.39156,0.00736
206,20700,1.27398,0.00734,1.43840,0.00741,1.40914,0.00730
207,20800,1.40677,0.00725,1.46989,0.00729,1.39811,0.00734
208,20900,1.25535,0.00724,1.43933,0.00730,1.33244,0.00723
209,21000,1.32034,0.00722,1.40036,0.00723,1.40486,0.00720
210,21100,1.38267,0.00716,1.47541,0.00708,1.44215,0.00715
211,21200,1.28044,0.00706,1.42490,0.00713,1.44979,0.00705
212,21300,1.27812,0.00693,1.37120,0.00707,1.44190,0.00706
213,21400,1.21609,0.00696,1.42790,0.00695,1.36488,0.00701
214,21500,1.37734,0.00701,1.38100,0.00688,1.41300,0.00694
215,21600,1.30789,0.00686,1.52185,0.00693,1.40560,0.00686
216,21700,1.26192,0.00677,1.43207,0.00678,1.42755,0.00684
217,21800,1.27200,0.00673,1.45955,0.00678,1.40138,0.00674
218,21900,1.24180,0.00671,1.41673,0.00672,1.44667,0.00672
219,22000,1.29530,0.00660,1.40702,0.00662,1.38799,0.00669
220,22100,1.33429,0.00663,1.45664,0.00666,1.42428,0.00660
221,22200,1.31033,0.00651,1.43260,0.00656,1.41371,0.00658
222,22300,1.27257,0.00653,1.46520,0.00648,1.42954,0.00652
