iteration,episode,1_iql_loss,2_iql_loss
0,100,0.96438,0.84782
1,200,0.99394,0.65322
2,300,0.98625,0.56842
3,400,0.96645,0.45801
4,500,1.01245,0.42563
5,600,1.02155,0.42818
6,700,1.01789,0.42355
7,800,0.99680,0.42764
8,900,1.00084,0.44321
9,1000,1.00648,0.44059
10,1100,1.00769,0.43632
11,1200,1.01783,0.44226
12,1300,1.02983,0.44889
13,1400,0.97894,0.44897
14,1500,0.99100,0.44639
15,1600,1.02791,0.45972
16,1700,0.98894,0.45834
17,1800,0.98574,0.45775
18,1900,0.97312,0.45649
19,2000,1.01284,0.45353
20,2100,1.01114,0.45392
21,2200,1.00886,0.45900
22,2300,1.01144,0.45540
23,2400,0.97020,0.45788
24,2500,1.03764,0.45813
25,2600,0.98790,0.46673
26,2700,1.00612,0.46595
27,2800,0.99745,0.48377
28,2900,0.99709,0.47012
29,3000,0.99756,0.46428
30,3100,0.97189,0.47591
31,3200,1.01404,0.48544
32,3300,0.98665,0.48619
33,3400,1.01414,0.47619
34,3500,1.00129,0.48367
35,3600,0.99543,0.48182
36,3700,1.00080,0.50061
37,3800,0.97338,0.48542
38,3900,0.97738,0.49414
39,4000,0.98255,0.49557
40,4100,1.01004,0.48732
41,4200,0.99566,0.49812
42,4300,1.00594,0.48563
43,4400,1.04532,0.51086
44,4500,0.99713,0.49787
45,4600,0.99657,0.50845
46,4700,0.98671,0.52187
47,4800,0.98373,0.50477
48,4900,0.99802,0.51733
49,5000,1.00100,0.50798
50,5100,0.99891,0.51012
51,5200,0.99470,0.51841
52,5300,1.00768,0.51513
53,5400,0.95775,0.50036
54,5500,0.98831,0.49984
55,5600,0.99950,0.51499
56,5700,0.99387,0.51125
57,5800,0.96942,0.53269
58,5900,0.98225,0.52373
59,6000,1.00024,0.51102
60,6100,0.97916,0.53020
61,6200,0.98835,0.53600
62,6300,1.00698,0.52342
63,6400,0.98535,0.53602
64,6500,1.02177,0.53006
65,6600,0.99351,0.52884
66,6700,1.02098,0.53375
67,6800,0.98064,0.52153
68,6900,0.98149,0.55016
69,7000,0.98714,0.51880
70,7100,1.00218,0.52368
71,7200,0.95007,0.55119
72,7300,0.97408,0.53338
73,7400,1.02514,0.54344
74,7500,1.01067,0.53797
75,7600,1.02255,0.53227
76,7700,0.99364,0.54471
77,7800,0.97340,0.53233
78,7900,0.98444,0.55811
79,8000,0.96052,0.54288
80,8100,0.96590,0.56635
81,8200,0.98750,0.56331
82,8300,0.99927,0.54587
83,8400,1.03975,0.55842
84,8500,1.00741,0.55220
85,8600,0.99972,0.57134
86,8700,1.00604,0.55603
87,8800,0.99196,0.55085
88,8900,0.98988,0.58735
89,9000,1.00047,0.56783
90,9100,1.04058,0.59111
91,9200,1.03368,0.56947
92,9300,0.97073,0.57274
93,9400,0.96682,0.57701
94,9500,1.03113,0.56759
95,9600,1.00479,0.57872
96,9700,0.98345,0.56765
97,9800,0.99821,0.58490
98,9900,0.95356,0.56795
99,10000,0.99093,0.58796
100,10100,0.95243,0.58936
101,10200,1.00608,0.58589
102,10300,0.97338,0.59936
103,10400,0.96954,0.60077
104,10500,0.97576,0.57296
105,10600,0.98464,0.58357
106,10700,1.00280,0.60099
107,10800,0.98944,0.59513
108,10900,0.98965,0.59323
109,11000,1.01462,0.59241
110,11100,1.00510,0.59787
111,11200,0.95918,0.61550
112,11300,1.01378,0.60735
113,11400,0.96151,0.60283
114,11500,1.05106,0.61263
115,11600,0.97355,0.60497
116,11700,0.99095,0.61856
117,11800,0.95426,0.62845
118,11900,1.01356,0.60233
119,12000,0.96875,0.63932
120,12100,0.98534,0.64953
121,12200,0.96901,0.62775
122,12300,0.97815,0.62412
123,12400,0.93460,0.61156
124,12500,0.99259,0.60784
125,12600,0.98317,0.60962
126,12700,0.95499,0.61685
127,12800,0.99735,0.62380
128,12900,1.02683,0.64683
129,13000,0.94295,0.63297
130,13100,1.01759,0.63885
131,13200,0.98752,0.64795
132,13300,0.98617,0.61986
133,13400,0.98010,0.64195
134,13500,0.98666,0.62500
135,13600,0.98821,0.63981
136,13700,0.97855,0.65388
137,13800,1.00551,0.62755
138,13900,1.00389,0.64161
139,14000,0.99181,0.62272
140,14100,1.01361,0.65898
141,14200,0.97813,0.64717
142,14300,0.99658,0.67538
143,14400,0.97558,0.64818
144,14500,0.97472,0.67048
145,14600,0.96542,0.67611
146,14700,0.98200,0.66982
147,14800,0.95961,0.66815
148,14900,0.96765,0.66401
149,15000,0.97252,0.65159
150,15100,1.01756,0.67456
151,15200,0.95237,0.67416
152,15300,0.98836,0.67673
153,15400,0.99405,0.68416
154,15500,0.98465,0.68295
155,15600,1.01638,0.67103
156,15700,0.96443,0.67548
157,15800,0.96222,0.67804
158,15900,0.98459,0.71404
159,16000,0.98418,0.68214
160,16100,0.97738,0.69100
161,16200,0.96796,0.70630
162,16300,0.97193,0.68560
163,16400,0.97258,0.68165
164,16500,0.98824,0.68282
165,16600,1.00903,0.68166
166,16700,0.96125,0.69156
167,16800,0.98145,0.70680
168,16900,0.96025,0.69030
169,17000,0.98223,0.70400
170,17100,0.97835,0.70473
171,17200,0.99470,0.71434
172,17300,0.98899,0.70452
173,17400,0.95021,0.72914
174,17500,0.97307,0.68850
175,17600,1.01595,0.72366
176,17700,0.96588,0.74040
177,17800,0.97146,0.73228
178,17900,0.96801,0.71955
179,18000,0.99073,0.72542
180,18100,0.96424,0.72371
181,18200,0.99327,0.71897
182,18300,1.03096,0.72986
183,18400,1.00830,0.73605
184,18500,0.99859,0.74012
185,18600,1.01694,0.72283
186,18700,0.99746,0.73259
187,18800,1.00477,0.73747
188,18900,0.96865,0.74301
189,19000,0.99002,0.73622
190,19100,0.98076,0.72493
191,19200,1.01458,0.74460
192,19300,0.94371,0.76089
193,19400,0.96922,0.75764
194,19500,0.98284,0.77326
195,19600,0.93034,0.74570
196,19700,0.99326,0.75190
197,19800,0.98299,0.75563
198,19900,1.00716,0.77096
199,20000,0.97338,0.76745
200,20100,0.99897,0.75885
201,20200,0.96998,0.77469
202,20300,0.95321,0.77938
203,20400,0.97338,0.79256
204,20500,0.96849,0.75610
205,20600,0.99485,0.80470
206,20700,0.99395,0.77553
207,20800,0.99101,0.80409
208,20900,1.00076,0.77169
209,21000,0.98436,0.77169
210,21100,0.98863,0.77689
211,21200,0.99530,0.77887
212,21300,1.02547,0.76849
213,21400,0.95591,0.76691
214,21500,1.02361,0.77658
215,21600,0.98756,0.78304
216,21700,0.99889,0.77619
217,21800,0.97846,0.80088
218,21900,0.98052,0.81170
219,22000,0.94527,0.76986
220,22100,0.95615,0.79446
221,22200,1.00690,0.80465
222,22300,1.00902,0.81523
223,22400,1.00302,0.80349
224,22500,0.95679,0.79743
225,22600,0.97675,0.79466
226,22700,0.98156,0.81895
227,22800,0.95489,0.81754
228,22900,0.99872,0.83088
229,23000,1.00408,0.79456
230,23100,0.99858,0.83379
231,23200,0.96766,0.79285
232,23300,0.95586,0.83033
233,23400,1.01645,0.81067
234,23500,1.00988,0.79246
235,23600,0.95145,0.79610
236,23700,0.98235,0.83454
237,23800,0.94746,0.82094
238,23900,1.03931,0.83478
239,24000,0.97518,0.86990
240,24100,0.98503,0.85331
241,24200,0.99130,0.81270
242,24300,0.95567,0.82930
243,24400,0.94801,0.82607
244,24500,0.99950,0.84144
245,24600,0.99002,0.82120
246,24700,0.99324,0.82957
247,24800,0.95756,0.86621
248,24900,0.94379,0.84407
