iteration,episode,1_iql_loss,2_iql_loss,3_iql_loss
158,15900,1.54021,1.77158,1.72060
159,16000,1.55614,1.73105,1.86916
160,16100,1.52498,1.78751,1.81723
161,16200,1.61261,1.80505,1.77574
162,16300,1.51607,1.80715,1.75612
163,16400,1.57161,1.83120,1.80183
164,16500,1.55335,1.73316,1.73577
165,16600,1.50475,1.82482,1.75253
166,16700,1.52419,1.75148,1.71431
167,16800,1.44572,1.87985,1.80286
168,16900,1.52403,1.82421,1.79412
169,17000,1.50009,1.79758,1.80610
170,17100,1.54720,1.74731,1.81521
171,17200,1.50421,1.84667,1.78200
172,17300,1.50474,1.89770,1.80198
173,17400,1.46445,1.84098,1.83582
174,17500,1.56376,1.94386,1.70313
175,17600,1.49900,1.76213,1.84950
176,17700,1.51533,1.77312,1.80434
177,17800,1.58304,1.89336,1.83969
178,17900,1.55771,1.92983,1.76660
179,18000,1.52148,1.87326,1.80298
180,18100,1.55914,1.80548,1.80931
181,18200,1.48324,1.84470,1.90505
182,18300,1.57707,1.84668,1.80367
183,18400,1.52286,1.84080,1.76460
184,18500,1.55432,1.87885,1.84862
185,18600,1.51590,1.83521,1.78449
186,18700,1.59499,1.93015,1.82419
187,18800,1.44733,1.83027,1.84451
188,18900,1.61706,1.83956,1.83123
189,19000,1.56363,1.86844,1.82477
190,19100,1.59033,1.84272,1.82088
191,19200,1.51944,1.92744,1.83993
192,19300,1.49495,1.84454,1.84189
193,19400,1.51996,1.83904,1.87810
194,19500,1.52666,1.86843,1.92236
195,19600,1.55065,1.91481,1.89434
196,19700,1.51738,1.90280,1.86030
197,19800,1.59625,1.90031,1.86812
198,19900,1.61929,1.80959,1.88493
199,20000,1.51471,1.89021,1.87821
200,20100,1.50563,1.80679,1.81534
201,20200,1.53342,1.81901,1.85300
202,20300,1.53024,1.89355,1.87849
203,20400,1.51060,1.83682,1.83811
204,20500,1.41304,1.86083,1.87041
205,20600,1.53410,1.93967,1.90491
206,20700,1.46430,1.84663,1.88338
207,20800,1.48411,1.77829,1.92053
208,20900,1.50958,1.91259,1.92721
209,21000,1.51706,1.86879,1.84002
210,21100,1.48363,1.89430,1.91651
211,21200,1.43718,1.82108,1.87157
212,21300,1.49069,1.80903,1.90830
213,21400,1.43554,1.83827,1.91816
214,21500,1.52037,1.79610,2.00390
215,21600,1.57585,1.85042,1.85234
216,21700,1.47749,1.79985,1.90055
217,21800,1.52648,1.82619,1.92543
218,21900,1.53004,1.90290,1.89330
219,22000,1.50293,1.84412,1.90879
220,22100,1.53903,1.92400,1.83720
221,22200,1.51297,1.89422,1.90254
222,22300,1.51418,1.83454,1.88815
223,22400,1.57106,1.88140,1.87399
224,22500,1.55591,1.82022,1.92059
225,22600,1.57267,1.87242,1.89450
226,22700,1.57480,1.85848,1.90271
227,22800,1.61094,1.89463,1.93905
228,22900,1.55676,1.84233,1.94766
229,23000,1.58966,1.80605,1.87964
230,23100,1.57704,1.84621,1.90871
231,23200,1.55962,1.89891,1.91885
232,23300,1.57319,1.89552,1.93443
233,23400,1.57358,1.85488,1.89955
234,23500,1.55217,1.79502,1.96381
235,23600,1.58083,1.88915,1.87089
236,23700,1.52776,1.80183,1.95461
237,23800,1.49494,1.90362,1.92228
238,23900,1.61193,1.93556,1.90824
239,24000,1.48568,1.86309,1.95922
240,24100,1.50963,1.91285,1.91525
241,24200,1.55393,1.90520,1.88070
242,24300,1.56927,1.88948,1.91857
243,24400,1.61815,1.93438,1.90575
244,24500,1.53653,1.83249,1.96701
245,24600,1.47381,1.82485,1.91009
246,24700,1.55163,1.88890,1.87682
247,24800,1.54169,1.93372,1.97129
248,24900,1.45868,1.91713,1.99600
