iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value,3_iql_loss,3_count_value,4_iql_loss,4_count_value
69,7000,2.38349,0.32259,2.29081,0.29574,2.30465,0.32989,1.85356,0.31940
70,7100,2.38832,0.32604,2.36987,0.29505,2.45676,0.33069,1.84531,0.32016
71,7200,2.36475,0.32828,2.35207,0.29791,2.48314,0.33454,1.83782,0.31930
72,7300,2.38234,0.32839,2.32136,0.29919,2.38086,0.32989,1.81652,0.31946
73,7400,2.40994,0.32802,2.32317,0.30034,2.44126,0.33063,1.82662,0.31944
74,7500,2.35378,0.32786,2.36627,0.29968,2.41542,0.33182,1.85560,0.32093
75,7600,2.36606,0.33114,2.28446,0.30451,2.47733,0.33369,1.79771,0.31940
76,7700,2.36446,0.33033,2.33174,0.30324,2.44456,0.33432,1.86674,0.31793
77,7800,2.34259,0.33072,2.39837,0.30654,2.34430,0.33321,1.83527,0.31750
78,7900,2.38552,0.33242,2.32399,0.30372,2.44016,0.33420,1.79373,0.31601
79,8000,2.35753,0.33213,2.31016,0.30692,2.49324,0.33594,1.84394,0.31479
80,8100,2.34156,0.33033,2.32752,0.30632,2.44608,0.33573,1.80556,0.31434
81,8200,2.43128,0.33273,2.31353,0.30712,2.34759,0.33762,1.82035,0.31584
82,8300,2.43977,0.33396,2.38357,0.30907,2.53387,0.33629,1.79880,0.31626
83,8400,2.44440,0.33528,2.37343,0.30934,2.36871,0.33462,1.82730,0.31383
84,8500,2.39710,0.33307,2.30369,0.31095,2.52200,0.33777,1.80307,0.31275
85,8600,2.38932,0.33350,2.39320,0.31182,2.43813,0.33693,1.77795,0.31406
86,8700,2.41169,0.33218,2.37274,0.31149,2.47869,0.33645,1.76369,0.31173
87,8800,2.42825,0.33400,2.33683,0.31233,2.43756,0.33524,1.72389,0.31032
88,8900,2.44721,0.33378,2.34001,0.30968,2.51677,0.33608,1.76026,0.31117
89,9000,2.39843,0.33558,2.32818,0.31120,2.49899,0.33774,1.79230,0.31280
90,9100,2.43348,0.33559,2.34856,0.31389,2.52043,0.34030,1.80692,0.31219
91,9200,2.50390,0.33623,2.38747,0.31600,2.42772,0.33759,1.79166,0.31395
92,9300,2.47420,0.33613,2.38415,0.31540,2.52325,0.33726,1.76460,0.30934
93,9400,2.45675,0.33460,2.35670,0.31459,2.54992,0.33875,1.75352,0.30821
94,9500,2.45483,0.33267,2.43740,0.31353,2.53434,0.33788,1.73589,0.30377
95,9600,2.47740,0.33347,2.36694,0.31834,2.53011,0.33517,1.72394,0.30514
96,9700,2.45165,0.33416,2.38364,0.31525,2.61806,0.34032,1.71068,0.30472
97,9800,2.50550,0.33576,2.37835,0.31625,2.54755,0.33892,1.79886,0.30724
98,9900,2.57475,0.33713,2.39674,0.31640,2.60725,0.33892,1.74293,0.30248
99,10000,2.55332,0.33416,2.41268,0.31537,2.53005,0.33911,1.80271,0.30253
100,10100,2.53151,0.33293,2.38422,0.31645,2.64267,0.33825,1.71315,0.30052
101,10200,2.55375,0.33607,2.38561,0.31476,2.60036,0.33557,1.76841,0.30004
102,10300,2.53020,0.33334,2.38972,0.31562,2.55518,0.33931,1.73867,0.29960
103,10400,2.59232,0.33463,2.40237,0.31681,2.62790,0.33711,1.72550,0.29937
104,10500,2.53194,0.33524,2.42680,0.31762,2.58135,0.33503,1.75958,0.29929
105,10600,2.55216,0.33610,2.44777,0.31615,2.61797,0.33606,1.76847,0.29921
106,10700,2.55713,0.33381,2.39104,0.31975,2.58947,0.33957,1.70675,0.29945
107,10800,2.60416,0.33742,2.41613,0.31207,2.61136,0.33774,1.73115,0.29757
108,10900,2.56766,0.33129,2.48556,0.31899,2.70049,0.33762,1.72913,0.29769
109,11000,2.59750,0.33305,2.46135,0.31975,2.68781,0.33800,1.76783,0.29831
110,11100,2.55046,0.33203,2.40366,0.31979,2.59651,0.33658,1.73031,0.29374
111,11200,2.55363,0.33181,2.40124,0.31690,2.72937,0.33778,1.67748,0.29202
112,11300,2.56776,0.33372,2.40392,0.31718,2.68409,0.33591,1.72316,0.29338
113,11400,2.57889,0.33144,2.39653,0.31787,2.63739,0.33788,1.69279,0.29052
114,11500,2.58297,0.33320,2.44922,0.31727,2.65928,0.33560,1.71015,0.29476
115,11600,2.60250,0.33533,2.40141,0.32024,2.66376,0.33558,1.73868,0.29116
116,11700,2.60529,0.33146,2.42700,0.32151,2.63076,0.33621,1.70958,0.29091
117,11800,2.54953,0.33128,2.33912,0.31869,2.60628,0.33839,1.73316,0.29204
118,11900,2.57944,0.33392,2.39332,0.31815,2.73027,0.33662,1.72871,0.28711
119,12000,2.54328,0.33051,2.34648,0.31669,2.68959,0.33420,1.76978,0.28716
120,12100,2.55463,0.33066,2.41839,0.31782,2.60092,0.33491,1.77568,0.28821
121,12200,2.57809,0.33132,2.33942,0.32069,2.66368,0.33464,1.73367,0.28355
122,12300,2.59683,0.33501,2.36528,0.31770,2.66249,0.33477,1.70206,0.28439
123,12400,2.53860,0.33196,2.42602,0.31974,2.58828,0.33703,1.71216,0.28408
124,12500,2.49560,0.33019,2.31088,0.32017,2.60480,0.33680,1.72618,0.28318
125,12600,2.58039,0.33306,2.38380,0.31803,2.65570,0.33786,1.76573,0.28314
126,12700,2.53411,0.33027,2.37963,0.31745,2.67248,0.33629,1.71553,0.27965
127,12800,2.53732,0.33130,2.32034,0.31802,2.64718,0.33936,1.74861,0.27926
128,12900,2.53270,0.33233,2.38171,0.31811,2.64248,0.33637,1.76255,0.27864
129,13000,2.51624,0.33155,2.37112,0.31859,2.67747,0.33628,1.66405,0.27530
130,13100,2.45981,0.33000,2.30329,0.31774,2.61565,0.33552,1.76309,0.27489
131,13200,2.54874,0.33060,2.34687,0.31776,2.62147,0.33611,1.75886,0.27521
132,13300,2.48318,0.32679,2.34632,0.32057,2.57649,0.33554,1.68734,0.27019
133,13400,2.49694,0.32988,2.24208,0.31816,2.63726,0.33441,1.77128,0.27206
134,13500,2.46573,0.33053,2.32096,0.31463,2.64339,0.33395,1.77418,0.27260
135,13600,2.49254,0.32910,2.35611,0.31711,2.62084,0.33733,1.79709,0.27121
136,13700,2.49563,0.32988,2.31925,0.32105,2.63413,0.33537,1.74424,0.27000
137,13800,2.49162,0.32971,2.32524,0.32007,2.70043,0.33289,1.72440,0.26780
138,13900,2.50540,0.32620,2.32015,0.31687,2.53872,0.33344,1.75123,0.26560
139,14000,2.43786,0.32819,2.29513,0.31720,2.55989,0.33094,1.76095,0.26675
140,14100,2.41794,0.32643,2.28234,0.31520,2.57094,0.33089,1.74519,0.26402
141,14200,2.44378,0.32512,2.27338,0.31486,2.62585,0.33377,1.75697,0.26492
142,14300,2.45920,0.32634,2.32238,0.31809,2.59846,0.33257,1.76527,0.26249
143,14400,2.46431,0.32452,2.30352,0.31464,2.59757,0.33005,1.80051,0.26466
144,14500,2.45735,0.32261,2.24457,0.31461,2.54584,0.33281,1.72756,0.26006
145,14600,2.40349,0.32537,2.34444,0.31560,2.51744,0.33204,1.76456,0.26153
146,14700,2.47064,0.32777,2.22173,0.31289,2.71830,0.33233,1.72932,0.25945
147,14800,2.42875,0.32206,2.36095,0.31727,2.57753,0.32861,1.74479,0.25858
148,14900,2.49446,0.32355,2.25803,0.31552,2.56174,0.33076,1.73023,0.25643
149,15000,2.35842,0.32017,2.32111,0.31528,2.55046,0.32795,1.78250,0.26099
150,15100,2.37772,0.32179,2.31495,0.31439,2.59063,0.32796,1.79811,0.25961
151,15200,2.43938,0.32094,2.30524,0.31704,2.62429,0.32986,1.81733,0.25639
152,15300,2.35532,0.32251,2.24332,0.31367,2.55418,0.32873,1.77697,0.25724
153,15400,2.41574,0.32245,2.28654,0.31471,2.58500,0.32815,1.77928,0.25641
154,15500,2.45598,0.32296,2.23292,0.31279,2.50387,0.32449,1.77185,0.25798
155,15600,2.38688,0.32024,2.27313,0.31414,2.51525,0.32419,1.73624,0.25396
156,15700,2.42937,0.32074,2.28968,0.31176,2.51315,0.32405,1.74525,0.25615
157,15800,2.43649,0.31949,2.30884,0.31179,2.52718,0.32657,1.76031,0.25611
158,15900,2.42262,0.31839,2.25453,0.31158,2.54485,0.32564,1.84594,0.25809
159,16000,2.45521,0.32269,2.30055,0.31115,2.65324,0.32736,1.81158,0.25780
160,16100,2.44232,0.32156,2.32487,0.31111,2.55832,0.32674,1.77120,0.25681
