iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_rnd_forward_loss
58,5900,-34.33971,11.49239,0.40154,-33.91713,4.59607,0.40613,-33.91602,8.32981,0.40580
59,6000,-33.97483,6.17635,0.38822,-33.53270,3.82543,0.39360,-33.36975,7.56359,0.38671
60,6100,-33.91550,6.07320,0.37488,-32.99042,4.61882,0.37600,-32.71490,8.25263,0.37487
61,6200,-33.46728,3.76804,0.36377,-32.62830,4.25168,0.36483,-32.26590,6.90048,0.36145
62,6300,-33.30200,2.51977,0.35215,-31.99781,3.44198,0.34801,-31.87543,5.11483,0.35464
63,6400,-32.90011,2.20627,0.33961,-31.67466,3.17943,0.33810,-31.59864,4.98545,0.34012
64,6500,-32.57562,1.32509,0.32659,-31.21207,2.20406,0.32847,-31.34892,3.60490,0.32814
65,6600,-32.26293,1.02291,0.31787,-30.66330,2.12165,0.31977,-30.76530,3.34332,0.31948
66,6700,-31.61808,1.13023,0.30911,-30.01973,2.59393,0.30728,-30.17018,3.73851,0.30707
67,6800,-31.17757,1.38376,0.29899,-29.75251,3.08355,0.29843,-29.76589,4.83489,0.29863
68,6900,-30.61788,1.12655,0.29054,-29.33862,2.40495,0.28979,-29.21056,3.67542,0.29296
69,7000,-30.35277,0.79613,0.28438,-28.85477,1.67086,0.28339,-28.74636,2.42379,0.28199
70,7100,-29.82573,0.61991,0.27646,-28.52329,1.41654,0.27589,-28.22189,1.87408,0.27764
71,7200,-29.41549,3.15522,0.26941,-27.90017,1.37576,0.26908,-27.62168,1.64857,0.26810
72,7300,-28.87312,2.07677,0.26264,-27.59835,1.46172,0.26314,-27.56436,1.66486,0.26121
73,7400,-28.70628,3.20116,0.25675,-27.01735,2.15042,0.25641,-26.94022,3.03177,0.25381
74,7500,-28.39762,3.32164,0.24993,-26.46996,2.42527,0.24727,-26.63397,3.21894,0.25048
75,7600,-27.98038,2.20892,0.24296,-26.26322,2.00740,0.24459,-26.30239,2.15448,0.24469
76,7700,-27.79706,1.92640,0.23767,-25.74782,1.61730,0.23728,-25.99981,1.68173,0.23637
77,7800,-27.35431,1.93899,0.23222,-25.19856,1.51251,0.23381,-25.45405,1.66096,0.23393
78,7900,-26.88499,2.75044,0.22995,-24.76005,1.32379,0.22907,-24.82897,1.36026,0.22777
79,8000,-26.53141,2.62212,0.22402,-24.27301,1.26000,0.22351,-24.45768,1.31487,0.22295
80,8100,-26.36156,1.53460,0.21854,-23.86665,1.12045,0.21731,-24.11490,1.28504,0.21946
81,8200,-26.04995,1.32622,0.21389,-23.34182,1.16462,0.21238,-23.67079,1.40728,0.21340
82,8300,-25.79384,0.96624,0.21051,-22.85761,1.31256,0.20864,-23.17189,1.69324,0.20976
83,8400,-25.31607,1.01379,0.20488,-22.42728,1.50595,0.20668,-22.62601,2.07178,0.20571
84,8500,-24.96902,1.06435,0.20250,-22.08078,1.56813,0.20054,-22.30596,2.09172,0.20262
85,8600,-24.54964,0.98338,0.19754,-21.64005,1.49902,0.19958,-21.70132,2.36031,0.19673
86,8700,-23.96900,0.86470,0.19382,-21.19575,1.05102,0.19426,-21.12199,1.47398,0.19322
87,8800,-23.92988,1.12191,0.19143,-20.67329,0.82842,0.19067,-20.74364,1.81398,0.19059
88,8900,-23.58131,0.69949,0.18748,-20.47636,0.83819,0.18783,-20.53351,1.87262,0.18643
89,9000,-23.32223,1.25633,0.18414,-20.07417,0.77948,0.18563,-19.97126,1.29668,0.18419
90,9100,-22.71717,1.95940,0.18026,-19.52614,0.78305,0.18158,-19.45347,1.14208,0.18126
91,9200,-22.53268,1.07151,0.17774,-19.27600,0.77051,0.17734,-19.07843,1.11471,0.17770
92,9300,-22.24379,0.38323,0.17389,-18.97804,0.72040,0.17450,-18.68253,1.07459,0.17453
93,9400,-22.06373,0.35000,0.17156,-18.59505,0.74112,0.17115,-18.19943,1.09426,0.17134
94,9500,-21.65977,0.32783,0.16806,-18.23033,0.72768,0.16916,-17.91776,1.01870,0.16899
95,9600,-21.39246,0.30462,0.16528,-17.88457,0.70923,0.16475,-17.43863,1.01532,0.16576
96,9700,-21.16792,0.29521,0.16198,-17.60999,0.72331,0.16125,-17.04920,1.01291,0.16348
97,9800,-20.90305,0.29109,0.15950,-17.33093,0.72516,0.15896,-16.71083,1.02358,0.15930
98,9900,-20.61319,0.30480,0.15784,-17.07659,0.73441,0.15706,-16.50275,1.07182,0.15710
99,10000,-20.30987,0.31036,0.15469,-16.80649,0.71759,0.15545,-16.35792,0.99031,0.15508
100,10100,-20.01111,0.30375,0.15291,-16.56950,0.72738,0.15194,-15.92019,0.95983,0.15363
101,10200,-19.83622,0.29112,0.14888,-16.34652,0.76587,0.14993,-15.55169,0.93873,0.15080
102,10300,-19.55890,0.30339,0.14917,-16.04355,0.72775,0.14758,-15.23932,0.93786,0.14755
103,10400,-19.41910,0.33029,0.14508,-15.83931,0.76044,0.14506,-14.91450,0.90034,0.14491
104,10500,-19.07727,0.28886,0.14283,-15.56506,0.77425,0.14289,-14.72772,0.90816,0.14343
105,10600,-18.83260,0.27832,0.14189,-15.26121,0.72479,0.13978,-14.41494,1.16698,0.14084
106,10700,-18.65036,0.28068,0.13951,-15.01492,0.78548,0.13862,-14.25163,1.01425,0.13935
107,10800,-18.48522,0.31860,0.13719,-14.79933,0.75461,0.13681,-14.05156,0.92616,0.13657
108,10900,-18.11057,0.29474,0.13553,-14.63010,0.81124,0.13530,-13.88862,1.02428,0.13553
109,11000,-17.98493,0.29115,0.13297,-14.35552,0.78532,0.13318,-13.75827,1.01684,0.13298
110,11100,-17.74394,0.27703,0.13086,-14.13803,0.80189,0.13193,-13.36348,1.40803,0.13105
111,11200,-17.57856,0.27009,0.12951,-13.96640,0.79679,0.12903,-13.13600,0.91877,0.12936
112,11300,-17.33133,0.28571,0.12728,-13.70896,1.09416,0.12716,-12.96870,0.91335,0.12807
113,11400,-17.10646,0.28113,0.12521,-13.57380,1.41990,0.12627,-12.75839,0.65723,0.12381
114,11500,-16.96784,1.62908,0.12338,-13.40705,1.00917,0.12441,-12.49159,0.68846,0.12432
115,11600,-16.60244,0.71494,0.12262,-13.11489,0.92140,0.12250,-12.29346,0.78451,0.12310
116,11700,-16.60836,1.06765,0.12070,-12.90777,1.05230,0.12011,-12.13522,0.64461,0.12032
