iteration,episode,1_iql_loss,2_iql_loss,3_iql_loss
158,15900,1.35599,1.30673,1.36936
159,16000,1.33907,1.35101,1.36562
160,16100,1.32210,1.34863,1.37766
161,16200,1.33620,1.35748,1.34256
162,16300,1.33183,1.35857,1.35108
163,16400,1.34826,1.36840,1.38191
164,16500,1.36952,1.34701,1.36160
165,16600,1.35736,1.32843,1.34872
166,16700,1.35832,1.35774,1.39589
167,16800,1.32626,1.35527,1.35857
168,16900,1.37467,1.38362,1.38195
169,17000,1.35388,1.36965,1.40126
170,17100,1.37296,1.35766,1.36656
171,17200,1.32961,1.34767,1.39426
172,17300,1.39270,1.33891,1.38187
173,17400,1.34032,1.35989,1.40619
174,17500,1.38421,1.35283,1.35588
175,17600,1.37162,1.33812,1.37764
176,17700,1.36324,1.37002,1.38058
177,17800,1.37504,1.37819,1.35217
178,17900,1.36802,1.37518,1.39235
179,18000,1.35264,1.34929,1.35069
180,18100,1.36694,1.35615,1.38608
181,18200,1.36186,1.34414,1.38774
182,18300,1.36576,1.35445,1.39912
183,18400,1.33413,1.36730,1.36545
184,18500,1.34980,1.32322,1.38354
185,18600,1.35575,1.38204,1.36753
186,18700,1.37686,1.36872,1.39275
187,18800,1.38441,1.38908,1.41160
188,18900,1.35617,1.40215,1.43175
189,19000,1.37980,1.34862,1.41104
190,19100,1.33642,1.36003,1.42235
191,19200,1.37159,1.40509,1.41720
192,19300,1.38012,1.35826,1.41027
193,19400,1.39050,1.36858,1.39444
194,19500,1.37389,1.35276,1.40127
195,19600,1.35529,1.37407,1.40572
196,19700,1.36440,1.34878,1.40241
197,19800,1.38146,1.35721,1.40888
198,19900,1.43347,1.40813,1.43780
199,20000,1.35207,1.37691,1.41454
200,20100,1.41919,1.38086,1.41967
201,20200,1.39796,1.38317,1.44322
202,20300,1.37947,1.36344,1.42331
203,20400,1.41987,1.38178,1.38118
204,20500,1.40546,1.37244,1.38483
205,20600,1.35919,1.36038,1.40550
206,20700,1.41881,1.40026,1.46135
207,20800,1.39317,1.38449,1.40420
208,20900,1.39507,1.37876,1.38706
209,21000,1.42969,1.36688,1.42691
210,21100,1.39601,1.38526,1.37922
211,21200,1.40458,1.38276,1.42871
212,21300,1.39567,1.37996,1.44253
213,21400,1.45207,1.36015,1.41656
214,21500,1.40270,1.38800,1.38968
215,21600,1.41516,1.37311,1.41027
216,21700,1.38410,1.34693,1.40960
217,21800,1.41867,1.37582,1.43888
218,21900,1.41792,1.40921,1.43185
219,22000,1.40190,1.34137,1.43093
220,22100,1.39351,1.39789,1.44585
221,22200,1.39287,1.36089,1.43949
222,22300,1.44612,1.40624,1.43849
223,22400,1.41574,1.38802,1.42098
224,22500,1.43595,1.44506,1.44176
225,22600,1.40209,1.41178,1.40622
226,22700,1.40164,1.35174,1.42320
227,22800,1.39807,1.38536,1.42440
228,22900,1.37301,1.38269,1.41885
229,23000,1.42921,1.40599,1.44996
230,23100,1.41470,1.38848,1.41648
231,23200,1.44324,1.41584,1.42611
232,23300,1.43656,1.44801,1.39423
233,23400,1.41113,1.42627,1.39645
234,23500,1.39635,1.44066,1.41186
235,23600,1.39239,1.36895,1.42227
236,23700,1.38472,1.33774,1.46533
237,23800,1.36365,1.38221,1.45499
238,23900,1.41475,1.41595,1.43217
239,24000,1.47501,1.39053,1.44417
240,24100,1.43648,1.43782,1.41603
241,24200,1.41876,1.36466,1.50339
242,24300,1.38789,1.39505,1.43348
243,24400,1.42637,1.41639,1.40783
244,24500,1.37153,1.45236,1.42947
245,24600,1.38913,1.42190,1.42214
246,24700,1.39790,1.43944,1.41333
247,24800,1.38971,1.41895,1.41082
248,24900,1.40986,1.39947,1.45082
