iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss
0,100,-0.09404,0.90302,-0.07569,0.86836
1,200,-0.06784,0.85764,-0.03948,0.86896
2,300,-0.13012,0.85780,-0.08120,0.86589
3,400,-0.08211,0.85721,-0.07587,0.85695
4,500,-0.08821,0.84819,-0.06766,0.98983
5,600,-0.12548,0.80812,-0.05798,0.90150
6,700,-0.11535,0.83618,-0.09769,0.82470
7,800,-0.13529,0.83960,-0.11275,0.82384
8,900,-0.13284,0.84612,-0.15209,0.79270
9,1000,-0.18088,0.84129,-0.16651,0.82515
10,1100,-0.14684,0.90221,-0.20678,0.84982
11,1200,-0.19800,0.83718,-0.19576,0.84526
12,1300,-0.19398,0.88884,-0.21778,0.87228
13,1400,-0.20262,0.87504,-0.22393,0.80361
14,1500,-0.21585,0.88180,-0.19623,0.93964
15,1600,-0.21819,0.79313,-0.22312,0.81514
16,1700,-0.22758,0.84599,-0.22415,0.84070
17,1800,-0.19949,0.88555,-0.22251,0.86031
18,1900,-0.23215,0.88007,-0.21875,0.85502
19,2000,-0.24769,0.84614,-0.22233,0.83181
20,2100,-0.28209,0.92427,-0.21525,0.88860
21,2200,-0.24028,0.83905,-0.20069,0.87484
22,2300,-0.22940,0.85885,-0.21074,0.90960
23,2400,-0.24519,0.97347,-0.18560,0.89184
24,2500,-0.21779,0.90107,-0.16501,0.91967
25,2600,-0.20426,0.86916,-0.14134,0.89312
26,2700,-0.26483,0.88439,-0.15553,0.92026
27,2800,-0.23420,0.82716,-0.19117,0.84770
28,2900,-0.20250,0.94377,-0.14905,0.91777
29,3000,-0.27603,0.90386,-0.20718,0.88866
30,3100,-0.22864,0.92688,-0.24681,0.95487
31,3200,-0.23656,0.91710,-0.26337,0.92954
32,3300,-0.22574,0.88603,-0.18921,0.91689
33,3400,-0.18778,0.92974,-0.20227,0.83980
34,3500,-0.19926,0.99009,-0.24402,0.93800
35,3600,-0.24444,0.91137,-0.25891,0.88490
36,3700,-0.23417,0.87143,-0.21687,0.95932
37,3800,-0.21917,0.91905,-0.23006,0.91880
38,3900,-0.27995,1.01231,-0.22865,0.93274
39,4000,-0.26349,0.96164,-0.21974,0.92997
40,4100,-0.25494,0.85353,-0.22405,0.85496
41,4200,-0.21765,0.94482,-0.23971,0.90598
42,4300,-0.25010,1.03454,-0.20389,0.95218
43,4400,-0.21764,0.95690,-0.21826,0.92629
44,4500,-0.18172,0.91615,-0.23712,0.85867
45,4600,-0.17374,1.04101,-0.25316,0.91016
46,4700,-0.19287,0.93986,-0.23159,0.94698
