iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value
58,5900,-15.25607,1.56679,0.24123,-14.03635,1.52409,0.23622,-14.07862,1.50867,0.24081
59,6000,-15.14118,1.54728,0.23539,-14.23554,1.46974,0.24039,-14.12847,1.55132,0.23991
60,6100,-15.33092,1.66542,0.23872,-14.28584,1.61054,0.23739,-14.36004,1.60317,0.24249
61,6200,-15.39016,1.57486,0.23755,-14.36653,1.66313,0.23557,-14.48335,1.71138,0.24045
62,6300,-15.53391,1.59661,0.23952,-14.51568,1.57088,0.23613,-14.38091,1.60778,0.23760
63,6400,-15.60932,1.55361,0.23610,-14.51037,1.58993,0.23435,-14.68012,1.60334,0.23997
64,6500,-15.66157,1.53090,0.23646,-14.64785,1.51072,0.23458,-14.65205,1.56495,0.23850
65,6600,-15.63299,1.97296,0.23739,-14.59098,1.78887,0.23347,-14.76628,1.55824,0.23713
66,6700,-15.73563,1.90623,0.23559,-14.76209,1.64249,0.23056,-14.80095,1.58032,0.23939
67,6800,-15.74016,1.72874,0.23349,-14.75288,1.53690,0.23427,-14.98811,1.79238,0.24045
68,6900,-15.75907,1.60438,0.23546,-14.86740,1.73525,0.23337,-15.02863,1.79003,0.23849
69,7000,-15.90038,1.56844,0.23227,-14.93004,1.68496,0.23082,-15.17259,1.77838,0.23827
70,7100,-15.93234,1.54905,0.23079,-14.98957,1.63567,0.22954,-15.21227,1.66693,0.23548
71,7200,-15.98502,1.62500,0.23345,-15.10946,1.87283,0.23069,-15.28959,1.68049,0.23587
72,7300,-15.99933,1.52798,0.23140,-15.21655,1.74387,0.22986,-15.34683,1.69417,0.23485
73,7400,-16.07224,1.55409,0.22992,-15.11791,1.66702,0.23129,-15.42239,1.70557,0.23588
74,7500,-16.06373,1.59407,0.23156,-15.32471,1.67625,0.23008,-15.48880,1.77512,0.23701
75,7600,-16.13991,1.55518,0.23100,-15.24147,1.66404,0.22699,-15.52632,1.78839,0.23426
76,7700,-16.12647,1.64045,0.23125,-15.33693,1.68405,0.22758,-15.63790,1.80398,0.23486
77,7800,-16.23558,1.57547,0.22841,-15.35190,1.68915,0.22908,-15.69432,1.68742,0.23435
78,7900,-16.27835,1.60475,0.22706,-15.42668,1.73813,0.22960,-15.64048,1.71871,0.23231
79,8000,-16.22021,1.61986,0.22748,-15.55527,1.77378,0.23000,-15.69454,1.84131,0.23381
80,8100,-16.23364,1.66230,0.22963,-15.45517,1.75162,0.22786,-15.69583,1.85171,0.23423
81,8200,-16.26994,1.58419,0.22563,-15.56935,1.84814,0.22834,-15.79457,1.74480,0.23135
82,8300,-16.34555,1.69919,0.22767,-15.50032,1.80258,0.22489,-15.87039,1.75392,0.23135
83,8400,-16.42023,1.94390,0.22816,-15.60713,1.65550,0.22577,-15.82132,1.96686,0.23084
84,8500,-16.50252,1.91498,0.22639,-15.60412,1.77338,0.22716,-15.83389,1.74779,0.23219
85,8600,-16.42843,1.61849,0.22663,-15.65020,1.68223,0.22614,-15.85258,1.76334,0.23165
86,8700,-16.50159,2.00681,0.22600,-15.72300,1.72806,0.22859,-15.92323,1.78833,0.23366
87,8800,-16.44512,1.90218,0.22428,-15.61479,1.75240,0.22413,-16.01960,1.84284,0.23206
88,8900,-16.54706,1.66046,0.22488,-15.55061,1.76440,0.22587,-15.93551,1.68503,0.22701
89,9000,-16.58829,1.55695,0.22582,-15.70382,1.74944,0.22637,-15.95116,1.87065,0.22645
90,9100,-16.52952,1.56728,0.22324,-15.74713,1.80514,0.22572,-16.03049,1.91826,0.22931
91,9200,-16.48193,1.74631,0.22359,-15.71570,1.63649,0.22491,-15.99723,1.83468,0.22701
92,9300,-16.49107,1.56800,0.22387,-15.62231,1.65828,0.22707,-15.94659,1.84337,0.22631
93,9400,-16.50023,1.55526,0.22152,-15.79468,1.66521,0.22602,-15.98907,1.75259,0.22621
94,9500,-16.54662,1.64146,0.22380,-15.61887,1.83529,0.22275,-16.00952,1.84909,0.22535
95,9600,-16.51426,1.67570,0.22359,-15.72147,1.75822,0.22488,-15.93821,1.82703,0.22572
96,9700,-16.66310,1.63241,0.22341,-15.63402,1.68130,0.22536,-16.01276,1.79993,0.22820
97,9800,-16.52523,1.59249,0.22221,-15.74734,1.73344,0.22554,-15.99941,1.76941,0.22586
98,9900,-16.55100,1.60254,0.22220,-15.69100,1.65621,0.22468,-16.00047,1.79744,0.22415
99,10000,-16.58353,1.63237,0.22134,-15.71735,1.71222,0.22290,-15.87721,1.77094,0.22300
100,10100,-16.59616,1.66351,0.22213,-15.71377,1.69013,0.22365,-15.95783,1.84473,0.22393
101,10200,-16.58640,1.98618,0.22242,-15.76143,1.76970,0.22478,-15.89315,1.69933,0.22255
102,10300,-16.52057,1.94299,0.21900,-15.82272,1.71806,0.22379,-15.93656,1.70051,0.22211
103,10400,-16.64550,1.97706,0.21930,-15.67317,1.64007,0.22239,-15.88652,1.67919,0.22071
104,10500,-16.69640,2.02847,0.22005,-15.73683,1.70932,0.22439,-15.92729,1.73185,0.22137
105,10600,-16.58060,1.71905,0.21987,-15.66877,1.69362,0.22495,-15.90201,1.72138,0.22154
106,10700,-16.58550,1.93143,0.21874,-15.78687,1.75136,0.22212,-15.87811,1.75223,0.22234
107,10800,-16.61257,1.93895,0.21897,-15.65638,1.88109,0.22297,-15.80898,1.82448,0.21904
108,10900,-16.63303,1.84344,0.21934,-15.71153,1.69725,0.22164,-15.79449,2.04916,0.21943
109,11000,-16.64098,1.76459,0.21891,-15.75945,1.74246,0.22270,-15.71495,1.73596,0.21631
110,11100,-16.56890,1.59439,0.21758,-15.63811,2.02014,0.22360,-15.65232,1.83045,0.21889
111,11200,-16.55087,1.85519,0.22019,-15.69077,1.71658,0.22156,-15.81819,1.74739,0.21677
112,11300,-16.71049,1.85984,0.21819,-15.56264,1.66739,0.22040,-15.75489,2.01005,0.21648
113,11400,-16.53948,1.77803,0.21643,-15.61604,1.77626,0.21980,-15.65232,1.61220,0.21473
114,11500,-16.65398,1.57186,0.21684,-15.61720,1.60239,0.21997,-15.58505,1.74850,0.21365
115,11600,-16.72110,1.69760,0.21734,-15.63039,1.70593,0.21875,-15.52910,1.78679,0.21307
116,11700,-16.66134,1.65693,0.21545,-15.55886,1.64068,0.21830,-15.55920,1.77653,0.21267
117,11800,-16.55978,1.64160,0.21580,-15.65988,1.66995,0.21674,-15.60209,1.84152,0.21384
118,11900,-16.77429,2.02414,0.21454,-15.58255,1.71700,0.22048,-15.55488,1.69819,0.21261
119,12000,-16.61301,1.95447,0.21580,-15.57157,1.72979,0.21753,-15.51744,1.82436,0.21246
120,12100,-16.65283,1.86389,0.21367,-15.53628,1.64633,0.21795,-15.49771,1.79630,0.21298
121,12200,-16.74453,2.28745,0.21423,-15.42915,1.68903,0.21465,-15.45083,1.71250,0.21248
122,12300,-16.67305,2.04413,0.21535,-15.57556,1.74744,0.21817,-15.38958,1.79060,0.21059
123,12400,-16.66394,1.80947,0.21303,-15.49105,1.71605,0.21563,-15.39973,1.70512,0.21102
124,12500,-16.70221,1.64408,0.21343,-15.52062,1.68692,0.21502,-15.35620,1.67206,0.21255
125,12600,-16.63655,1.89150,0.21301,-15.52861,1.73003,0.21540,-15.31173,1.68128,0.20923
126,12700,-16.63533,1.80628,0.21204,-15.45604,1.69051,0.21374,-15.17722,1.66013,0.20702
127,12800,-16.67250,1.74996,0.21289,-15.39960,1.70856,0.21447,-15.24532,1.64874,0.20944
128,12900,-16.66644,1.72072,0.21278,-15.36813,1.73294,0.21235,-15.21538,1.63111,0.20931
129,13000,-16.61796,1.66607,0.21331,-15.28741,1.67869,0.21043,-15.25496,1.70559,0.20581
130,13100,-16.50281,1.55907,0.21163,-15.27013,1.72974,0.21090,-15.18441,1.76474,0.20618
131,13200,-16.53798,1.66854,0.21129,-15.25844,1.75387,0.21272,-15.17060,1.72700,0.20513
132,13300,-16.58349,1.68278,0.20972,-15.21124,1.68193,0.20907,-14.94462,1.91885,0.20566
133,13400,-16.64751,2.18839,0.21041,-15.28466,1.67377,0.21175,-14.90903,1.65732,0.20529
134,13500,-16.47522,1.71205,0.20841,-15.24413,1.69616,0.20982,-14.93164,1.56904,0.20551
135,13600,-16.47060,1.66897,0.20755,-15.16151,1.66943,0.20888,-14.90319,1.74098,0.20471
136,13700,-16.55764,2.01687,0.20764,-15.14348,1.57989,0.20853,-14.87763,1.65083,0.20407
137,13800,-16.39343,2.02021,0.20623,-15.02533,1.66637,0.20870,-14.92906,1.63172,0.20243
138,13900,-16.46570,1.74009,0.20730,-15.00242,1.69359,0.20773,-14.90503,1.71497,0.20412
139,14000,-16.39404,1.69693,0.20595,-15.00492,1.59842,0.20782,-14.80274,1.64708,0.20247
140,14100,-16.46407,1.72820,0.20828,-15.03392,1.62915,0.20644,-14.85757,1.74300,0.20528
141,14200,-16.40410,1.73944,0.20684,-14.90252,1.64452,0.20597,-14.70824,1.73819,0.20138
142,14300,-16.40598,1.68165,0.20395,-14.92131,1.62742,0.20705,-14.68443,1.67673,0.20091
143,14400,-16.23038,1.70552,0.20460,-14.89394,1.60174,0.20417,-14.59101,1.59385,0.20092
144,14500,-16.35842,1.72395,0.20416,-14.79333,1.68813,0.20730,-14.61925,1.59659,0.20183
145,14600,-16.22126,1.73726,0.20480,-14.86998,1.67188,0.20525,-14.54717,1.67347,0.19986
146,14700,-16.29429,1.80231,0.20407,-14.80524,1.72941,0.20590,-14.51282,1.70519,0.19864
147,14800,-16.14379,1.62259,0.20541,-14.74957,1.68084,0.20568,-14.53535,1.65721,0.20020
148,14900,-16.16638,1.52061,0.20479,-14.63664,1.66322,0.20081,-14.50961,1.63748,0.19815
149,15000,-16.20881,1.45249,0.20186,-14.65689,1.67120,0.20282,-14.40913,1.61915,0.19828
