iteration,episode,1_iql_loss,2_iql_loss
0,100,0.96578,0.97413
1,200,0.99784,0.86899
2,300,0.98263,0.82657
3,400,0.96878,0.80717
4,500,1.01065,0.78267
5,600,1.01533,0.79679
6,700,1.02522,0.79355
7,800,0.99494,0.78858
8,900,1.00021,0.80128
9,1000,1.00766,0.80203
10,1100,0.99710,0.80170
11,1200,1.01434,0.81885
12,1300,1.02495,0.82868
13,1400,0.96713,0.82406
14,1500,0.99449,0.83851
15,1600,1.01629,0.86445
16,1700,0.99451,0.85783
17,1800,0.98823,0.86010
18,1900,0.96807,0.90349
19,2000,1.00727,0.90369
20,2100,1.00723,0.95045
21,2200,1.00293,0.91917
22,2300,1.01296,0.94795
23,2400,0.98423,0.95388
24,2500,1.02083,0.97832
25,2600,0.99668,0.97325
26,2700,0.99335,0.98416
27,2800,0.98499,1.02056
28,2900,1.00881,1.01113
29,3000,0.98790,1.01979
30,3100,0.97596,1.02960
31,3200,1.00949,1.07600
32,3300,0.98729,1.08159
33,3400,1.02038,1.09191
34,3500,0.99209,1.06936
35,3600,1.00317,1.11897
36,3700,1.00494,1.11916
37,3800,0.98421,1.09726
38,3900,0.99202,1.11825
39,4000,1.00180,1.13054
40,4100,1.00569,1.16290
41,4200,0.99322,1.14822
42,4300,0.99517,1.15311
43,4400,1.02636,1.15409
44,4500,1.01294,1.15211
45,4600,1.01028,1.16907
46,4700,1.00668,1.19759
47,4800,1.01330,1.19961
48,4900,1.00210,1.18796
49,5000,1.00240,1.19836
50,5100,0.99798,1.20505
51,5200,1.00731,1.26119
52,5300,1.00627,1.22653
53,5400,0.97351,1.28833
54,5500,1.00285,1.24212
55,5600,0.99245,1.23302
56,5700,1.00507,1.25404
57,5800,0.96379,1.21856
58,5900,0.99494,1.25986
59,6000,1.00006,1.28803
60,6100,1.00773,1.27068
61,6200,1.01558,1.33061
62,6300,0.99085,1.27422
63,6400,0.99517,1.32759
64,6500,1.00043,1.30288
65,6600,1.00538,1.36129
66,6700,1.00840,1.35236
67,6800,0.98785,1.33174
68,6900,0.98720,1.40978
69,7000,0.98302,1.39258
70,7100,0.97130,1.36289
71,7200,0.97546,1.35446
72,7300,0.99373,1.40190
73,7400,1.03900,1.39459
74,7500,1.00327,1.39295
75,7600,1.00417,1.33151
76,7700,0.99997,1.33495
77,7800,1.02495,1.35423
78,7900,0.96848,1.26888
79,8000,0.96199,1.42315
80,8100,1.01034,1.42738
81,8200,0.97286,1.34442
82,8300,0.97112,1.39634
83,8400,0.99868,1.37811
84,8500,1.01243,1.39458
85,8600,0.98114,1.37505
86,8700,1.01206,1.40405
87,8800,1.01644,1.37296
88,8900,1.01355,1.42809
89,9000,1.02607,1.41219
90,9100,1.00299,1.43998
91,9200,1.03913,1.39977
92,9300,0.98347,1.41275
93,9400,0.97339,1.43016
94,9500,0.99803,1.39436
95,9600,0.98219,1.44582
96,9700,1.02921,1.46980
97,9800,1.01616,1.51783
98,9900,0.98961,1.33139
99,10000,0.99207,1.46565
100,10100,0.99570,1.48727
101,10200,1.02549,1.47642
102,10300,0.94517,1.41772
103,10400,0.98748,1.40409
104,10500,1.00605,1.40160
105,10600,0.98297,1.36770
106,10700,0.99990,1.44209
107,10800,1.03955,1.45235
108,10900,0.98460,1.38122
109,11000,0.98604,1.50019
110,11100,1.00758,1.42312
111,11200,0.99638,1.41841
112,11300,1.01393,1.46686
113,11400,0.99886,1.37397
114,11500,1.02691,1.37517
115,11600,1.00446,1.48314
116,11700,1.01502,1.47820
117,11800,0.97600,1.49419
118,11900,1.05697,1.47242
119,12000,0.98296,1.44307
120,12100,0.97995,1.42814
121,12200,0.98766,1.46688
122,12300,0.97263,1.42196
123,12400,1.00712,1.47374
124,12500,1.00721,1.40048
125,12600,0.99517,1.40468
126,12700,1.00740,1.43196
127,12800,1.00615,1.43953
128,12900,1.02717,1.44671
129,13000,0.97456,1.48310
130,13100,0.97106,1.43457
