iteration,episode,1_iql_loss,2_iql_loss,3_iql_loss
158,15900,0.61817,0.83744,0.71329
159,16000,0.59839,0.83965,0.72969
160,16100,0.61776,0.85319,0.72591
161,16200,0.60794,0.85889,0.74511
162,16300,0.59378,0.82587,0.70665
163,16400,0.62000,0.82453,0.71692
164,16500,0.61338,0.83151,0.70848
165,16600,0.59824,0.85885,0.72444
166,16700,0.67654,0.83494,0.70780
167,16800,0.61540,0.84815,0.72518
168,16900,0.60302,0.84830,0.73424
169,17000,0.60347,0.86147,0.78127
170,17100,0.59815,0.85131,0.71804
171,17200,0.63616,0.84461,0.70833
172,17300,0.62722,0.82679,0.72027
173,17400,0.63656,0.85893,0.71824
174,17500,0.61200,0.81922,0.69891
175,17600,0.61191,0.86250,0.71393
176,17700,0.61868,0.85244,0.72357
177,17800,0.63276,0.85013,0.72228
178,17900,0.64354,0.81925,0.70439
179,18000,0.67896,0.84995,0.71022
180,18100,0.64492,0.85591,0.73776
181,18200,0.61907,0.82961,0.69945
182,18300,0.63698,0.85927,0.69475
183,18400,0.63214,0.85003,0.71042
184,18500,0.63415,0.82823,0.70060
185,18600,0.62156,0.83296,0.71170
186,18700,0.64574,0.83463,0.72054
187,18800,0.63185,0.86920,0.71312
188,18900,0.63821,0.84076,0.69226
189,19000,0.65623,0.85246,0.70375
190,19100,0.65334,0.87090,0.70269
191,19200,0.63749,0.84111,0.71321
192,19300,0.62177,0.87281,0.71342
193,19400,0.64221,0.83279,0.74991
194,19500,0.65559,0.85844,0.69632
195,19600,0.63270,0.83372,0.68174
196,19700,0.68013,0.84076,0.70654
197,19800,0.65078,0.84065,0.69871
198,19900,0.65356,0.82716,0.68201
199,20000,0.64843,0.85069,0.69193
200,20100,0.62945,0.83330,0.67458
201,20200,0.64686,0.87007,0.69952
202,20300,0.67533,0.84722,0.68177
203,20400,0.64777,0.85003,0.70076
204,20500,0.68414,0.85597,0.71033
205,20600,0.66803,0.83644,0.69729
206,20700,0.66187,0.84122,0.67772
207,20800,0.66533,0.84608,0.69791
208,20900,0.63652,0.84480,0.68268
209,21000,0.66899,0.83944,0.70416
210,21100,0.67213,0.83349,0.69122
211,21200,0.68767,0.84211,0.68844
212,21300,0.67654,0.88245,0.71153
213,21400,0.65989,0.86819,0.69837
214,21500,0.65623,0.85613,0.71550
215,21600,0.67273,0.86019,0.68401
216,21700,0.66828,0.84322,0.70552
217,21800,0.65935,0.83829,0.70401
218,21900,0.68632,0.86670,0.68833
219,22000,0.67629,0.87122,0.71807
220,22100,0.67625,0.84521,0.67318
221,22200,0.66864,0.87392,0.68859
222,22300,0.65719,0.85282,0.72196
223,22400,0.68333,0.86824,0.67413
224,22500,0.70246,0.86461,0.67902
225,22600,0.65315,0.89351,0.68211
226,22700,0.71006,0.85352,0.69162
227,22800,0.69755,0.83440,0.70166
228,22900,0.70090,0.85826,0.67697
229,23000,0.71097,0.85400,0.69521
230,23100,0.68739,0.85622,0.68105
231,23200,0.68218,0.85321,0.69588
232,23300,0.71414,0.85352,0.68457
233,23400,0.69652,0.85560,0.69084
234,23500,0.70214,0.90333,0.72885
235,23600,0.71665,0.86520,0.69042
236,23700,0.70428,0.85441,0.67094
237,23800,0.72886,0.83599,0.71229
238,23900,0.72140,0.87179,0.70645
239,24000,0.70631,0.84998,0.68825
240,24100,0.71431,0.82818,0.69129
241,24200,0.67671,0.87434,0.69217
242,24300,0.70733,0.88540,0.68880
243,24400,0.72588,0.86134,0.67017
244,24500,0.70045,0.86063,0.69288
245,24600,0.71030,0.84180,0.67261
246,24700,0.72214,0.88516,0.69168
247,24800,0.69444,0.84528,0.69617
248,24900,0.72532,0.88735,0.66961
