iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,3_maddpg_actor_loss,3_maddpg_critic_loss
82,8300,-0.77997,0.89574,-0.78447,0.88993,-0.80740,0.95084
83,8400,-0.78806,0.90464,-0.76613,0.86238,-0.82862,0.90338
84,8500,-0.79371,0.90255,-0.77625,0.89463,-0.78523,0.89859
85,8600,-0.79058,0.88187,-0.80125,0.92270,-0.81229,0.90762
86,8700,-0.79476,0.90659,-0.77704,0.90399,-0.82211,0.85969
87,8800,-0.77223,0.92349,-0.77366,0.86883,-0.81091,0.85861
88,8900,-0.77140,0.89447,-0.78303,0.94050,-0.81319,0.89414
89,9000,-0.74410,0.94063,-0.77443,0.88753,-0.83262,0.87104
90,9100,-0.75401,0.91149,-0.77594,0.94768,-0.80847,0.91213
91,9200,-0.73544,0.93453,-0.81249,0.89649,-0.81236,0.89259
92,9300,-0.77654,0.92071,-0.79388,0.89046,-0.81104,0.92751
93,9400,-0.79121,0.87959,-0.76762,0.93950,-0.81173,0.88102
94,9500,-0.77638,0.88499,-0.78714,0.89462,-0.82523,0.89610
95,9600,-0.77328,0.99300,-0.77657,0.91563,-0.84836,0.88334
96,9700,-0.77898,0.86037,-0.78227,0.88127,-0.84214,0.88926
97,9800,-0.76460,0.92177,-0.79875,0.89457,-0.84423,0.88304
98,9900,-0.79646,0.84892,-0.78892,0.91417,-0.82513,0.89869
99,10000,-0.77765,0.89720,-0.76889,0.89658,-0.83007,0.88917
100,10100,-0.77606,0.87170,-0.79476,0.86876,-0.82932,0.88948
101,10200,-0.78062,0.88072,-0.78315,0.87624,-0.83421,0.86592
102,10300,-0.76070,0.87285,-0.77662,0.89726,-0.82397,0.90863
103,10400,-0.75620,0.88018,-0.77646,0.91101,-0.83549,0.90639
104,10500,-0.76269,0.89586,-0.77116,0.86497,-0.82847,0.88698
105,10600,-0.73307,0.97067,-0.77813,0.90416,-0.80774,0.92342
106,10700,-0.75975,0.90806,-0.76875,0.93128,-0.82843,0.90516
107,10800,-0.77308,0.88580,-0.76107,0.89823,-0.83269,0.89643
108,10900,-0.75666,0.90604,-0.76886,0.90221,-0.85243,0.85179
109,11000,-0.77621,0.90147,-0.74562,0.89215,-0.83988,0.84674
110,11100,-0.76318,0.89206,-0.76998,0.88319,-0.81555,0.94487
111,11200,-0.76707,0.93428,-0.77391,0.86961,-0.83639,0.90614
112,11300,-0.77781,0.83955,-0.76575,0.87478,-0.82833,0.84183
113,11400,-0.76931,0.88749,-0.78047,0.88245,-0.81073,0.92849
114,11500,-0.78586,0.88990,-0.77934,0.89189,-0.82015,0.90227
115,11600,-0.75188,0.91771,-0.74447,0.93584,-0.83802,0.83350
116,11700,-0.74730,0.92578,-0.74284,0.89744,-0.83515,0.89476
117,11800,-0.76436,0.92011,-0.73495,0.87572,-0.84324,0.90001
118,11900,-0.77163,0.90149,-0.74700,0.89223,-0.83027,0.85628
119,12000,-0.78009,0.87873,-0.76024,0.91505,-0.83973,0.87305
120,12100,-0.76171,0.88477,-0.77288,0.86789,-0.83581,0.84652
121,12200,-0.76471,0.88443,-0.76141,0.85354,-0.82207,0.89734
122,12300,-0.76220,0.89505,-0.76344,0.88125,-0.83292,0.87376
123,12400,-0.78861,0.85953,-0.76851,0.90248,-0.82566,0.92184
124,12500,-0.76872,0.87307,-0.76446,0.88778,-0.82894,0.85960
125,12600,-0.77748,0.92903,-0.74109,0.91314,-0.83895,0.87587
126,12700,-0.77316,0.88172,-0.75088,0.94262,-0.84602,0.83628
127,12800,-0.78698,0.90419,-0.75552,0.91767,-0.83605,0.88588
128,12900,-0.78078,0.88816,-0.76697,0.94850,-0.82364,0.87983
129,13000,-0.78335,0.87164,-0.74168,0.92363,-0.83672,0.92051
130,13100,-0.77698,0.93089,-0.73176,0.90999,-0.82811,0.89100
131,13200,-0.77253,0.87122,-0.76366,0.89517,-0.82917,0.90092
132,13300,-0.78003,0.87598,-0.74605,0.88033,-0.82163,0.91716
133,13400,-0.79067,0.88818,-0.75293,0.89635,-0.84967,0.83982
134,13500,-0.80525,0.82994,-0.78365,0.87487,-0.81928,0.92349
135,13600,-0.77272,0.92795,-0.74849,0.87738,-0.83493,0.90421
136,13700,-0.82218,0.85480,-0.75373,0.90970,-0.83602,0.88322
137,13800,-0.78364,0.91724,-0.75840,0.86064,-0.85007,0.86682
138,13900,-0.82092,0.84135,-0.74232,0.92313,-0.83751,0.86718
139,14000,-0.80107,0.87246,-0.76415,0.88968,-0.83524,0.86684
140,14100,-0.80345,0.86678,-0.74875,0.87075,-0.84637,0.84953
141,14200,-0.79315,0.87758,-0.76304,0.89139,-0.84886,0.87871
142,14300,-0.79403,0.87660,-0.76477,0.90167,-0.84248,0.90600
143,14400,-0.79061,0.89363,-0.78186,0.85951,-0.84495,0.86304
144,14500,-0.78205,0.86849,-0.73880,0.87711,-0.82581,0.91528
145,14600,-0.78549,0.85276,-0.74575,0.85310,-0.83202,0.90543
146,14700,-0.75848,0.89903,-0.74307,0.83358,-0.81063,0.91966
147,14800,-0.76846,0.89665,-0.73719,0.90492,-0.80996,0.92785
148,14900,-0.76506,0.83114,-0.74798,0.84970,-0.83672,0.80050
149,15000,-0.77387,0.90901,-0.73250,0.85931,-0.82246,0.87843
150,15100,-0.77967,0.88897,-0.71816,0.88747,-0.78981,0.91511
151,15200,-0.76865,0.90936,-0.74416,0.87410,-0.79171,0.85511
152,15300,-0.74233,0.92395,-0.72532,0.93260,-0.82036,0.86882
153,15400,-0.78329,0.85091,-0.72407,0.90649,-0.79652,0.86859
154,15500,-0.76975,0.91744,-0.74008,0.88771,-0.78329,0.90740
155,15600,-0.76411,0.87289,-0.71437,0.88908,-0.80505,0.84056
156,15700,-0.72984,0.92142,-0.72894,0.88206,-0.80937,0.88921
157,15800,-0.77378,0.87453,-0.76341,0.84164,-0.78839,0.88934
158,15900,-0.73335,0.91391,-0.73985,0.90345,-0.80441,0.88494
159,16000,-0.74473,0.90318,-0.71965,0.90584,-0.79669,0.83735
160,16100,-0.73097,0.90895,-0.72646,0.86676,-0.81136,0.85090
161,16200,-0.75162,0.86549,-0.71168,0.89745,-0.80853,0.92207
162,16300,-0.75276,0.92413,-0.74161,0.87376,-0.79380,0.90328
163,16400,-0.75872,0.86683,-0.69469,0.94124,-0.79426,0.88979
164,16500,-0.76654,0.86035,-0.71170,0.89238,-0.78532,0.90467
165,16600,-0.77867,0.86134,-0.72216,0.86956,-0.78623,0.86629
166,16700,-0.73924,0.89305,-0.71564,0.88508,-0.80698,0.86295
167,16800,-0.75477,0.86890,-0.71865,0.85487,-0.77153,0.86927
168,16900,-0.72689,0.93055,-0.70119,0.87688,-0.74874,0.89728
169,17000,-0.73767,0.91121,-0.71305,0.88674,-0.77208,0.91606
170,17100,-0.73299,0.86400,-0.69610,0.94331,-0.77171,0.89632
171,17200,-0.72816,0.88544,-0.70633,0.89086,-0.74572,0.93910
172,17300,-0.71410,0.86436,-0.71476,0.85865,-0.74809,0.91573
173,17400,-0.74170,0.87633,-0.69108,0.89813,-0.75096,0.87952
174,17500,-0.73266,0.85691,-0.72026,0.83640,-0.74883,0.90949
175,17600,-0.72312,0.92760,-0.73316,0.89248,-0.76165,0.86780
176,17700,-0.71917,0.86764,-0.69156,0.89786,-0.74003,0.92255
177,17800,-0.72358,0.87876,-0.67687,0.92296,-0.73379,0.89043
178,17900,-0.70821,0.89390,-0.69592,0.87146,-0.75266,0.87888
179,18000,-0.69628,0.89952,-0.69763,0.85782,-0.72553,0.89295
180,18100,-0.69143,0.88330,-0.70055,0.90187,-0.72155,0.89064
181,18200,-0.69218,0.91472,-0.70082,0.86907,-0.71985,0.90765
182,18300,-0.71171,0.90005,-0.70017,0.94581,-0.74378,0.82545
183,18400,-0.71764,0.87915,-0.68365,0.91701,-0.71875,0.92195
184,18500,-0.68379,0.91121,-0.69372,0.92177,-0.73501,0.87741
185,18600,-0.70314,0.89321,-0.66764,0.92167,-0.70778,0.92336
186,18700,-0.70006,0.89008,-0.68668,0.90212,-0.73109,0.87357
187,18800,-0.68553,0.89973,-0.67987,0.91333,-0.72389,0.84818
188,18900,-0.69593,0.88113,-0.66209,0.90379,-0.72104,0.90023
189,19000,-0.70070,0.90582,-0.68351,0.89258,-0.73269,0.91499
190,19100,-0.66036,0.91448,-0.68388,0.91108,-0.72025,0.89945
191,19200,-0.68138,0.87390,-0.66942,0.87398,-0.71575,0.89907
192,19300,-0.66946,0.91093,-0.68514,0.88574,-0.71880,0.90401
193,19400,-0.66840,0.91782,-0.66330,0.90350,-0.72303,0.89363
194,19500,-0.65861,0.90728,-0.65904,0.89727,-0.72063,0.87153
195,19600,-0.67037,0.90781,-0.64267,0.88721,-0.72146,0.86339
196,19700,-0.67807,0.93830,-0.66416,0.92302,-0.72846,0.87716
197,19800,-0.65843,0.89185,-0.67983,0.86594,-0.72008,0.86251
198,19900,-0.64715,0.95983,-0.65368,0.95280,-0.70669,0.90606
199,20000,-0.65561,0.88067,-0.63771,0.89722,-0.70728,0.88276
200,20100,-0.67988,0.88100,-0.67136,0.89369,-0.70492,0.89954
201,20200,-0.66486,0.84261,-0.64392,0.94199,-0.69281,0.94264
202,20300,-0.64769,0.88582,-0.64790,0.90754,-0.73150,0.87019
203,20400,-0.64364,0.95300,-0.66110,0.92827,-0.69083,0.87844
204,20500,-0.64042,0.87974,-0.61492,0.95576,-0.67830,0.94213
205,20600,-0.65006,0.85944,-0.66466,0.86611,-0.69796,0.91234
206,20700,-0.65258,0.82462,-0.65394,0.90835,-0.68359,0.91058
207,20800,-0.63630,0.89989,-0.63921,0.91932,-0.68740,0.89004
208,20900,-0.63943,0.89242,-0.65547,0.90634,-0.67267,0.87861
209,21000,-0.63347,0.90043,-0.63901,0.92410,-0.68307,0.91144
210,21100,-0.63954,0.91070,-0.64800,0.85187,-0.67069,0.87639
211,21200,-0.63766,0.89977,-0.63645,0.90897,-0.67285,0.87327
212,21300,-0.63868,0.91691,-0.62875,0.88771,-0.67025,0.85424
213,21400,-0.61424,0.93040,-0.61846,0.92177,-0.66003,0.86549
214,21500,-0.60695,0.87736,-0.61461,0.90215,-0.66306,0.88959
215,21600,-0.60821,0.87338,-0.61544,0.90452,-0.65195,0.92133
216,21700,-0.61073,0.91918,-0.61251,0.89723,-0.63515,0.95590
217,21800,-0.60751,0.88094,-0.62296,0.87714,-0.65108,0.89369
218,21900,-0.62971,0.86025,-0.62250,0.87767,-0.62523,0.90857
219,22000,-0.59237,0.93494,-0.64034,0.87284,-0.64512,0.89737
220,22100,-0.59081,0.89742,-0.62586,0.86662,-0.65506,0.89170
221,22200,-0.58384,0.94981,-0.62978,0.84996,-0.63653,0.88821
222,22300,-0.60548,0.86287,-0.61727,0.87887,-0.64159,0.91332
223,22400,-0.59398,0.89872,-0.62293,0.93242,-0.63245,0.86879
224,22500,-0.58580,0.91615,-0.59953,0.87274,-0.62986,0.87902
225,22600,-0.60159,0.86237,-0.63084,0.87311,-0.60785,0.91114
226,22700,-0.57022,0.89525,-0.62433,0.86508,-0.62012,0.86134
227,22800,-0.58596,0.89761,-0.64260,0.85773,-0.60983,0.90826
228,22900,-0.57311,0.86364,-0.60790,0.92379,-0.61745,0.87972
229,23000,-0.58367,0.87836,-0.61936,0.91999,-0.59284,0.92393
230,23100,-0.55533,0.88268,-0.63679,0.88813,-0.63070,0.81798
231,23200,-0.58699,0.87262,-0.64004,0.85929,-0.61422,0.90138
232,23300,-0.55408,0.88958,-0.61426,0.89010,-0.60409,0.97353
233,23400,-0.56628,0.88596,-0.61232,0.93569,-0.63613,0.85538
234,23500,-0.56146,0.88409,-0.60564,0.91398,-0.60768,0.94957
235,23600,-0.52017,0.91904,-0.61468,0.91138,-0.59425,0.90723
236,23700,-0.55432,0.86296,-0.60835,0.85236,-0.62026,0.83399
237,23800,-0.51267,0.93892,-0.60537,0.88029,-0.59256,0.90515
238,23900,-0.55138,0.90093,-0.55523,0.94874,-0.60177,0.93475
239,24000,-0.51431,0.94241,-0.57456,0.93709,-0.60114,0.91015
240,24100,-0.52355,0.89886,-0.58350,0.88263,-0.59634,0.91733
241,24200,-0.54185,0.86433,-0.61450,0.86286,-0.59769,0.91596
242,24300,-0.53130,0.90282,-0.58207,0.90301,-0.58703,0.92017
243,24400,-0.50493,0.95071,-0.58580,0.89657,-0.57069,0.87756
244,24500,-0.47645,0.91463,-0.58212,0.89652,-0.57456,0.95104
245,24600,-0.51123,0.92685,-0.56442,0.89159,-0.57543,0.90581
246,24700,-0.53446,0.90066,-0.56736,0.88526,-0.57526,0.89112
247,24800,-0.50706,0.91927,-0.55750,0.91725,-0.61535,0.86570
248,24900,-0.49789,0.88234,-0.58156,0.87403,-0.59156,0.88950
