iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_icm_forward_loss,4_icm_inverse_loss
0,100,-3.37067,1.90743,0.59342,1.61585,-3.45541,1.95455,0.60720,1.61301,-3.47475,2.04099,0.61772,1.61213,-2.71153,2.06503,0.47654,1.61148
1,200,-4.05451,1.18562,0.61707,1.61651,-4.07577,1.12638,0.62801,1.60935,-4.05354,0.98191,0.63155,1.60498,-3.08180,0.99570,0.48845,1.62022
2,300,-4.48807,0.99985,0.63373,1.60923,-4.46134,1.06700,0.62197,1.60908,-4.52071,1.21606,0.63813,1.60555,-3.40456,0.88314,0.47750,1.61759
3,400,-4.94395,0.96428,0.63429,1.60821,-4.86392,1.04409,0.61311,1.60783,-5.07352,0.92139,0.64898,1.60660,-3.73368,0.90376,0.48017,1.61810
4,500,-5.51182,1.28473,0.63769,1.60829,-5.39038,0.72632,0.61300,1.60743,-5.58036,1.05744,0.64868,1.60743,-4.08283,1.03368,0.47629,1.61653
5,600,-5.96687,0.92116,0.63113,1.60814,-5.88319,1.02912,0.60558,1.60670,-6.14910,1.12925,0.64407,1.60822,-4.45786,0.92846,0.47576,1.61687
6,700,-6.45721,1.08439,0.62789,1.60781,-6.35459,1.13412,0.59946,1.60607,-6.60111,1.37245,0.64897,1.60845,-4.87269,0.98711,0.47919,1.61644
7,800,-6.99198,1.05537,0.62893,1.60854,-6.87248,1.10122,0.60116,1.60610,-7.16039,1.37802,0.65301,1.60745,-5.27525,0.92831,0.48351,1.61402
8,900,-7.44276,1.19753,0.62255,1.60851,-7.33656,1.32850,0.60110,1.60442,-7.58901,1.17610,0.64385,1.60662,-5.64719,1.04945,0.48649,1.61331
9,1000,-7.93605,1.24841,0.62031,1.60867,-7.96308,1.16124,0.59964,1.60320,-8.21848,1.54519,0.63918,1.60513,-6.00863,1.06290,0.48678,1.61251
10,1100,-8.50993,1.23523,0.62100,1.60751,-8.34742,1.13306,0.60317,1.60217,-8.65547,1.30645,0.63868,1.60533,-6.39917,0.99330,0.48539,1.61077
11,1200,-8.80263,1.27343,0.62138,1.60734,-8.91545,1.30469,0.60545,1.60125,-9.16889,1.49485,0.63377,1.60492,-6.70427,1.26103,0.48216,1.61007
12,1300,-9.27822,1.50689,0.62342,1.60732,-9.39709,1.84135,0.60887,1.59839,-9.52017,1.20944,0.63500,1.60420,-6.99440,1.25147,0.48256,1.60808
13,1400,-9.75745,1.66266,0.61632,1.60702,-9.76838,1.42214,0.60702,1.59725,-10.12741,1.26188,0.63604,1.60459,-7.44054,1.05335,0.48170,1.60669
14,1500,-10.03629,1.24222,0.61160,1.60778,-10.25833,1.52469,0.60826,1.59683,-10.68981,2.13826,0.63232,1.60454,-7.83015,1.32913,0.47803,1.60558
15,1600,-10.68774,1.78720,0.60364,1.60647,-10.65253,1.37159,0.59995,1.59637,-11.06848,1.46866,0.62556,1.60429,-8.22589,1.47423,0.47317,1.60519
16,1700,-10.99259,1.67320,0.59825,1.60606,-11.16842,1.44226,0.59768,1.59498,-11.55342,1.57365,0.61708,1.60440,-8.31815,1.30682,0.46530,1.60279
17,1800,-11.44057,1.51597,0.59575,1.60562,-11.51200,1.46399,0.59870,1.59453,-11.82185,1.42366,0.60575,1.60463,-8.68178,1.12016,0.45786,1.60202
18,1900,-11.79059,1.73328,0.59394,1.60578,-11.88234,1.25911,0.59547,1.59421,-12.14691,1.50421,0.59966,1.60449,-9.03800,1.30317,0.45458,1.60078
19,2000,-12.09092,1.29991,0.59192,1.60547,-12.44650,1.30212,0.59350,1.59317,-12.61505,1.49149,0.59544,1.60376,-9.24885,1.19362,0.45096,1.60002
20,2100,-12.56962,1.36408,0.58733,1.60489,-12.67871,1.48360,0.59105,1.59208,-12.86147,1.27711,0.58652,1.60386,-9.47894,1.41324,0.44455,1.59854
21,2200,-13.08687,1.46630,0.58786,1.60495,-13.14755,1.63167,0.59023,1.59161,-13.09127,1.84662,0.58112,1.60305,-9.79918,1.28329,0.44079,1.59754
22,2300,-13.32977,1.66370,0.58462,1.60484,-13.46362,1.39471,0.58551,1.59113,-13.34841,1.62375,0.57800,1.60279,-10.23287,1.49532,0.43919,1.59704
23,2400,-13.55821,1.57508,0.58184,1.60510,-13.67495,1.19276,0.58520,1.59129,-13.76225,1.59238,0.57176,1.60258,-10.17852,1.47894,0.43110,1.59668
24,2500,-13.93289,1.30322,0.58287,1.60459,-14.06832,1.25932,0.58025,1.58994,-14.00272,1.04292,0.56447,1.60268,-10.57847,1.50567,0.42524,1.59644
25,2600,-14.23938,1.77873,0.57458,1.60396,-14.59219,1.33883,0.57924,1.58990,-14.49500,1.33610,0.56087,1.60270,-10.57497,1.78355,0.41807,1.59616
26,2700,-14.68436,1.97100,0.57495,1.60365,-14.71371,1.99155,0.57305,1.58993,-14.73945,1.63480,0.55896,1.60194,-10.89862,1.16478,0.41529,1.59534
27,2800,-14.89018,1.59623,0.56869,1.60334,-15.11537,1.76773,0.57112,1.58955,-14.90661,1.62503,0.55204,1.60206,-11.01714,1.67740,0.40704,1.59451
28,2900,-15.41919,2.24322,0.56442,1.60330,-15.30412,1.23469,0.56680,1.58925,-15.28614,1.25622,0.54471,1.60156,-11.34395,1.48845,0.40475,1.59516
29,3000,-15.37670,1.66126,0.56193,1.60344,-15.75690,1.92256,0.56142,1.58945,-15.37138,1.47700,0.53985,1.60199,-11.41223,1.09158,0.39932,1.59332
30,3100,-15.69899,1.95965,0.55606,1.60291,-16.03394,1.17531,0.55706,1.58888,-15.70676,2.12496,0.53128,1.60229,-11.58786,1.13809,0.39417,1.59363
31,3200,-16.10401,1.92050,0.55378,1.60208,-16.28633,1.55757,0.55129,1.58874,-15.85407,1.49430,0.52906,1.60174,-11.67248,1.33799,0.38975,1.59212
32,3300,-16.40464,1.70752,0.54855,1.60177,-16.51406,1.65381,0.54556,1.58804,-16.11097,1.97341,0.52446,1.60181,-11.86111,1.21757,0.38418,1.59189
33,3400,-16.45371,1.71745,0.54170,1.60223,-16.77117,1.71535,0.54057,1.58645,-16.35974,1.67183,0.51983,1.60223,-11.89055,1.17561,0.37796,1.59208
34,3500,-17.03082,1.93379,0.53870,1.60090,-16.94569,1.57692,0.53487,1.58684,-16.66250,1.36452,0.51533,1.60251,-12.04587,1.28469,0.37440,1.59163
35,3600,-16.84464,1.60025,0.53303,1.60115,-17.14618,1.46032,0.52855,1.58658,-16.79609,1.85523,0.50824,1.60229,-12.13299,0.99525,0.36989,1.59270
36,3700,-17.57863,2.47070,0.52817,1.60034,-17.58416,1.36609,0.52617,1.58598,-17.05866,1.82540,0.50167,1.60273,-12.30845,1.21616,0.36440,1.59096
37,3800,-17.54355,2.27076,0.52509,1.60055,-17.61054,1.17683,0.52007,1.58554,-17.35046,1.75223,0.49801,1.60233,-12.58311,1.86338,0.36037,1.59092
38,3900,-17.56000,2.06325,0.51974,1.59999,-17.55542,1.34626,0.51553,1.58500,-17.40006,1.43698,0.49431,1.60246,-12.58099,0.98934,0.35796,1.59120
39,4000,-17.84157,1.51883,0.51674,1.59880,-17.70547,1.47557,0.50970,1.58479,-17.45127,1.12592,0.48862,1.60295,-12.65824,1.36734,0.35228,1.59114
40,4100,-17.93447,0.97364,0.50962,1.59902,-17.94697,1.13529,0.50362,1.58408,-17.65416,1.37765,0.48429,1.60304,-12.80211,1.09507,0.34987,1.59016
41,4200,-18.11765,1.15695,0.50518,1.59896,-18.20883,1.35506,0.50060,1.58371,-17.65337,1.17093,0.47776,1.60280,-12.84813,1.05341,0.34613,1.58984
42,4300,-18.27174,1.32631,0.50013,1.59848,-18.31816,1.08144,0.49474,1.58365,-17.93669,1.18906,0.47597,1.60271,-13.06137,1.25167,0.34220,1.58925
43,4400,-18.38693,1.46259,0.49518,1.59830,-18.41878,1.19953,0.48896,1.58228,-18.09708,1.33116,0.47128,1.60286,-13.09806,1.26112,0.33866,1.59055
44,4500,-18.47837,1.10449,0.49097,1.59802,-18.57347,2.59814,0.48578,1.58212,-18.07322,0.92333,0.46779,1.60225,-12.99877,1.68837,0.33506,1.58928
45,4600,-18.58185,1.47348,0.48670,1.59796,-18.80106,2.03668,0.48306,1.58132,-18.06214,1.08356,0.46440,1.60250,-13.20630,1.23979,0.33061,1.59038
46,4700,-18.76340,1.73259,0.48240,1.59686,-18.70497,1.61339,0.47570,1.58172,-18.25701,1.35448,0.46049,1.60263,-13.22313,1.03644,0.32789,1.59044
