iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_icm_forward_loss,4_icm_inverse_loss
0,100,-2.13678,1.60862,0.36002,1.61157,-2.15902,1.66438,0.36471,1.61414,-2.14645,1.63898,0.35886,1.60655,-2.53869,1.78645,0.47927,1.61303
1,200,-2.40266,0.90595,0.36059,1.61491,-2.39993,0.90467,0.36366,1.61545,-2.32779,0.77920,0.35315,1.60025,-2.92495,0.80493,0.47724,1.61508
2,300,-2.62106,0.90098,0.35931,1.61597,-2.66131,0.90791,0.36165,1.61877,-2.58190,0.89602,0.35244,1.60321,-3.25405,0.75436,0.47774,1.61006
3,400,-2.95609,0.93126,0.35682,1.61859,-2.95298,0.94167,0.35866,1.61972,-2.88403,0.92192,0.34977,1.60165,-3.58797,0.78923,0.47545,1.60814
4,500,-3.22844,0.91545,0.35357,1.61873,-3.24882,1.01125,0.35640,1.62132,-3.12110,0.99876,0.34576,1.60003,-4.01182,0.76722,0.47461,1.60605
5,600,-3.63332,0.98001,0.35039,1.61765,-3.53613,0.92218,0.35240,1.62183,-3.41086,0.92705,0.34125,1.59868,-4.43820,0.71708,0.47308,1.60176
6,700,-3.86878,0.87318,0.34676,1.61837,-3.86199,1.00867,0.34928,1.62105,-3.69717,1.01584,0.33699,1.59625,-4.89321,0.58790,0.47162,1.59779
7,800,-4.15124,1.04891,0.34417,1.61863,-4.17297,0.99846,0.34729,1.62127,-3.98028,1.02967,0.33391,1.59376,-5.29979,0.56810,0.46921,1.59484
8,900,-4.39790,0.98840,0.34140,1.61887,-4.45635,1.02771,0.34534,1.62179,-4.23048,1.10109,0.33081,1.59263,-5.69412,0.71939,0.46678,1.59329
9,1000,-4.73503,1.12411,0.33883,1.61919,-4.76073,1.08116,0.34263,1.62183,-4.46651,0.99502,0.32741,1.59233,-6.05671,0.66787,0.46442,1.59168
10,1100,-4.93659,1.08869,0.33685,1.62013,-4.99651,1.05519,0.33963,1.62171,-4.71946,1.04329,0.32504,1.59237,-6.42384,0.63778,0.46106,1.58871
11,1200,-5.17792,1.22643,0.33354,1.62025,-5.18502,1.13788,0.33625,1.62142,-4.95625,1.10473,0.32164,1.59219,-6.77928,0.80465,0.45807,1.58801
12,1300,-5.40340,1.21134,0.33087,1.62096,-5.49339,1.07440,0.33334,1.62121,-5.15187,1.31074,0.31986,1.59156,-7.23816,0.81211,0.45467,1.58724
13,1400,-5.59129,1.08088,0.32869,1.62179,-5.74105,1.17134,0.33051,1.62119,-5.37701,1.20752,0.31657,1.59171,-7.47284,0.91902,0.45143,1.58694
14,1500,-5.81788,1.11742,0.32629,1.62152,-5.90708,1.10195,0.32786,1.62106,-5.68106,1.18675,0.31379,1.59137,-7.87143,0.95943,0.44825,1.58756
15,1600,-6.10916,1.25261,0.32342,1.62227,-6.18012,1.10312,0.32562,1.62158,-5.87834,1.21521,0.31142,1.59161,-8.15275,1.05174,0.44498,1.58678
16,1700,-6.28284,1.26703,0.32117,1.62218,-6.36970,1.27470,0.32285,1.62133,-6.06510,1.12430,0.30851,1.59179,-8.43281,1.04332,0.44144,1.58801
17,1800,-6.44805,1.14632,0.31845,1.62207,-6.55639,1.43826,0.32038,1.62179,-6.25770,1.18692,0.30626,1.59042,-8.73598,0.87361,0.43876,1.58631
18,1900,-6.64369,1.16302,0.31589,1.62205,-6.75164,1.25339,0.31744,1.62140,-6.49473,1.25568,0.30432,1.59158,-9.02427,0.77969,0.43545,1.58617
19,2000,-6.83399,1.34087,0.31298,1.62203,-6.89262,1.09269,0.31505,1.62069,-6.60934,1.17434,0.30118,1.59129,-9.27338,1.12757,0.43188,1.58669
20,2100,-7.01436,1.24754,0.31090,1.62239,-7.04502,1.11953,0.31194,1.62028,-6.82603,1.34168,0.29985,1.59136,-9.55689,1.11415,0.42892,1.58675
21,2200,-7.25212,1.10753,0.30828,1.62240,-7.33763,1.32879,0.30939,1.62012,-6.96772,1.36904,0.29742,1.59133,-9.86845,1.16274,0.42611,1.58758
22,2300,-7.42135,1.20078,0.30581,1.62246,-7.47694,1.23792,0.30664,1.61988,-7.14029,1.29387,0.29505,1.59095,-10.17784,1.11356,0.42283,1.58624
23,2400,-7.60225,1.20328,0.30326,1.62294,-7.66052,1.29518,0.30333,1.61975,-7.24595,1.17643,0.29266,1.59157,-10.40610,1.06331,0.41980,1.58647
24,2500,-7.70431,1.24743,0.30055,1.62275,-7.77336,1.23388,0.30133,1.61954,-7.43996,1.32177,0.29015,1.59171,-10.66063,1.05460,0.41683,1.58610
25,2600,-7.85214,1.40932,0.29803,1.62293,-7.94399,1.26977,0.29849,1.61916,-7.56344,1.28683,0.28825,1.59234,-10.84773,1.12362,0.41376,1.58727
26,2700,-8.05472,1.29673,0.29593,1.62255,-8.16489,1.28896,0.29621,1.61914,-7.62352,1.10252,0.28601,1.59237,-11.15064,1.16787,0.41078,1.58640
27,2800,-8.08839,1.45961,0.29339,1.62240,-8.14578,1.26468,0.29330,1.61880,-7.79346,1.20561,0.28313,1.59151,-11.30123,1.07154,0.40793,1.58634
28,2900,-8.27724,1.26330,0.29073,1.62283,-8.53995,1.50701,0.29071,1.61834,-7.91060,1.26170,0.28067,1.59200,-11.66088,1.27992,0.40476,1.58596
29,3000,-8.42636,1.18701,0.28831,1.62202,-8.56469,1.29512,0.28809,1.61857,-8.00726,1.26350,0.27858,1.59150,-11.85763,1.21407,0.40172,1.58527
30,3100,-8.56943,1.19450,0.28566,1.62250,-8.66703,1.36738,0.28556,1.61785,-8.13746,1.33712,0.27610,1.59211,-11.92062,1.19475,0.39870,1.58584
31,3200,-8.64283,1.23390,0.28260,1.62196,-8.68923,1.29398,0.28289,1.61804,-8.18669,1.27412,0.27353,1.59182,-12.13971,1.27002,0.39579,1.58629
32,3300,-8.83035,1.29580,0.28039,1.62177,-8.74927,1.15133,0.28035,1.61800,-8.35801,1.19498,0.27171,1.59185,-12.40906,1.06993,0.39285,1.58454
33,3400,-8.97672,1.37863,0.27811,1.62155,-8.91057,1.32776,0.27785,1.61746,-8.43952,1.36595,0.26944,1.59152,-12.48487,1.04444,0.38959,1.58464
34,3500,-8.98308,1.26228,0.27553,1.62152,-9.06899,1.33258,0.27492,1.61735,-8.49629,1.27397,0.26745,1.59250,-12.66617,1.10252,0.38710,1.58567
35,3600,-9.06948,1.44960,0.27315,1.62093,-9.10069,1.54288,0.27261,1.61764,-8.68381,1.29330,0.26508,1.59140,-12.89045,1.05468,0.38360,1.58431
36,3700,-9.16274,1.30305,0.27101,1.62056,-9.19758,1.59021,0.27027,1.61768,-8.68776,1.21149,0.26302,1.59149,-12.99934,1.32730,0.38114,1.58446
37,3800,-9.34208,1.43451,0.26845,1.62060,-9.29939,1.31539,0.26746,1.61681,-8.78237,1.10565,0.26070,1.59089,-13.14963,1.20644,0.37808,1.58561
38,3900,-9.30568,1.39542,0.26594,1.61983,-9.36475,1.30130,0.26482,1.61634,-8.86654,1.22062,0.25871,1.59048,-13.21180,1.16029,0.37541,1.58461
39,4000,-9.50803,1.45178,0.26367,1.62004,-9.39561,1.22644,0.26254,1.61651,-8.91387,1.21327,0.25629,1.58983,-13.48779,1.28324,0.37228,1.58395
40,4100,-9.57939,1.30333,0.26133,1.61961,-9.43073,1.28353,0.25994,1.61657,-8.97275,1.27790,0.25430,1.58963,-13.55768,1.11418,0.36955,1.58370
41,4200,-9.53119,1.32606,0.25861,1.61936,-9.51490,1.17832,0.25757,1.61581,-9.13718,1.35876,0.25217,1.58951,-13.76920,1.46020,0.36687,1.58357
42,4300,-9.54238,1.43322,0.25650,1.61852,-9.57798,1.25025,0.25558,1.61572,-9.12866,1.26357,0.24982,1.58913,-13.86542,1.25844,0.36393,1.58300
43,4400,-9.69212,1.36827,0.25425,1.61866,-9.67910,1.43031,0.25280,1.61533,-9.24300,1.30599,0.24800,1.58918,-13.86592,1.37010,0.36079,1.58307
44,4500,-9.71536,1.23214,0.25217,1.61797,-9.74554,1.34678,0.25028,1.61517,-9.26945,1.25241,0.24546,1.58886,-13.93444,0.98657,0.35821,1.58274
45,4600,-9.79753,1.29841,0.24998,1.61784,-9.72820,1.26345,0.24803,1.61482,-9.36791,1.32965,0.24385,1.58913,-14.09991,1.00869,0.35530,1.58255
46,4700,-9.81918,1.21298,0.24733,1.61728,-9.75516,1.51090,0.24585,1.61469,-9.34630,1.28809,0.24121,1.58920,-14.26191,1.47969,0.35230,1.58113
47,4800,-9.86749,1.26097,0.24510,1.61640,-9.86589,1.21932,0.24346,1.61430,-9.29962,1.29615,0.23917,1.58817,-14.11264,1.48011,0.34975,1.58261
48,4900,-9.86502,1.34437,0.24286,1.61647,-9.91132,1.26972,0.24130,1.61415,-9.43683,1.21197,0.23729,1.58861,-14.34361,1.14073,0.34713,1.58173
49,5000,-9.99557,1.37653,0.24064,1.61610,-9.93224,1.38163,0.23865,1.61342,-9.51351,1.36393,0.23500,1.58828,-14.45604,1.20530,0.34396,1.57931
50,5100,-10.10434,1.34677,0.23849,1.61570,-9.90910,1.46524,0.23664,1.61359,-9.45925,1.18323,0.23311,1.58870,-14.42597,1.32629,0.34116,1.58048
51,5200,-10.07682,1.13034,0.23631,1.61567,-9.97185,1.18260,0.23434,1.61317,-9.60944,1.28941,0.23054,1.58930,-14.53119,1.23136,0.33835,1.57983
52,5300,-10.11198,1.21150,0.23424,1.61547,-10.06960,1.14986,0.23209,1.61226,-9.60352,1.19809,0.22840,1.58869,-14.54495,1.38565,0.33562,1.58036
53,5400,-10.10825,1.26923,0.23185,1.61479,-10.06117,1.19480,0.22995,1.61230,-9.66220,1.14463,0.22728,1.58952,-14.49461,1.50906,0.33280,1.57888
54,5500,-10.13167,1.29776,0.22993,1.61465,-10.12117,1.16835,0.22765,1.61206,-9.59562,1.20041,0.22520,1.58887,-14.50320,1.21952,0.33026,1.57945
55,5600,-10.02837,1.70399,0.22789,1.61428,-9.97998,1.16082,0.22567,1.61153,-9.65892,1.12848,0.22255,1.58942,-14.52911,1.11184,0.32742,1.57994
56,5700,-10.07164,1.13668,0.22560,1.61434,-10.17434,1.27064,0.22359,1.61135,-9.64725,1.19443,0.22060,1.58967,-14.69466,1.44726,0.32434,1.57897
57,5800,-10.06795,1.18999,0.22379,1.61420,-10.09414,1.18771,0.22122,1.61112,-9.70954,1.13699,0.21912,1.58907,-14.58444,1.26003,0.32202,1.57989
58,5900,-10.05154,1.09754,0.22158,1.61381,-10.11606,1.36940,0.21944,1.61070,-9.63119,1.18598,0.21682,1.58949,-14.75127,1.23408,0.31886,1.57852
59,6000,-10.11653,1.23538,0.21938,1.61334,-10.14715,1.30927,0.21713,1.61042,-9.66229,1.22141,0.21493,1.58936,-14.67803,1.26421,0.31638,1.57831
60,6100,-10.11899,1.25647,0.21739,1.61321,-10.13632,1.05298,0.21525,1.60992,-9.66234,1.20529,0.21307,1.58894,-14.59667,1.26763,0.31373,1.57703
61,6200,-10.15915,1.17062,0.21563,1.61272,-10.10618,1.11239,0.21301,1.60972,-9.67943,1.05927,0.21083,1.58869,-14.63182,1.25194,0.31082,1.57817
62,6300,-10.17142,1.34197,0.21338,1.61267,-10.26338,1.26670,0.21080,1.60937,-9.66111,1.18058,0.20887,1.58988,-14.64436,1.26700,0.30817,1.57585
63,6400,-10.06122,1.15991,0.21132,1.61209,-10.09348,1.24040,0.20902,1.60915,-9.67016,1.10249,0.20717,1.58970,-14.69437,1.14241,0.30529,1.57628
