iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,4_maddpg_actor_loss,4_maddpg_critic_loss
0,100,-0.01237,0.83518,-0.00614,0.81223,-0.01696,0.80738,0.02907,0.83820
1,200,0.00462,0.49837,0.06578,0.42043,0.02383,0.47257,0.03090,0.48230
2,300,0.08357,0.57309,0.12061,0.56006,0.09444,0.51860,-0.03025,0.33789
3,400,0.08824,0.58338,0.11286,0.65162,0.08982,0.58930,-0.05810,0.37229
4,500,0.08558,0.66676,0.09435,0.71700,0.09399,0.63618,-0.06475,0.42233
5,600,0.07912,0.67567,0.11345,0.64302,0.09308,0.65481,-0.09803,0.42502
6,700,0.10290,0.66553,0.11648,0.64736,0.07471,0.78535,-0.13094,0.44272
7,800,0.09436,0.71097,0.10761,0.70522,0.06894,0.76839,-0.16472,0.44135
8,900,0.08913,0.71191,0.10909,0.77872,0.05775,0.87970,-0.18448,0.49387
9,1000,0.06790,0.80226,0.09757,0.75367,0.05160,0.75797,-0.20432,0.54901
10,1100,0.07322,0.76995,0.09939,0.79635,0.05605,0.81888,-0.22608,0.55549
11,1200,0.06415,0.71374,0.08621,0.75721,0.06555,0.83221,-0.25477,0.61694
12,1300,0.06918,0.77541,0.07990,0.79213,0.05100,0.73366,-0.24946,0.64365
13,1400,0.06710,0.82468,0.07959,0.80762,0.03396,0.79397,-0.27654,0.60954
14,1500,0.07085,0.72826,0.07806,0.84254,0.02703,0.80872,-0.30551,0.66314
15,1600,0.06138,0.84724,0.07551,0.85399,0.02407,0.80666,-0.32597,0.59333
16,1700,0.04755,0.81164,0.06125,0.83353,0.04910,0.74895,-0.33925,0.58104
17,1800,0.03783,0.84664,0.05982,0.81070,0.01982,0.81778,-0.35510,0.68378
18,1900,0.04883,0.75082,0.03744,0.82652,0.03264,0.70383,-0.35967,0.69891
19,2000,0.04093,0.82620,0.03478,0.88746,0.04203,0.75561,-0.38593,0.65561
20,2100,0.04362,0.85615,0.02261,0.89621,0.01844,0.88197,-0.40018,0.69388
21,2200,0.01657,0.87289,0.01550,0.87850,0.02016,0.85643,-0.43229,0.67973
22,2300,0.02450,0.84324,0.01231,0.87930,0.00355,0.89585,-0.44368,0.74566
23,2400,0.02372,0.84597,0.00642,0.88312,-0.00112,0.90774,-0.46545,0.75357
24,2500,0.02421,0.81154,0.00716,0.83472,0.00279,0.85456,-0.45999,0.72303
25,2600,0.00946,0.87644,0.00442,0.84049,0.00778,0.85021,-0.48295,0.74380
26,2700,-0.00859,0.97725,-0.00343,0.93584,-0.02303,0.92188,-0.50516,0.73957
27,2800,0.00807,0.86805,-0.01816,0.85025,-0.00589,0.89299,-0.51308,0.78249
28,2900,-0.00743,0.90480,-0.01614,0.86904,-0.00190,0.85125,-0.53435,0.79200
29,3000,0.00877,0.79435,-0.01042,0.87749,-0.00723,0.85307,-0.54171,0.81999
30,3100,-0.00882,0.95499,-0.02166,0.89033,0.00770,0.83284,-0.56004,0.75848
31,3200,0.00020,0.86408,-0.04693,0.94924,-0.01120,0.83935,-0.55639,0.80561
32,3300,-0.03702,0.96566,-0.03092,0.93186,-0.01013,0.87243,-0.55333,0.88044
33,3400,-0.03652,0.95735,-0.02955,0.84531,-0.01923,0.90258,-0.56866,0.82628
34,3500,-0.04568,0.94333,-0.00102,0.87384,-0.01967,0.95060,-0.58793,0.78469
35,3600,-0.02925,0.87364,-0.05243,0.96334,-0.04416,0.96593,-0.58241,0.85295
36,3700,-0.03928,0.96568,-0.04283,0.94735,-0.03617,0.89895,-0.59243,0.83981
37,3800,-0.05779,0.97245,-0.04019,0.88985,-0.04802,0.94845,-0.60800,0.84479
38,3900,-0.06912,0.94959,-0.05138,1.00522,-0.05607,0.94197,-0.59070,0.92882
39,4000,-0.06119,0.95592,-0.04008,0.98979,-0.06707,0.96490,-0.61279,0.85226
40,4100,-0.04864,0.85942,-0.05329,0.98006,-0.06519,0.98968,-0.62036,0.83422
41,4200,-0.07549,0.98052,-0.07717,0.97405,-0.09100,1.00614,-0.64393,0.83406
42,4300,-0.06871,0.96913,-0.05593,1.02041,-0.07896,0.99906,-0.64445,0.85496
43,4400,-0.07982,0.94304,-0.06243,0.91750,-0.06890,0.95361,-0.63364,0.93302
44,4500,-0.08347,1.00105,-0.06399,0.97882,-0.06508,0.88260,-0.65910,0.85638
45,4600,-0.07979,0.93138,-0.04546,0.94720,-0.07047,0.91407,-0.64031,0.91922
46,4700,-0.08170,0.96404,-0.05575,0.98897,-0.09087,0.99856,-0.65943,0.96672
47,4800,-0.09450,1.00717,-0.05504,1.04608,-0.08249,0.93177,-0.64794,0.89170
48,4900,-0.09894,0.98653,-0.06546,0.94897,-0.06640,0.90749,-0.66572,0.97440
49,5000,-0.11093,0.97322,-0.07071,1.02064,-0.06695,0.98555,-0.69695,0.85381
50,5100,-0.11142,1.00948,-0.06552,0.97149,-0.09423,1.06702,-0.66323,0.86170
51,5200,-0.10777,1.01495,-0.06036,0.98730,-0.08072,0.98000,-0.66217,0.91386
52,5300,-0.11586,1.14148,-0.06382,0.97393,-0.09346,0.94688,-0.65713,1.01197
53,5400,-0.11515,0.98509,-0.05527,1.00210,-0.10108,1.00731,-0.67039,0.91803
54,5500,-0.12676,1.04502,-0.03821,0.98997,-0.10587,1.02375,-0.66974,0.97488
55,5600,-0.12586,0.88862,-0.05959,0.92139,-0.11453,1.03160,-0.64414,0.97731
56,5700,-0.13443,0.97251,-0.06771,1.00424,-0.13433,1.07931,-0.66236,0.90634
57,5800,-0.14809,0.95914,-0.05675,1.02424,-0.12438,0.98632,-0.67202,0.92663
58,5900,-0.15802,1.03287,-0.08411,0.96274,-0.12517,0.98560,-0.64873,0.96584
59,6000,-0.14395,0.91009,-0.08015,1.01858,-0.13155,1.06468,-0.66656,0.94184
60,6100,-0.15593,0.93619,-0.10449,1.05763,-0.12737,0.99874,-0.65395,0.97815
61,6200,-0.14648,1.00077,-0.09690,1.04049,-0.14154,1.00894,-0.63625,0.99787
62,6300,-0.17603,0.98734,-0.10724,1.07730,-0.14593,1.04240,-0.65594,0.91985
63,6400,-0.17397,1.04186,-0.12605,1.05509,-0.18840,1.02768,-0.64675,0.99262
64,6500,-0.18715,1.01119,-0.13612,1.04207,-0.17674,1.02793,-0.61919,1.03207
65,6600,-0.18416,1.05821,-0.13736,1.00353,-0.20010,1.07080,-0.64984,0.92322
66,6700,-0.21418,1.05952,-0.14047,0.98092,-0.21634,1.17132,-0.64575,0.91094
67,6800,-0.22893,1.02667,-0.17081,0.95953,-0.20517,1.17625,-0.63267,0.96077
68,6900,-0.25637,1.14028,-0.17265,0.99544,-0.22759,1.09738,-0.62042,1.02467
69,7000,-0.23351,1.04137,-0.19929,1.04671,-0.24784,1.09953,-0.64206,0.96779
