iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss,3_iql_loss,3_rnd_forward_loss,4_iql_loss,4_rnd_forward_loss
69,7000,0.99060,0.34679,1.06847,0.34561,0.99462,0.34571,0.84662,0.34419
70,7100,0.85147,0.33936,1.10711,0.34245,0.81090,0.34248,0.93661,0.34219
71,7200,0.72825,0.33815,0.81385,0.33789,1.05048,0.33538,0.89233,0.33853
72,7300,0.96215,0.33223,0.95817,0.33140,0.92819,0.33348,0.85428,0.33197
73,7400,0.94573,0.32698,0.93011,0.32946,1.15987,0.33177,0.87156,0.32978
74,7500,1.15404,0.32672,1.20622,0.32727,0.82123,0.32639,0.91579,0.32587
75,7600,0.98003,0.32215,1.25643,0.32223,0.85142,0.32323,0.84282,0.32205
76,7700,0.75652,0.31916,0.98494,0.32016,1.10199,0.32190,0.82182,0.31739
77,7800,1.05284,0.31625,0.94648,0.31362,1.21417,0.31482,0.88040,0.31595
78,7900,1.04449,0.31198,0.88303,0.31443,0.98980,0.31298,0.91552,0.31333
79,8000,1.03451,0.30969,0.74915,0.31041,0.94527,0.30927,0.97675,0.30977
80,8100,1.23802,0.30844,0.97212,0.30586,1.22247,0.30812,0.86491,0.30665
81,8200,0.87226,0.30367,0.96279,0.30279,0.94534,0.30322,0.86218,0.30482
82,8300,1.08449,0.30055,1.09687,0.30047,0.97484,0.30036,0.87277,0.30007
83,8400,0.97626,0.29829,0.83838,0.29812,1.08616,0.29923,0.85464,0.29782
84,8500,0.91571,0.29214,0.94206,0.29454,1.13334,0.29450,0.84411,0.29307
85,8600,1.02993,0.29186,0.67005,0.29231,1.14263,0.29128,0.89818,0.29274
86,8700,0.94407,0.28899,1.02461,0.29043,0.98491,0.28873,0.87783,0.28692
87,8800,0.93983,0.28675,0.79586,0.28666,0.97360,0.28575,0.84591,0.28505
88,8900,0.84014,0.28166,0.91678,0.28325,1.30509,0.28239,0.91543,0.28518
89,9000,0.95615,0.27924,0.77903,0.28063,0.81671,0.28117,0.86763,0.28169
90,9100,0.83467,0.27874,1.09820,0.27815,0.99155,0.27735,0.81666,0.27772
91,9200,1.30449,0.27521,1.12275,0.27585,0.92280,0.27476,0.85782,0.27629
92,9300,0.83195,0.27285,1.28166,0.27272,1.15676,0.27119,0.89895,0.27333
93,9400,1.03917,0.27102,0.93116,0.26848,1.25111,0.26794,0.93600,0.27067
94,9500,0.83509,0.26602,0.77213,0.26587,0.86323,0.26691,0.84222,0.26736
95,9600,0.96272,0.26630,1.23617,0.26413,1.30108,0.26453,0.88778,0.26423
96,9700,0.84559,0.26290,0.91473,0.26107,0.81771,0.26138,0.79877,0.26127
97,9800,1.04887,0.25926,1.08879,0.26085,1.07699,0.25905,0.84347,0.25795
98,9900,0.87620,0.25672,1.12033,0.25654,1.10979,0.25645,0.89008,0.25724
99,10000,0.92215,0.25423,1.19223,0.25480,0.67310,0.25641,0.89364,0.25400
100,10100,1.40710,0.25469,0.92472,0.25330,1.17586,0.25082,0.95988,0.25316
101,10200,0.98328,0.25011,0.95135,0.25095,0.89965,0.25166,0.80286,0.25053
102,10300,1.01726,0.24724,1.14145,0.24644,1.01659,0.24818,0.88086,0.24819
103,10400,0.97858,0.24491,1.04339,0.24566,0.88948,0.24619,0.84724,0.24684
104,10500,0.98651,0.24306,1.00324,0.24387,0.89048,0.24450,0.87541,0.24375
105,10600,1.02386,0.24072,1.14775,0.24073,0.95534,0.24089,0.86778,0.24191
106,10700,1.22047,0.23846,0.85485,0.24062,1.09694,0.23969,0.78161,0.23902
107,10800,0.95914,0.23756,0.73785,0.23750,1.06820,0.23735,0.88656,0.23844
108,10900,1.13412,0.23559,1.10615,0.23465,0.81739,0.23654,0.82131,0.23639
109,11000,1.10667,0.23250,1.00043,0.23306,0.86637,0.23332,0.87371,0.23437
110,11100,1.01074,0.23147,1.07272,0.22941,0.76704,0.23049,0.85936,0.23120
111,11200,0.82391,0.22881,1.01437,0.22924,1.21617,0.22924,0.80936,0.22963
112,11300,1.32263,0.22707,0.95907,0.22802,1.15368,0.22611,0.91449,0.22753
113,11400,0.92765,0.22368,1.38155,0.22547,1.00872,0.22443,0.80830,0.22465
114,11500,0.87889,0.22419,1.02691,0.22116,0.99999,0.22241,0.92818,0.22358
115,11600,0.86266,0.22029,1.10872,0.21891,1.09798,0.22148,0.85979,0.22055
116,11700,0.95747,0.21900,1.26723,0.21906,1.25690,0.21771,0.81607,0.21809
117,11800,1.11064,0.21932,1.23733,0.21789,0.99326,0.21776,0.81526,0.21750
118,11900,1.03940,0.21426,1.13125,0.21473,0.85194,0.21368,0.90238,0.21688
119,12000,1.01440,0.21280,1.03475,0.21379,1.23225,0.21321,0.87289,0.21127
120,12100,0.91900,0.21244,0.88793,0.21051,0.77910,0.21279,0.86843,0.21241
121,12200,1.00837,0.21149,0.65925,0.20858,1.01720,0.20869,0.86686,0.20977
122,12300,1.07175,0.20949,0.83491,0.20733,1.16071,0.20871,0.83594,0.20697
123,12400,1.09095,0.20658,0.97597,0.20663,0.90571,0.20769,0.94339,0.20664
124,12500,1.22357,0.20533,1.03834,0.20395,1.30414,0.20400,0.86024,0.20457
125,12600,0.95113,0.20166,0.85040,0.20315,0.79209,0.20222,0.83297,0.20257
126,12700,0.97995,0.20087,0.70252,0.19939,1.10808,0.20139,0.89730,0.20253
127,12800,1.04393,0.19997,0.96830,0.19919,0.85546,0.19857,0.88509,0.19921
128,12900,0.81437,0.19709,0.90553,0.19863,1.07981,0.19801,0.78145,0.19842
129,13000,0.89302,0.19467,1.23106,0.19676,1.12793,0.19560,0.80929,0.19540
130,13100,0.98698,0.19486,1.00498,0.19446,1.17442,0.19474,0.87782,0.19502
131,13200,0.87441,0.19215,0.82528,0.19071,0.89185,0.19246,0.74039,0.19217
132,13300,0.84228,0.19152,1.14121,0.19053,0.86726,0.19088,0.84920,0.18955
133,13400,1.23731,0.19002,1.04518,0.18843,0.78157,0.18966,0.81280,0.18888
134,13500,1.54603,0.18696,1.12682,0.18755,1.00755,0.18748,0.80045,0.18731
135,13600,1.11006,0.18607,0.83575,0.18556,1.06969,0.18500,0.81757,0.18543
136,13700,0.75329,0.18495,1.06186,0.18491,1.01441,0.18438,0.81166,0.18427
137,13800,1.18890,0.18396,0.75039,0.18234,1.18836,0.18368,0.98800,0.18264
138,13900,1.23556,0.18098,1.01511,0.18035,0.94145,0.18087,0.78301,0.18012
139,14000,0.88164,0.17928,1.06369,0.17995,1.02503,0.17961,0.83302,0.18000
140,14100,1.07315,0.17798,1.07440,0.17825,0.73219,0.17890,0.87535,0.17841
141,14200,1.47086,0.17534,0.85716,0.17719,1.14500,0.17796,0.88495,0.17671
142,14300,1.03806,0.17512,1.18707,0.17668,1.40114,0.17556,0.77283,0.17511
143,14400,1.20490,0.17335,1.02744,0.17486,1.08379,0.17543,0.81966,0.17539
144,14500,1.05743,0.17311,0.87677,0.17287,0.90733,0.17310,0.87163,0.17177
145,14600,0.83514,0.17086,0.84521,0.17095,1.04382,0.17213,0.87881,0.17180
146,14700,0.94282,0.17018,0.77577,0.17092,1.05279,0.16911,0.88123,0.17132
147,14800,0.81333,0.16921,1.29390,0.16804,1.11581,0.16908,0.80327,0.16774
148,14900,0.77628,0.16723,0.92280,0.16710,0.77218,0.16821,0.84194,0.16586
149,15000,0.99372,0.16655,0.86367,0.16484,1.03820,0.16691,0.84885,0.16527
150,15100,0.75115,0.16250,0.94528,0.16517,0.77950,0.16386,0.83803,0.16360
151,15200,1.18750,0.16331,0.97409,0.16283,1.18030,0.16330,0.80016,0.16311
152,15300,0.82011,0.16213,1.02176,0.16216,1.11709,0.16213,0.90018,0.16176
153,15400,1.01497,0.16115,1.04110,0.16106,0.98198,0.16138,0.94760,0.16091
154,15500,0.94724,0.15981,1.02642,0.15999,0.86678,0.15987,0.97596,0.16006
155,15600,0.89942,0.15823,1.04454,0.15740,0.96676,0.15687,0.93400,0.15764
156,15700,1.23779,0.15627,0.98681,0.15636,1.07609,0.15629,0.88509,0.15670
157,15800,0.65079,0.15530,0.76757,0.15575,1.03423,0.15530,0.91384,0.15553
158,15900,0.81773,0.15446,0.90817,0.15453,1.02093,0.15471,0.93822,0.15551
159,16000,0.93057,0.15391,1.11642,0.15324,0.75779,0.15376,0.82548,0.15250
160,16100,0.82855,0.15119,0.98797,0.15261,0.94293,0.15166,0.85037,0.15272
161,16200,0.92067,0.15048,0.92178,0.15120,0.95808,0.15181,0.85584,0.15095
162,16300,1.15758,0.15090,0.93655,0.15052,0.89896,0.15067,0.80748,0.15068
163,16400,0.91648,0.14767,1.01163,0.14838,1.16670,0.14904,0.89132,0.14909
164,16500,0.85967,0.14786,0.81122,0.14758,0.81257,0.14761,0.92732,0.14843
165,16600,0.97340,0.14696,0.91757,0.14692,1.16055,0.14658,0.82747,0.14697
166,16700,1.01740,0.14514,1.16860,0.14671,0.88251,0.14588,0.84661,0.14603
167,16800,0.94016,0.14484,1.00744,0.14357,0.89703,0.14390,0.86483,0.14445
168,16900,0.93399,0.14409,0.84824,0.14347,0.76028,0.14409,1.08571,0.14399
169,17000,1.14405,0.14330,1.10999,0.14251,0.99912,0.14314,0.98055,0.14235
170,17100,0.94089,0.14191,0.81270,0.14139,0.99333,0.14124,0.87195,0.14176
