iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value
58,5900,-18.77093,2.69176,0.34447,-19.58222,2.20370,0.35176,-19.15770,2.80257,0.35681
59,6000,-18.80663,2.91836,0.34140,-19.84411,2.15780,0.35321,-19.41063,2.55562,0.35415
60,6100,-19.21866,3.43545,0.34412,-19.90370,2.17416,0.35425,-19.42585,2.55344,0.35419
61,6200,-19.27124,2.57443,0.34076,-20.16396,2.28549,0.35204,-19.59017,2.74219,0.35199
62,6300,-19.32319,2.42505,0.34214,-20.19923,2.17385,0.35260,-19.81776,2.52173,0.35570
63,6400,-19.56371,2.84951,0.33881,-20.44844,2.19473,0.35287,-19.89602,2.50580,0.35196
64,6500,-19.50518,2.38239,0.34227,-20.39405,2.43374,0.34733,-19.94900,2.44244,0.35211
65,6600,-19.79502,2.36464,0.34228,-20.53766,2.43428,0.35098,-20.15041,2.45332,0.35408
66,6700,-19.65743,2.32248,0.33751,-20.72690,2.41429,0.34710,-20.20987,2.45844,0.35161
67,6800,-19.84433,2.39894,0.33814,-20.82687,2.33489,0.35263,-20.36419,2.64089,0.35049
68,6900,-20.04719,2.61851,0.34099,-21.12987,2.47162,0.34837,-20.67135,3.42091,0.35026
69,7000,-20.11648,2.65418,0.34015,-21.13646,2.64617,0.34829,-20.59727,2.77038,0.35144
70,7100,-20.38635,2.92231,0.33886,-21.30699,3.25117,0.34814,-20.84912,2.82923,0.35139
71,7200,-20.42816,2.55932,0.34192,-21.03927,3.55787,0.34809,-20.90485,2.82892,0.35036
72,7300,-20.47382,2.47046,0.34042,-21.51648,3.76053,0.34681,-20.96631,2.46243,0.34939
73,7400,-20.75489,2.60057,0.33965,-21.27774,2.99418,0.34901,-21.07616,2.54840,0.34905
74,7500,-20.70423,2.62106,0.33864,-21.55679,2.92898,0.34731,-21.07448,2.61473,0.35049
75,7600,-20.85169,2.48631,0.33925,-21.68763,3.24869,0.34684,-21.24457,2.51494,0.35107
76,7700,-20.75152,2.44545,0.33760,-21.71536,3.54129,0.34443,-21.22316,2.51014,0.34868
77,7800,-20.87589,2.65836,0.33784,-21.96655,3.13408,0.34687,-21.42852,2.81345,0.34874
78,7900,-21.07688,2.51280,0.33782,-21.78824,2.90611,0.34394,-21.46027,3.11607,0.34831
79,8000,-21.02277,2.42784,0.33485,-21.78358,3.18612,0.34433,-21.67981,2.66871,0.34477
80,8100,-21.03903,2.46524,0.33505,-21.78876,2.61438,0.34871,-21.92463,3.16671,0.34792
81,8200,-21.10595,2.47033,0.33624,-21.96068,2.58671,0.34773,-21.73101,2.82765,0.34924
82,8300,-21.36095,2.88606,0.33846,-22.00761,3.10964,0.34525,-21.95096,3.17907,0.34522
83,8400,-21.17132,3.08795,0.33509,-21.95486,3.08535,0.34793,-21.91846,3.38071,0.34581
84,8500,-21.29620,3.28499,0.33601,-22.25887,2.96190,0.34557,-22.07429,3.01186,0.34413
85,8600,-21.24851,2.79096,0.33557,-21.97673,2.77942,0.34215,-22.17098,2.59712,0.34252
86,8700,-21.43553,3.17075,0.33413,-22.16151,2.87833,0.34387,-22.28538,2.84688,0.34313
87,8800,-21.41196,3.00642,0.33440,-22.17957,2.80798,0.34540,-22.22858,3.11641,0.34713
88,8900,-21.18749,2.82648,0.33250,-22.13088,2.75778,0.34465,-22.25991,2.85936,0.34451
89,9000,-21.52065,4.46686,0.33201,-22.32984,2.97465,0.34386,-22.39595,3.21334,0.34656
90,9100,-21.52060,3.18651,0.33243,-22.22190,2.80504,0.34639,-22.37976,3.03849,0.34383
91,9200,-21.58422,2.89757,0.33403,-22.30573,3.01673,0.34154,-22.59182,3.42155,0.34304
92,9300,-21.65966,2.77264,0.32919,-22.44189,3.01983,0.34547,-22.58306,2.77224,0.34204
93,9400,-21.62569,2.61179,0.33170,-22.54654,2.83454,0.34380,-22.73754,2.94558,0.34425
94,9500,-21.65216,2.71026,0.33142,-22.61253,2.72773,0.34045,-22.76987,2.74951,0.34128
95,9600,-21.68107,2.44052,0.33158,-22.51226,2.80836,0.34035,-22.67850,2.67870,0.34532
96,9700,-21.76750,2.44873,0.33217,-22.72715,3.21463,0.33898,-22.73441,2.62847,0.34090
97,9800,-21.86406,2.52151,0.32847,-22.65511,2.60143,0.34010,-22.74438,2.68566,0.33940
98,9900,-21.91260,3.06527,0.32993,-22.74366,2.72188,0.34178,-22.75595,2.70442,0.34295
99,10000,-21.76384,2.87174,0.32916,-22.73900,2.62149,0.34391,-22.93715,2.71072,0.34161
