iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss
0,100,-0.15726,0.65081,-0.15530,0.68364
1,200,-0.18741,0.17868,-0.18917,0.18579
2,300,-0.23526,0.11827,-0.22533,0.13411
3,400,-0.30279,0.08211,-0.28355,0.08079
4,500,-0.31365,0.05589,-0.29224,0.08961
5,600,-0.35243,0.04070,-0.33890,0.06189
6,700,-0.41503,0.03887,-0.38469,0.07102
7,800,-0.46117,0.03936,-0.38448,0.05938
8,900,-0.49591,0.03975,-0.43023,0.04473
9,1000,-0.54584,0.06203,-0.50627,0.05198
10,1100,-0.57937,0.07625,-0.50423,0.04909
11,1200,-0.61855,0.03725,-0.54983,0.04552
12,1300,-0.62265,0.05235,-0.57305,0.04920
13,1400,-0.71873,0.06787,-0.61871,0.05530
14,1500,-0.74639,0.05681,-0.66852,0.04380
15,1600,-0.74619,0.04367,-0.70835,0.06642
16,1700,-0.81189,0.04860,-0.72645,0.05200
17,1800,-0.83292,0.07752,-0.79551,0.04468
18,1900,-0.85766,0.04912,-0.82606,0.04731
19,2000,-0.91874,0.05906,-0.86772,0.04077
20,2100,-0.95284,0.07056,-0.90843,0.05284
21,2200,-0.99167,0.06632,-0.94505,0.05091
22,2300,-1.02387,0.07764,-0.95127,0.05741
23,2400,-1.05929,0.06505,-1.01187,0.07290
24,2500,-1.07832,0.10386,-1.03084,0.08078
25,2600,-1.12225,0.18933,-1.08733,0.06137
26,2700,-1.18276,0.14873,-1.06298,0.07568
27,2800,-1.22526,0.13584,-1.12191,0.06533
28,2900,-1.25795,0.07972,-1.15644,0.08580
29,3000,-1.24553,0.08421,-1.17868,0.09364
30,3100,-1.26005,0.08740,-1.24089,0.09908
31,3200,-1.32121,0.10268,-1.23398,0.10075
32,3300,-1.34943,0.10652,-1.25334,0.08339
33,3400,-1.35019,0.12614,-1.30220,0.11020
34,3500,-1.38580,0.10729,-1.30738,0.12662
35,3600,-1.40808,0.09852,-1.39648,0.08746
36,3700,-1.43474,0.09453,-1.40437,0.11938
37,3800,-1.48669,0.12724,-1.45477,0.10287
38,3900,-1.52203,0.09657,-1.42817,0.08144
39,4000,-1.54682,0.13461,-1.49056,0.08948
40,4100,-1.57086,0.15343,-1.49064,0.10746
41,4200,-1.58088,0.12901,-1.54789,0.08223
42,4300,-1.60169,0.10201,-1.55210,0.22217
43,4400,-1.61739,0.13939,-1.57949,0.14298
44,4500,-1.61671,0.11638,-1.57002,0.14329
45,4600,-1.68373,0.14421,-1.65334,0.12444
46,4700,-1.67923,0.11761,-1.65882,0.10177
47,4800,-1.74763,0.14571,-1.66822,0.14724
48,4900,-1.74545,0.14803,-1.67003,0.11097
49,5000,-1.73684,0.15742,-1.69336,0.12093
50,5100,-1.75238,0.14173,-1.73083,0.09962
51,5200,-1.78859,0.18188,-1.76772,0.09478
52,5300,-1.81871,0.14761,-1.79727,0.10256
53,5400,-1.86142,0.24621,-1.83733,0.12279
54,5500,-1.86160,0.17751,-1.78785,0.17900
55,5600,-1.85723,0.16603,-1.84037,0.12557
56,5700,-1.79460,0.20391,-1.85626,0.13521
57,5800,-1.92279,0.15728,-1.84650,0.18313
58,5900,-1.92358,0.17287,-1.91416,0.14229
59,6000,-1.90293,0.16179,-1.89860,0.14286
60,6100,-1.93605,0.21552,-1.91567,0.16337
61,6200,-1.92084,0.16251,-1.93595,0.16190
62,6300,-1.97919,0.19675,-1.93308,0.20887
63,6400,-1.93682,0.14760,-1.98272,0.12929
64,6500,-1.97158,0.18225,-1.93366,0.13743
65,6600,-2.03102,0.17906,-1.99299,0.16176
66,6700,-2.00201,0.21596,-2.03861,0.19374
67,6800,-2.05228,0.15944,-1.98763,0.21025
68,6900,-1.99893,0.18493,-2.01442,0.15095
69,7000,-2.04375,0.28380,-2.02563,0.15319
70,7100,-2.01713,0.16672,-2.08510,0.18854
71,7200,-2.10655,0.16157,-2.04020,0.27519
72,7300,-2.04042,0.16669,-2.02593,0.13393
73,7400,-2.08682,0.21466,-2.10711,0.16560
74,7500,-2.06945,0.21219,-2.08456,0.26395
75,7600,-2.07585,0.22868,-2.12160,0.18600
76,7700,-2.07893,0.23269,-2.05685,0.15358
77,7800,-2.07737,0.20756,-2.12887,0.15555
78,7900,-2.12256,0.20719,-2.08988,0.15580
79,8000,-2.06391,0.22784,-2.12469,0.30653
80,8100,-2.10146,0.19184,-2.17454,0.17534
81,8200,-2.09835,0.19507,-2.15034,0.29321
82,8300,-2.12144,0.19821,-2.20238,0.27111
83,8400,-2.20660,0.16262,-2.15794,0.21987
84,8500,-2.13668,0.19268,-2.13316,0.20460
85,8600,-2.13374,0.17968,-2.14017,0.17424
86,8700,-2.16223,0.16283,-2.16701,0.14608
87,8800,-2.15769,0.17675,-2.10149,0.23700
88,8900,-2.14004,0.19813,-2.16784,0.24482
89,9000,-2.13161,0.17098,-2.15787,0.21332
90,9100,-2.09568,0.18403,-2.17648,0.18344
91,9200,-2.19408,0.27074,-2.24036,0.16962
92,9300,-2.15918,0.22640,-2.23922,0.16679
93,9400,-2.15890,0.17385,-2.15691,0.33352
94,9500,-2.12709,0.23543,-2.17257,0.23028
95,9600,-2.22745,0.17781,-2.22842,0.17474
96,9700,-2.19798,0.22944,-2.23822,0.26459
97,9800,-2.16671,0.24113,-2.20079,0.18458
