iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss
126,12700,1.08818,0.60161,1.61031,1.09272
127,12800,0.90151,0.59799,1.41295,1.09606
128,12900,1.00760,0.59474,1.52565,1.09164
129,13000,1.03657,0.59118,1.68046,1.08659
130,13100,1.03093,0.58717,1.55133,1.07781
131,13200,0.98503,0.58397,1.97371,1.07366
132,13300,0.99930,0.58029,1.71223,1.06087
133,13400,0.88940,0.57679,1.33252,1.06164
134,13500,1.01419,0.57308,1.68282,1.05118
135,13600,0.93838,0.56983,1.54558,1.04976
136,13700,1.01712,0.56605,1.55377,1.04202
137,13800,1.03742,0.56243,1.48539,1.04143
138,13900,1.03506,0.55894,1.69685,1.03119
139,14000,1.01608,0.55543,1.57905,1.02715
140,14100,1.03313,0.55218,1.45556,1.02062
141,14200,1.07274,0.54836,1.54406,1.02271
142,14300,1.01754,0.54537,1.45783,1.01032
143,14400,0.97694,0.54171,1.61872,1.00698
144,14500,1.06838,0.53818,1.39287,0.99873
145,14600,1.18736,0.53488,1.44964,0.99990
146,14700,0.96048,0.53143,1.42093,0.99055
147,14800,0.99103,0.52821,1.47346,0.98794
148,14900,1.05672,0.52485,1.43709,0.98635
149,15000,1.00871,0.52147,1.44553,0.97352
150,15100,1.07764,0.51812,1.46283,0.97012
151,15200,0.99136,0.51483,1.37560,0.96942
152,15300,1.02711,0.51155,1.59683,0.95950
153,15400,0.97771,0.50847,1.65220,0.95821
154,15500,0.95741,0.50487,1.21133,0.95256
155,15600,1.02853,0.50182,1.67122,0.94673
156,15700,0.97136,0.49829,1.54356,0.94018
157,15800,1.00010,0.49530,1.30015,0.93447
158,15900,1.05661,0.49193,1.32849,0.93639
159,16000,1.03776,0.48864,1.55770,0.92883
160,16100,0.94242,0.48550,1.63849,0.92157
161,16200,1.00074,0.48237,1.20539,0.91721
162,16300,0.88443,0.47920,1.22689,0.90719
163,16400,1.09503,0.47592,1.26341,0.90741
164,16500,1.01481,0.47278,1.38157,0.89856
165,16600,0.99367,0.46965,1.29098,0.89290
166,16700,1.03237,0.46662,1.28476,0.89134
167,16800,0.96700,0.46347,1.21587,0.88223
168,16900,1.00133,0.46022,1.40899,0.88003
169,17000,1.04520,0.45705,1.38220,0.87491
170,17100,1.11257,0.45414,1.41479,0.86593
171,17200,1.08127,0.45095,1.25191,0.86733
172,17300,0.90234,0.44804,1.42079,0.85888
173,17400,1.07442,0.44478,1.15195,0.85450
174,17500,1.00905,0.44189,1.18475,0.84819
175,17600,0.97337,0.43880,1.29729,0.84800
176,17700,1.08208,0.43581,1.28640,0.84027
177,17800,1.12691,0.43287,1.35036,0.84032
178,17900,0.92136,0.42996,1.31750,0.82872
179,18000,1.05393,0.42682,1.35986,0.82577
180,18100,0.95470,0.42406,1.22682,0.82023
181,18200,1.03989,0.42095,1.22769,0.81923
182,18300,0.97633,0.41797,1.11217,0.81314
183,18400,1.02886,0.41522,1.42623,0.81389
184,18500,1.02651,0.41214,1.20929,0.80474
185,18600,0.95873,0.40937,1.17734,0.80300
186,18700,1.00276,0.40643,1.04675,0.79739
187,18800,1.00892,0.40342,1.19933,0.79478
188,18900,0.97271,0.40060,1.45110,0.78694
189,19000,1.12964,0.39776,1.16208,0.78142
190,19100,1.12229,0.39492,1.48316,0.78106
191,19200,0.97919,0.39209,1.31561,0.77470
192,19300,0.98097,0.38914,1.06314,0.77197
193,19400,0.93440,0.38643,1.20051,0.76714
194,19500,0.97145,0.38353,1.26866,0.76087
195,19600,1.01816,0.38078,1.25674,0.75460
196,19700,0.95164,0.37800,1.08991,0.75099
197,19800,1.02800,0.37515,1.20595,0.75013
198,19900,0.97085,0.37234,1.10266,0.74318
199,20000,1.04180,0.36961,1.36895,0.73828
200,20100,1.04291,0.36681,1.00822,0.73493
201,20200,1.08894,0.36414,1.12524,0.73014
202,20300,1.02158,0.36132,1.08503,0.72345
203,20400,0.96380,0.35866,1.32021,0.71996
204,20500,1.01318,0.35598,1.13742,0.72109
205,20600,1.05046,0.35323,1.22817,0.71507
206,20700,1.01598,0.35064,1.18755,0.71125
207,20800,1.06117,0.34790,1.17569,0.70901
208,20900,0.94212,0.34516,1.08736,0.70368
209,21000,1.03746,0.34258,1.25490,0.70188
