iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,4_maddpg_actor_loss,4_maddpg_critic_loss
0,100,-0.13908,0.80951,-0.17555,0.68713,-0.15597,0.82276,0.04038,0.58630
1,200,-0.09543,0.66478,-0.12805,0.70236,-0.12824,0.71022,-0.03439,0.25435
2,300,-0.01047,0.74512,-0.04053,0.81776,-0.03780,0.73240,-0.09053,0.31004
3,400,0.00882,0.69732,-0.00178,0.76740,-0.04270,0.79937,-0.11820,0.37224
4,500,-0.00688,0.78683,0.00665,0.76732,0.00152,0.71750,-0.17441,0.38178
5,600,0.00405,0.80559,-0.00080,0.74438,0.00503,0.75001,-0.21901,0.41970
6,700,0.01331,0.81623,-0.04625,0.78001,0.00421,0.76947,-0.24504,0.41724
7,800,-0.00614,0.75463,0.00966,0.73649,-0.01476,0.79697,-0.29393,0.40258
8,900,-0.02517,0.86774,-0.01210,0.72148,-0.02956,0.82560,-0.33982,0.49103
9,1000,-0.05232,0.82048,-0.02054,0.79130,-0.02583,0.75550,-0.35384,0.48300
10,1100,-0.11521,0.86106,-0.00167,0.74675,-0.06231,0.80660,-0.34867,0.52686
11,1200,-0.16082,0.81577,-0.01986,0.82274,-0.09991,0.90137,-0.41190,0.49486
12,1300,-0.18727,0.96055,-0.04145,0.76207,-0.14946,0.91816,-0.42752,0.51410
13,1400,-0.13660,0.83200,-0.03828,0.85205,-0.12510,0.82877,-0.44233,0.52664
14,1500,-0.17538,0.91913,-0.08021,0.82343,-0.17221,0.87797,-0.51879,0.47166
15,1600,-0.15578,0.94935,-0.05900,0.86143,-0.17193,0.86004,-0.48756,0.56499
16,1700,-0.17564,0.99572,-0.07438,0.83952,-0.21825,0.84601,-0.52305,0.57906
17,1800,-0.19049,0.98808,-0.10163,0.92542,-0.29596,0.96006,-0.56562,0.52672
18,1900,-0.17503,0.93040,-0.12604,0.92250,-0.31072,0.90811,-0.57115,0.61656
19,2000,-0.16985,0.82815,-0.14961,0.93257,-0.37431,1.01255,-0.59853,0.62523
20,2100,-0.15773,0.93678,-0.14707,0.88883,-0.39535,0.93800,-0.59473,0.66772
21,2200,-0.17838,0.91902,-0.13625,0.82280,-0.37657,0.89746,-0.61397,0.69632
22,2300,-0.16723,0.91904,-0.17578,0.95076,-0.38753,0.97186,-0.65093,0.65294
23,2400,-0.17855,0.91178,-0.19591,0.90658,-0.44208,0.98773,-0.68032,0.66307
24,2500,-0.16518,0.82958,-0.22308,0.95862,-0.41739,0.91092,-0.70714,0.69851
25,2600,-0.17947,0.91102,-0.22602,1.06090,-0.42433,1.02226,-0.72144,0.65701
26,2700,-0.18613,0.96083,-0.24387,0.93956,-0.44483,0.96076,-0.71154,0.80326
27,2800,-0.21288,0.92795,-0.24854,0.96784,-0.44903,1.01731,-0.74459,0.70557
28,2900,-0.21743,0.91528,-0.24873,0.92203,-0.43762,0.94772,-0.79231,0.71309
29,3000,-0.23774,0.91968,-0.26735,0.98760,-0.44419,0.94854,-0.80342,0.73785
30,3100,-0.23463,0.95761,-0.27205,0.89521,-0.48111,1.10631,-0.80527,0.72283
31,3200,-0.24545,0.95867,-0.30905,0.92273,-0.46183,0.90078,-0.81157,0.81132
32,3300,-0.25585,1.00896,-0.34907,0.99774,-0.49593,0.94243,-0.85327,0.74100
33,3400,-0.25869,0.95877,-0.32277,1.00640,-0.46419,0.93988,-0.88807,0.77177
34,3500,-0.26815,0.95133,-0.31790,0.93777,-0.49961,0.92853,-0.87759,0.80422
35,3600,-0.26174,0.87576,-0.33032,0.91594,-0.50587,1.06144,-0.90016,0.79085
