iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value,3_iql_loss,3_count_value,4_iql_loss,4_count_value
69,7000,1.79373,0.22505,1.73602,0.22843,1.79161,0.22693,1.61400,0.22577
70,7100,1.79543,0.22742,1.79609,0.22587,1.80507,0.22766,1.69976,0.22562
71,7200,1.79605,0.22734,1.87406,0.22775,1.80741,0.22734,1.60141,0.22751
72,7300,1.77190,0.22639,1.79097,0.22644,1.67501,0.22555,1.63187,0.22606
73,7400,1.79732,0.22725,1.80586,0.22652,1.78376,0.22453,1.62657,0.22482
74,7500,1.75500,0.22438,1.78098,0.22667,1.74603,0.22538,1.63796,0.22493
75,7600,1.76329,0.22474,1.81037,0.22557,1.87539,0.22544,1.56243,0.22536
76,7700,1.76417,0.22519,1.78261,0.22470,1.74119,0.22434,1.63830,0.22435
77,7800,1.80195,0.22477,1.78901,0.22457,1.75264,0.22411,1.60594,0.22329
78,7900,1.79844,0.22506,1.74773,0.22231,1.78429,0.22267,1.58541,0.22289
79,8000,1.75723,0.22183,1.75145,0.22250,1.82015,0.22275,1.60831,0.22301
80,8100,1.81504,0.22398,1.77244,0.22233,1.73587,0.22318,1.59302,0.22225
81,8200,1.74932,0.22318,1.73483,0.22149,1.78666,0.22497,1.64018,0.22180
82,8300,1.89217,0.22342,1.88660,0.22432,1.79134,0.22246,1.65412,0.22360
83,8400,1.79721,0.22442,1.76986,0.22323,1.77117,0.22129,1.65469,0.22283
84,8500,1.72699,0.22297,1.75477,0.22286,1.79749,0.22280,1.64342,0.22036
85,8600,1.79055,0.22189,1.82449,0.22244,1.75449,0.22196,1.60883,0.22167
86,8700,1.80915,0.22062,1.78734,0.22177,1.81256,0.22122,1.56048,0.22083
87,8800,1.78787,0.22092,1.76846,0.22083,1.74533,0.22069,1.56861,0.22110
88,8900,1.86584,0.21987,1.75225,0.21862,1.72008,0.22093,1.62671,0.21966
89,9000,1.76485,0.22305,1.74147,0.21984,1.81820,0.22122,1.60294,0.22106
90,9100,1.77803,0.22009,1.70967,0.22141,1.74552,0.22186,1.61754,0.22066
91,9200,1.78215,0.21985,1.74243,0.22036,1.75962,0.21963,1.56282,0.22116
92,9300,1.83108,0.22264,1.79715,0.22055,1.83001,0.22038,1.59632,0.21941
93,9400,1.77951,0.21919,1.72887,0.21936,1.74722,0.22126,1.67766,0.21923
94,9500,1.72314,0.21745,1.82882,0.21797,1.85176,0.21866,1.62043,0.21837
95,9600,1.81985,0.21895,1.77985,0.22110,1.71950,0.21842,1.62942,0.21918
96,9700,1.75011,0.21833,1.78030,0.21899,1.76958,0.21991,1.55470,0.21909
97,9800,1.86567,0.21998,1.77794,0.21914,1.75718,0.21958,1.62538,0.22001
98,9900,1.76419,0.22014,1.79857,0.21868,1.88740,0.21862,1.55449,0.21642
99,10000,1.76708,0.21780,1.83595,0.21888,1.78984,0.21955,1.57850,0.21751
100,10100,1.85457,0.21729,1.78390,0.21797,1.80290,0.21672,1.66403,0.21801
101,10200,1.80475,0.21821,1.76697,0.21753,1.75580,0.21696,1.59257,0.21587
102,10300,1.77930,0.21753,1.77060,0.21717,1.73516,0.21785,1.49391,0.21740
103,10400,1.75195,0.21790,1.82501,0.21824,1.75730,0.21780,1.66175,0.21704
104,10500,1.72506,0.21775,1.73051,0.21665,1.75303,0.21663,1.64609,0.21750
105,10600,1.74727,0.21763,1.75725,0.21589,1.75395,0.21711,1.65820,0.21535
106,10700,1.79815,0.21612,1.74056,0.21724,1.79687,0.21806,1.59174,0.21771
107,10800,1.78707,0.21809,1.74595,0.21366,1.83568,0.21798,1.59883,0.21708
108,10900,1.83462,0.21541,1.80552,0.21625,1.81910,0.21631,1.54891,0.21647
109,11000,1.77859,0.21660,1.83922,0.21532,1.91009,0.21430,1.60722,0.21808
110,11100,1.76317,0.21462,1.81132,0.21654,1.80876,0.21529,1.60937,0.21351
111,11200,1.75916,0.21558,1.80598,0.21502,1.83553,0.21434,1.55666,0.21490
112,11300,1.81380,0.21653,1.81003,0.21456,1.76283,0.21363,1.56418,0.21632
113,11400,1.79142,0.21485,1.73801,0.21464,1.84995,0.21612,1.56060,0.21311
114,11500,1.77621,0.21540,1.78730,0.21404,1.79553,0.21277,1.54448,0.21635
115,11600,1.85330,0.21737,1.81438,0.21549,1.85799,0.21484,1.61856,0.21340
116,11700,1.78818,0.21438,1.79678,0.21632,1.77034,0.21300,1.67390,0.21438
117,11800,1.88700,0.21463,1.79557,0.21337,1.83302,0.21426,1.59096,0.21608
118,11900,1.78839,0.21582,1.77063,0.21400,1.87693,0.21453,1.61131,0.21252
119,12000,1.77110,0.21448,1.71546,0.21285,1.82555,0.21281,1.67145,0.21458
120,12100,1.78802,0.21335,1.76919,0.21407,1.88051,0.21370,1.67273,0.21462
121,12200,1.84300,0.21284,1.76775,0.21364,1.76714,0.21197,1.58978,0.21301
122,12300,1.80684,0.21404,1.82302,0.21233,1.80160,0.21251,1.53390,0.21276
123,12400,1.74062,0.21284,1.85700,0.21278,1.77115,0.21359,1.66198,0.21454
124,12500,1.78379,0.21203,1.77826,0.21406,1.83230,0.21461,1.58327,0.21346
125,12600,1.84368,0.21348,1.79425,0.21291,1.87133,0.21244,1.65638,0.21182
126,12700,1.78341,0.21207,1.85576,0.21139,1.75723,0.21243,1.63619,0.21299
127,12800,1.86498,0.21439,1.82549,0.21248,1.84822,0.21366,1.57575,0.21243
128,12900,1.81674,0.21456,1.76631,0.21151,1.82019,0.21330,1.65946,0.21362
129,13000,1.82372,0.21520,1.71215,0.21268,1.86762,0.21415,1.62542,0.21260
130,13100,1.78619,0.21262,1.67883,0.21377,1.79335,0.21260,1.63582,0.21221
131,13200,1.85028,0.21530,1.74570,0.21254,1.81527,0.21448,1.69365,0.21220
132,13300,1.84686,0.21201,1.80679,0.21439,1.79803,0.21406,1.57564,0.21014
133,13400,1.84954,0.21427,1.75506,0.21266,1.83415,0.21189,1.57308,0.21350
134,13500,1.78613,0.21421,1.71504,0.21213,1.84124,0.21456,1.57493,0.21463
135,13600,1.83647,0.21423,1.79488,0.21410,1.92565,0.21646,1.62950,0.21228
136,13700,1.87486,0.21446,1.80965,0.21541,1.81814,0.21473,1.70282,0.21590
137,13800,1.81767,0.21455,1.70691,0.21453,1.83123,0.21423,1.68108,0.21572
138,13900,1.79879,0.21178,1.73265,0.21354,1.90514,0.21423,1.63987,0.21383
139,14000,1.76486,0.21478,1.72337,0.21260,1.89893,0.21321,1.61580,0.21380
140,14100,1.82592,0.21457,1.73094,0.21401,1.80098,0.21225,1.60088,0.21373
141,14200,1.79418,0.21316,1.74522,0.21252,1.94381,0.21491,1.52795,0.21508
142,14300,1.84162,0.21533,1.72241,0.21447,1.83856,0.21421,1.59467,0.21444
143,14400,1.74102,0.21432,1.78209,0.21349,1.88599,0.21202,1.60184,0.21337
144,14500,1.83666,0.21282,1.74438,0.21395,1.91841,0.21463,1.60084,0.21387
145,14600,1.77531,0.21403,1.71891,0.21265,1.85084,0.21620,1.60772,0.21463
146,14700,1.80819,0.21483,1.78502,0.21375,1.90366,0.21579,1.61402,0.21379
147,14800,1.84063,0.21377,1.80919,0.21647,1.83471,0.21225,1.58906,0.21308
148,14900,1.82384,0.21355,1.68124,0.21327,1.78472,0.21496,1.63041,0.21496
149,15000,1.80184,0.21238,1.91182,0.21351,1.84512,0.21187,1.53273,0.21456
150,15100,1.75740,0.21325,1.75797,0.21260,1.80679,0.21266,1.62743,0.21461
151,15200,1.81368,0.21257,1.73192,0.21286,1.87556,0.21422,1.65014,0.21271
152,15300,1.76173,0.21300,1.74614,0.21437,1.87903,0.21483,1.59915,0.21365
153,15400,1.69084,0.21454,1.70602,0.21447,1.92163,0.21453,1.54002,0.21241
154,15500,1.84180,0.21433,1.80664,0.21442,1.86019,0.21181,1.62874,0.21405
155,15600,1.87427,0.21263,1.78487,0.21359,1.82325,0.21132,1.65948,0.21289
156,15700,1.79375,0.21055,1.67995,0.21340,1.82916,0.21218,1.54162,0.21199
157,15800,1.90353,0.21105,1.82105,0.21335,1.90358,0.21252,1.60485,0.21389
