iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss,3_iql_loss,3_icm_forward_loss,3_icm_inverse_loss
62,6300,0.49236,0.09833,1.60359,0.67069,0.15060,1.60770,0.66916,0.15065,1.60699
63,6400,0.48394,0.09608,1.60350,0.68436,0.14701,1.60762,0.68024,0.14767,1.60732
64,6500,0.49977,0.09354,1.60385,0.69411,0.14388,1.60774,0.68862,0.14412,1.60737
65,6600,0.48364,0.09131,1.60349,0.69961,0.14119,1.60753,0.70836,0.14093,1.60690
66,6700,0.49994,0.08935,1.60341,0.71101,0.13814,1.60725,0.70173,0.13791,1.60657
67,6800,0.49987,0.08663,1.60307,0.72020,0.13534,1.60730,0.72280,0.13470,1.60696
68,6900,0.49586,0.08454,1.60306,0.73581,0.13261,1.60725,0.72400,0.13234,1.60652
69,7000,0.50472,0.08256,1.60273,0.74406,0.12992,1.60708,0.73893,0.12923,1.60662
70,7100,0.53343,0.08090,1.60280,0.74997,0.12732,1.60710,0.75179,0.12645,1.60662
71,7200,0.51472,0.07979,1.60275,0.77623,0.12409,1.60683,0.76318,0.12409,1.60656
72,7300,0.50217,0.07799,1.60242,0.75261,0.12171,1.60670,0.76641,0.12158,1.60638
73,7400,0.51011,0.07590,1.60237,0.75544,0.11914,1.60660,0.77646,0.11876,1.60611
74,7500,0.50023,0.07493,1.60262,0.77655,0.11685,1.60657,0.77179,0.11697,1.60618
75,7600,0.52131,0.07318,1.60238,0.78896,0.11407,1.60630,0.78490,0.11484,1.60583
76,7700,0.51321,0.07183,1.60203,0.81585,0.11166,1.60624,0.78837,0.11165,1.60603
77,7800,0.51447,0.07040,1.60180,0.77738,0.10934,1.60603,0.77787,0.10956,1.60626
78,7900,0.50541,0.06932,1.60158,0.81236,0.10710,1.60624,0.79402,0.10732,1.60575
79,8000,0.52221,0.06812,1.60213,0.82589,0.10462,1.60587,0.81962,0.10486,1.60586
80,8100,0.50231,0.06656,1.60177,0.82205,0.10249,1.60590,0.78642,0.10309,1.60582
81,8200,0.52392,0.06586,1.60151,0.85496,0.10030,1.60577,0.81296,0.10122,1.60584
82,8300,0.52206,0.06422,1.60127,0.84312,0.09811,1.60522,0.81814,0.09892,1.60551
83,8400,0.51682,0.06391,1.60112,0.84430,0.09588,1.60532,0.84427,0.09664,1.60525
84,8500,0.52479,0.06226,1.60182,0.85188,0.09416,1.60522,0.83944,0.09431,1.60517
85,8600,0.53924,0.06143,1.60145,0.82519,0.09239,1.60532,0.85017,0.09195,1.60567
86,8700,0.53229,0.06012,1.60144,0.82458,0.09050,1.60506,0.85016,0.09047,1.60529
87,8800,0.55037,0.05923,1.60119,0.87427,0.08823,1.60503,0.84218,0.08878,1.60543
88,8900,0.53614,0.05856,1.60102,0.84828,0.08686,1.60522,0.84247,0.08674,1.60506
89,9000,0.52196,0.05784,1.60060,0.86329,0.08511,1.60498,0.84513,0.08517,1.60530
90,9100,0.54824,0.05714,1.59992,0.86785,0.08333,1.60482,0.85871,0.08386,1.60481
91,9200,0.53126,0.05574,1.60060,0.88263,0.08147,1.60474,0.85506,0.08194,1.60479
92,9300,0.55247,0.05557,1.60024,0.85447,0.07974,1.60461,0.86551,0.08073,1.60494
93,9400,0.54075,0.05445,1.60050,0.85973,0.07836,1.60447,0.86470,0.07880,1.60458
94,9500,0.55373,0.05384,1.60079,0.87798,0.07701,1.60419,0.83907,0.07755,1.60440
95,9600,0.54613,0.05331,1.60072,0.88434,0.07511,1.60370,0.84928,0.07630,1.60445
96,9700,0.55960,0.05246,1.60034,0.90111,0.07386,1.60402,0.86103,0.07468,1.60381
97,9800,0.54521,0.05153,1.59995,0.88849,0.07267,1.60368,0.85528,0.07364,1.60343
98,9900,0.56001,0.05091,1.59975,0.88428,0.07152,1.60396,0.87025,0.07222,1.60369
99,10000,0.52814,0.05063,1.60043,0.86655,0.07022,1.60377,0.88730,0.07026,1.60355
100,10100,0.55437,0.04986,1.59975,0.88354,0.06883,1.60359,0.87101,0.06973,1.60362
101,10200,0.54618,0.04901,1.60069,0.88550,0.06759,1.60351,0.88218,0.06834,1.60298
102,10300,0.55562,0.04873,1.59980,0.88914,0.06668,1.60342,0.86186,0.06757,1.60359
103,10400,0.53807,0.04780,1.60056,0.90116,0.06566,1.60307,0.86688,0.06679,1.60311
104,10500,0.55709,0.04737,1.60021,0.89355,0.06426,1.60276,0.85914,0.06580,1.60304
105,10600,0.55992,0.04707,1.59938,0.89812,0.06348,1.60272,0.88389,0.06406,1.60351
106,10700,0.56768,0.04592,1.59975,0.93008,0.06219,1.60340,0.89760,0.06306,1.60354
107,10800,0.56762,0.04552,1.59981,0.89745,0.06173,1.60337,0.89087,0.06206,1.60319
108,10900,0.55856,0.04493,1.59941,0.92736,0.06045,1.60258,0.88015,0.06125,1.60336
109,11000,0.56550,0.04441,1.59947,0.90380,0.05973,1.60270,0.85490,0.06074,1.60303
110,11100,0.56190,0.04430,1.59941,0.89927,0.05833,1.60186,0.86227,0.05980,1.60232
111,11200,0.56679,0.04360,1.59968,0.90325,0.05805,1.60292,0.86054,0.05873,1.60286
112,11300,0.56828,0.04308,1.59936,0.92871,0.05713,1.60262,0.89353,0.05752,1.60197
113,11400,0.54340,0.04261,1.59919,0.90345,0.05628,1.60199,0.87545,0.05662,1.60209
114,11500,0.57304,0.04208,1.59894,0.90143,0.05497,1.60221,0.84608,0.05656,1.60208
115,11600,0.56681,0.04161,1.59944,0.90569,0.05435,1.60219,0.86908,0.05558,1.60254
116,11700,0.56103,0.04136,1.59878,0.88648,0.05423,1.60212,0.88165,0.05435,1.60193
117,11800,0.56464,0.04077,1.59920,0.89602,0.05328,1.60226,0.86398,0.05407,1.60248
118,11900,0.58466,0.04016,1.59902,0.91016,0.05263,1.60192,0.89172,0.05274,1.60197
119,12000,0.53998,0.03990,1.59858,0.88330,0.05190,1.60193,0.87913,0.05224,1.60220
120,12100,0.57928,0.03918,1.59926,0.89848,0.05139,1.60231,0.85559,0.05183,1.60121
121,12200,0.56093,0.03926,1.59900,0.89585,0.05078,1.60184,0.85810,0.05107,1.60213
122,12300,0.57854,0.03896,1.59959,0.89763,0.05028,1.60152,0.85716,0.05067,1.60177
123,12400,0.57476,0.03859,1.59913,0.88081,0.04975,1.60173,0.85609,0.04983,1.60165
124,12500,0.58596,0.03826,1.59927,0.88878,0.04915,1.60179,0.87293,0.04928,1.60106
125,12600,0.56922,0.03764,1.59886,0.90883,0.04826,1.60207,0.86460,0.04849,1.60124
126,12700,0.57015,0.03756,1.59930,0.87422,0.04794,1.60103,0.85036,0.04803,1.60036
127,12800,0.58010,0.03684,1.60011,0.90478,0.04670,1.60201,0.85151,0.04777,1.60108
128,12900,0.59576,0.03651,1.59892,0.91046,0.04654,1.60178,0.85732,0.04699,1.60064
129,13000,0.58594,0.03654,1.59951,0.87848,0.04593,1.60149,0.83468,0.04658,1.60051
130,13100,0.59299,0.03594,1.59870,0.89380,0.04514,1.60105,0.84506,0.04578,1.60080
131,13200,0.59603,0.03567,1.59888,0.89108,0.04502,1.60123,0.82498,0.04542,1.60065
132,13300,0.58014,0.03500,1.59872,0.87443,0.04491,1.60154,0.85861,0.04456,1.60064
133,13400,0.61501,0.03490,1.59862,0.88570,0.04406,1.60103,0.84694,0.04461,1.60125
134,13500,0.58128,0.03465,1.59950,0.89074,0.04373,1.60173,0.85189,0.04391,1.60029
135,13600,0.59139,0.03420,1.59937,0.87605,0.04317,1.60145,0.84517,0.04343,1.59995
